id,conf
1, হ্যালো
2, আপনি কি গ্রাম প্রধানের কথা বলছেন
3, আমি আসলে ওই চলছি
4, এসএচ জিগ্রুকে এখন হটো স
5, ওই এসএচ জি গ্রুপের একজন সদস্যা ওই
6, আসলে আমি আপনাকে ফোন করছিলাম আমাদের গ্রামে কিছু কিছু সমস্যা আছে আমাদের মহিলাদের গ্রুপও সমস্যা আছে এবং গ্রামেরও কিছু কিছু সমস্যা আছে সেই নিয়ে কথা বলার জন্য আসলে যদি ক ভাবতেন আপনারা বা যদি একটু দেখতেন আমাদের দিকে তাহলে ভালো হতো আর কি
7, আচ্ছা তো ধরুন আমাদের বাড়ির ভিতর দ যে রাস্তাগুলো হয়েছে ওইগুলো তো পুরো সেই মাটি আর বর্ষার সময় আপনি দেখেছেন যে ওখানে একদম কাদায় প্যাচ ট্যাচ করে একটা মানুষ খেঁটেও বেরোতে পারেন
8, অবস্থা খুবই খারাপ ওই সেক্ষেত্রে এখন তো আর ঢালাই নিশ্চয়ই করে দেবে না সরকার থেকে এখন অ্যাট লিস্ট যদি মোরামটা করা যেত তাহলেও খুব ভালো হতো তো ওই দিকটা একটু দেখবেন আচ্ছা আপনি কি কথা বলেছেন
9, আচ্ছা আচ্ছা আর হচ্ছে জলের নিয়ে জলটার মানে কিছু ক্ষেত্রে দেখা যায় জলটা সব দিকে যাচ্ছে না যেহেতু ওই
10, টাইম ট্যাপে যে জলটা সবদিকে সমান যাচ্ছে না বা কোনো ক্ষেত্রে মানে সেদিক ট্যাপের সিসেমি করা নেই আর তারপরে টাইমটাও এত বেশি কম যে মানুষজন এসে জল ধরতে পারছে না ধরুন দশটা বাড়িতেো একটা ট্যাপ দিচ্ছে তাও এক ঘন্টা জল ছাড়ছে তো খাওয়ার জলগুলো মানুষ ধরতে পারছে না সেটা যদি একটু দেখত
11, আচ্ছা আচ্ছা আর হচ্ছে
12, তাহলে
13, একটু ভালো হতো যদি আপনি টাইমটা একটু বাড়িয়ে দ দেন তাহলে হয়তো ভালো হতো
14, আর একটা জিনিস দেখবেন যে ওরা তো টাইম বাড়ালে ধরুন টাকাটাও বাড়িয়ে দেবে আর গ্রামের তো আপনি জানেন যে সবার পরিস্থিতি বা টাকা পয়সা আর্থিক অবস্থা অতটা ভালো নয় সেদিকটা একটু নজর দেবেন য টাকাটা না বাড়ে ঠিক যদি পার্টি ফান্ডের থেকে বা কিছু হবে কোনোভাবে যদি হয়
15, ব আছে আমাদের এই
16, আমাদের এখানেটা আমাদের এখানে একটা জায়গা আছে মানে আমার মামার বাড়িতে ওইদিকে এখন আর যাওয়াই হয় না কিন্তু তখন আমি দেখেছি বা এখনও শুনেছি যে ওদের ওখানে জলটা দেয় কিন্তু জলের জন্য আলাদা করে আমাদের যেখন টাকা নেওয়া হয় ওদের কোনো টাকা নেওয়া হয় না তো সেইগুলো একটু দেখবেন না তাহলে ভালো হতো
