id,ref
1,হ্যালো
2,আপনি কি গ্রাম প্রধান কথা বলছেন
3,আমি আসলে ওই বলছি
4,এসএইচজি গ্রুপের একজন সদস্য
5,ওই এসএইচজি গ্রুপের একজন সদস্যা বলছি
6,আসলে আমি আপনাকে ফোন করছিলাম আমাদের গ্রামের কিছু কিছু সমস্যা হচ্ছে আমাদের মহিলাদের গ্রুপেও সমস্যা হচ্ছে এবং গ্রামেরও কিছু কিছু সমস্যা আছে সেই নিয়ে কথা বলার জন্য আসলে যদি কী ভাবছেন আপনারা বা যদি একটু দেখতেন আমাদের দিকে তাহলে ভালো হতো আর কি
7,আচ্ছা তো ধরুন আমাদের বাড়ির ভিতর দিকে যে রাস্তাগুলো হয়েছে ওইগুলো তো পুরো সেই মাটির আর বর্ষার সময় আপনি দেখেছেন যে ওখানে একদম কাদায় প্যাচ প্যাচ করে একটা মানুষ হেঁটেও পেরোতে পারে না
8,অবস্তা খুবই খারাপ ওই সেক্ষেত্রে এখন তো আর ঢালাই নিশ্চই করে দেবে না সরকার থেকে এখন অ্যাট লিস্ট যদি মোরামটা করা যেত তাহলেও খুব ভালো হতো তো ওই দিকটা একটু দেখবেন আচ্ছা আপনি কি কথা বলেছেন
9,আচ্ছা আচ্ছা আর হচ্ছে জলের নিয়ে জলটার মানে কিছু ক্ষেত্রে দেখা যাচ্ছে জলটা সব দিকে যাচ্ছে না যেহেতু ওই
10,টাইম ট্যাপে যে জলটা সব দিকে সমান যাচ্ছে না বা কোনো ক্ষেত্রে মানে সেদিকটা ট্যাপে করা নেই আর তারপরে টাইমটা এতো বেশি কম যে মানুষজন একটু জল ধরতে পারছে না ধরুন দশটা বাড়িতে একটা ট্যাপ দিচ্ছে তাও এক ঘন্টা জল ছাড়ছে তো খাওয়ার জলগুলো মানুষ ধরতে পারছে না সেটা যদি একটু দেখতেন
11,আচ্ছা আচ্ছা আর হচ্ছে
12,তাহলে
