id,w2v
1, 
2, আ ব ি ব ব ন ক ত   ল ত ে   
3, আ ম ি  আ ক ব ে ম   ই   ক ল ছ ি   
4, ত ি ব ব ব া ব 
5, ত ে ি ক ব   এ ক  ক ব ো   ক ল   
6, আ জ কা ল লে আ ম ি  আ প না কে   ফ ো ন  ক র ত েনা  আ দে র  গ া ন ে   কি কি কি ্ তু  স ম স্ ত ক  আম া দে র  ম দে   গ ু প   ম স্ তা তে এব ং  গ া ম ে রও  ক ি তি  কি ই  স ম স্ তা ক ে   ে নি ়ে  ক থা ব লা জ জে ন   জ ন য   য দি  কি   ভ া ব তে না আ প না রা আবা জ দ ে খ কু ব  দ ে খ ত ে ন আ মা দের  দি কে   তা লা   ভ া লো   দ য়   
7, আ চ ্ছ া   তো গ র ু ং  আ ম া দে র   বা ড় ি  ভ ী তো দি ন  য ে  র া ত তা  গ লো ই  ত ই গু লো ত কু ল ো  তে   মা ট ি া   ব ড ন ক  আ প নি   দে খে ছে ন য ে  এও খ া নে   এ ক দ ং ক া দা ই   ত্য ক টা প  ক র ে এ ক ট া   মা ন ো   খ ি তে  হ য়ে হ তে  পা রে ন   
8, ব স তা  ক বেই  ক া র া ব ড়   থে কে   ে   া  এ খ ন   ত া র   ধ া ড়া ই  নি ত ে   প ড়ে দ ে   দে   ন া  দ র কা ত ে  এ ং   এ ক লি   য দি   মো ড়া ম টা  ক রা  এ ল ো  ত া ল ো   খু ব  ভ া লো  হ ত ো   তো  ওই দি ক টা  খ ু ব   ব ে গ   বে ল   ই   আ র এ ক ট া   আ নি   ক ি   ক থ া  ব লে   তা   
9, া া আ র  হ চ্ ছ ে   জ লে র নি য়ে   জ ল ট া   ক ন ো ক ি ত  ক র তে  দ ে খা   জ ল তা   ক ব দ ক ে   যা তে  ন যে   ব ই   
10, া ই ম ড া গে  যে   জ ল   ড া   স ব দ ি কে   স ম ন  ড া চ ্ছ ে  না   া   কো ন ো   ক ে চ্ ছ ে   মানে   তে গ ি তে   ক্যা ট ে   ি টি ন  ক রা  নেই  আ র   তা র প রে   টা ই ম টা  এ তা  হ য়ে ছি  ক ম   য ে  ম া নু ষ  জে নে এ কতো   জ ল হ ো ত  হ চ ত েন  ন   ব জ টা  ব া ড়ি তো  এ ক ট া  ক া ব নি ক তে  ত া ওয়া এ ক দ ন টা   জ ল টা র   যে  তো   খ া ওয়া র জ ড়  গ ু ল ো ম আমা ে ধ ু র তে  পা চ্ছ ে  না     খ ু  দে খ ত ে   
11, ত া ত আ ল চ ছ ে   
12, 
13, ক  ব া ল ত দে দ ে আ প ি   ত া ন দ  এ কত  ব া রে    ল ে ম ব া ল   ত ব া ল ো   
14,আ র   এ ক টা  কি নি স দ েএ খ বে ন ে   ও দা ত   ট া ই ম  ব া ল র ে  দ ে ক ং  ট া কা টা   ব ড়ই  দে ই া র ব া  আ ম ি   ত  আ প নি  জ া ন ে   য ে ত ল   প রি স তি তি বা   তা ক া ব ই   তা   আ র ত ি  অ ব ত তা   ত  ভ ল ন   ত   ি ত ক  ম দ র   ন্য ন  ট া কা দে  না  ব ড়ে   ক বে  এ দি  প া টি ফ া ন   থে ক ে  ব া  ক ি ক ি  হ বে  এ ক নো  হ বে এ দি  হ য়   
15, ম া দ ে 
16,আ ম া দের এ খ া ন ে ক টা   আ মা দের খা নে একট া  জ া য় গা ল ে  ম ম া ও া   গা ই যে   ই দ ি   ক ে   এ খ ন া র   জ া ব াই  হ য় না   কি ন্তু  ত খ ন  আ মি  দ ে খ ি যি ব এ খ নো   তু নে  ন ি   যে ও দ ের  ক নো   জ ল টা রা  কি ন্ তু   জ লাে র  জ ন্য  আ রা দা  ক রে আ মা দের যে খ ন   ট া কা নি   ও দে র ক ন ন   টা কা নি  অ ন তে এই গু লো  খ ু ব   দে খ বোন না   তা দ ে   ভ া লো  হ ত ো   
17, এ আ র  আ মা দ ে র  এ টে টি   গ্রু প তা ত   ই ত  অ নে ক ক ি ন   ত্ ত ি টি  কিন্তু ত া গা ব ড় ত া ব া ই  গি তে ক া র তে ন  ব া   কি ছ ু   য দি  ব্য ব স্থা ক রা র   তা ল া   ক ু  দে খ ব ে ন ন া   কর ম ব  প্ো ধ া ন তা   তা ই রা  ত ো  তে আমি ক থা  ব লে ক ি   ক ি ন্ তু   তি  ত  এ ফ ো ন্  ক তেন না  ব ল তে  আম া দে   গ রা ম   দ া ন  কো  ব লা ও   তে  ব ল লে   তা ত   ব ল ব ো   ে   খ ু ব দে খ ব ে ন ন া 
18, না   ব ল লা ম  ত া বা  ব লে ল ে লা ম  ত ি নি  ব ল বে শ ি  ব ল লে ম  ত া বে     আ ম ি   কি   দ া ব  আ ক কি  অ খ নে এআ প না র   গ ি   
