id,conf
1, મેં જારે મારા મોબાઈલની અંદર ઓનલાઈન એપ્લિકેશનમાંથી મારી પ્રથમ પ્રોડક્ટ ખરીદી હતી તે પ્રોડક્ટ હતી ડ્રીલ મશીન ડ્રીલ મશીન
2, ની ક્વૉલિટી ખૂબ સારી હતી તેનો કલર પણ ખૂબ આકર્ષિત હતો પકડવાનું હૅન્ડલ ખૂબ સૉફ્ટ હતું
3, ડ્રીલમાં વધારાનું દબાણ આપવું પડતું ન હતું ડ્રીલ સ્મૂથથી રીતે હોલ પાડતી હતી અને કામ કરતી હતી
4, ઉપર
5, ઘણા બધા એવા છોડ હોય છે કે જે
6, તેના મૂળમાંથી અન્ય છોડ ઉત્પન્ન કરતા હોય છે અથવા તો પેદા કરતા હોય છે અથવા તો તેનું અંકુરણ થતું હોય છે
7, જ્યારે જારે સંપૂર્ણ રીતે વિકસિત થઇ જાય ત્યારે ફરીથી તેનું સ્થાન ફેરફાર કરી અને અન્ય સ્થાન ઉપર અનેક તે રોપા રોપવામાં આવે જેથી કરીને એક નવી પ્રોડક્ટ મળે આપણને અને બીજા નવા છોડ વિકસિત પણ કરવામાં આવે તો એક સિમ્પલ અને બેઝિક ટેૅકનિક છે કે એક છોડમાંથી
8, તેના બીજના કારણે અનેક પ્રકારના છોડ ઊગતા હોય છે જેથી કરીને તમે સરળતાથી તેને ત્યાંથી દૂર કરી અને અન્ય જગ્યાએ તેને રોપિત કરી અને તેનો પણ વિકાસ તમે કરી શકો છો
9, હેલો મહાલક્ષ્મી ટ્રાવેલ વિસનગરથી વાત કરો છો હા સર હું સુમિત બારોટ બોલું છું વિસનગરથી મેં આજે આપના ત્યાંથી ઓલા ઍપ દ્વારા ટેક્સી બૂક કરાવી હતી
10, હા વિસનગરથી ગોઠવા જવા માટે મેં જારે બુકિંગ કરાવ્યું ત્યારે સફર શરૂ થયા પહેલાં આપની ટ્રાવેલ્સ એજન્સી સાથે ચર્ચા થયેલી જેમો મને આપની એજન્સી દ્વારા બારસો રૂપિયા ગોઠવા સુધી પહોંચાડવાના કહેવામાં આવેલા
11, હવે જ્યારે હું ગોઠવા પહોંચી ગયો છું ત્યારે આપની ગાડીના ડ્રાઈવર મને રૂપિયા પંદરસો પૂરા ચૂકવવાની વાત કરે છે એટલે કે નક્કી કરેલા ભાડા કરતાં ત્રણસો રૂપિયા વધારે આ તો ખોટું છે ને
12, અત્યારે આ ભાડાની રકમ હું આપના ડ્રાઈવરને સીધી નહીં ચૂકું આપના ટ્રાવેલ્સ એજન્સીમાં રૂબરૂ આવીશ આ અંગે ચર્ચા કરવા માટે અથવા હું ઓનલાઈનથી આપને સીધું પેમેન્ટ કરીશ
13, મને આપના દ્વારામાં ભાડામાં થયેલ ફેરફારનું યોગ્ય નથી લાગતું આપ આનું ધ્યાને લેશો
14, મારે મારે શોપિંગ કોટમાંથી કોલ્ગેટ ટૂથ બ્રશ અને હર્સીિજ એક્સોટિક ડાર્ક હોટ ચોકલેટ ડ્રિંક પાઉડર મિક્સ કાઢી નાખવા છે તે ઉપરાંત બ્રિટાનિયા બોરબોન ચોકલેટ ક્રીમ બિડસકીટ્સ અને વ્હાઈકફિલ્ડ ડ્રીિંક ચોકલેટ પાઉડર પણ કાઢી નાખો
15, મને પાંત્રીસ નેવું ત્રેતાળીસ વિસ્તારમાં એવા નિઃશુલ્ક રસીકરણ કેન્દ્ર બતાવો જ્યાં માત્ર અઢાર પ્લસ વર્ષ વય જૂથ માટે જ રસી મળતી હોય
16, મારું છેલ્લું મનગમતું પુસ્તક મેં વાંચ્યું પંગુમ લંઘાયત ગિરિમ જે અરુણિમા સિંહના જીવન ઉપર આધારિત છે
17, એના એ પોતે દોડવીર હતી અને એને રેલ્વેની અંદર મુસાફરી દરમિયાન અમુક એવા ચોર લૂંટારા લોકોએ
18, એનો સોનાનો ચેન ખેંચવાનો પ્રયત્ન કર્યો અને એને પ્રતિકાર કરી અને ચાલુ ટ્રેનમાં ઝપાઝપી થાય છે અને એને ચાલુ ટ્રેનની અંદર
19, નીચે ફેંકી દેવામાં આવે છે નીચે ફેંક્યા પછી આખી રાત એની બોડી બે ભહાન અવસ્થામાં રેલ્વેના ટ્રૅક ઉપર પડી રહે છે બાવનથી વધારે ટ્રેનો એના ઉપરથી પસાર થાય છે
20, સવારમાં બે ભાન અવસ્થામાં જિલ્લાની હોૉસ્પિટલમાં દાખલ કરવામાં આવે છે અને વગર એને થ છે એનું પગનું ઓપરેશન થાય છે
21, અને પછી દેશ દુનિયાને ખબર પડે છે કે આવી કોઈ આથલે ધટીને એનાવો પ્રોબ્લમ થયો છે અને એને પછી એઇમ્સમાં દિલ્હીમાં
22, આ ટ્રીટમેન્ટ મળે છે અને એને ડૉક્ટર પૂછે છે કે હવે અરુણમાં તારા જીવનનું લક્ષ્ય શું તું શું કરીશ તારો એક પગપી ગયો છે કેટલા ઓપરેશન થયા છે
23, ત્યારે અરુણ્યમાં જે જવાબ આપ્યો છે ને એ બહુ મહત્ત્વનો છે એ કહે છે કે મારે છે ને માઉન્ટ ઍવરેસ્ટ સર કરવું છે આઠ હજાર આઠસો અડતાળીસ મીટરની ઊંચાઈનું જે શિખર્યું સર્વોચ્ચ શિખર એ સર કરવાનો એ નિર્ણય લે છે
24, અને એ પોતે સર પણ કરે છે અને મને એ રીતે અસર કરી કે એક દિવ્યાંગ વ્યક્તિ પણ જો મનોબળ મક્કમ હોય તો આટલું સરસ કરી શકે તો સામાન્ય માણસ પણ ઘણું બધું કરી શકે
25, શું તમે મને તમારા પરિવાર વિશે જણાવી શકશો
