id,ref
1,મેં જ્યારે મારા મોબાઇલની અંદર ઓનલાઇન એપ્લિકેશનમાંથી મારી પ્રથમ પ્રોડક્ટ ખરીદી હતી તે પ્રોડક હતી ડ્રિલ મશિન ડ્રિલ મશિન
2,ની કોલેટી ખૂબ સારી હતી તેનો કલર પણ ખૂબ આકર્ષિત હતો પકડવાનું હેન્ડલ ખૂબ સોફ્ટ હતું
3,ડ્રિલમાં વધારાનું દબાણ આપવું પડતું ન હતું ડ્રિલ સ્મૂથથી રીતે હોલ પાડતી હતી અને કામ કરતી હતી
4,ઉપ્પર
5,ઘણાં બધા એવા છોડ હોય છે કે જે
6,તેના મૂળમાંથી અન્ય છોડ ઉત્પન્ન કરતા હોય છે અથવા તો પેદા કરતા હોય છે અથવા તો એનું અંકુરણ થતું હોય છે
7,ત્યારે જ્યારે સંપૂર્ણ રીતે વિકસિત થઇ જાય ત્યારે ફરીથી તેનું સ્થાન ફેરફાર કરી અને અન્ય સ્થાન પર અનેક એ રોપાં રોપવામાં આવે જેથી કરીને એક નવી પ્રોડક મલે આપડાને અને બીજા નવા સોડ વિકસિત પણ કરવામાં આવે તો એક સિમ્પલ અને બેઝિક ટેકનિક છે કે એક સોડમાંથી
8,તેના બીજના કારણે અનેક પ્રકારના છોડ ઉગતા હોય છે જેથી કરીને તમે સરડતાથી તેને ત્યાંથી દૂર કરી અને અન્ય જગ્યાએ તેને રોપિત કરી અને તેનો પણ વિકાસ તમે કરી શકો છો
9,હેલો મહાલક્ષ્મી ટ્રાવેલ વિસનગરથી વાત કરો છો હા સર હું સુમિત બારોટ બોલું છું વિસનગરથી મેં આજે આપના ત્યાંથી ઓલા એપ દ્વારા ટેક્સી બૂક કરાવી હતી
10,હા વિસનગરથી ગોઠવા જવા માટે મેં જ્યારે બુકિંગ કરાવ્યું ત્યારે સફર શરૂ થયા પહેલા આપની ટ્રાવેલ એજેન્સી સાથે ચર્ચા થયેલી જેમાં મને આપની એજેન્સી દ્વારા બારસો રૂપિયા ગોઠવા સુધી પોંચાડવાના કહેવામાં આવેલા
11,હવે જ્યારે હું ગોઠવા પોંચી ગયો છું ત્યારે આપની ગાડીના ડ્રાઈવર મને રૂપિયા પંદરસો પૂરા ચૂકવવાની વાત કરે છે એટલે કે નક્કી કરેલા ભાડા કરતાં ત્રણસો રૂપિયા વધારે આ તો ખોટું છે ને
12,અત્યારે આ ભાડાની રકમ હું આપના ડ્રાઈવરને સીધી નહીં ચૂકવું આપના ટ્રાવેલ્સ એજન્સીમાં રૂબરૂ આવીશ આ અંગે ચર્ચા કરવા માટે અથવા હું ઓનલાઈનથી આપને સીધું પેમેન્ટ કરીશ
13,મને આપના દ્વારામાં થયેલા ભાડામાં ફેરફારનું યોગ્ય નથી લાગતું આપ આનું ધ્યાને લેશો
14,મારે મારે શોપિંગ કોર્ટમાંથી કોલગેટ ટૂથબ્રશ અને હર્શિઝ એક્સોટિક ડાર્ક હોટ ચોકલેટ ડ્રીંક પાવડર મિક્સ કાઢી નાખવા છે તે ઉપરાંત બ્રિટાનિયા બોરબોન ચોકલેટ ક્રીમ બિસ્કીટ્સ અને વૈકફીલ્ડ ડ્રિન્કિંગ ચોકલેટ પાવડર પણ કાઢી નાંખો
15,મને પાંત્રીસ નેવું તેત્તાલીસ વિસ્તારમાં એવાં નિઃશુલ્ક રસીકરણ કેન્દ્ર બતાવો જ્યાં માત્ર અઢાર પ્લસ વર્ષ વયજૂથ માટે જ રસી મળતી હોય
16,મારું છેલ્લું મન ગમતું પુસ્તક મેં વાંચ્યું પંગુમ લંઘયેતે ગિરિમ જે અરુણી માસીના જીવન ઉપર આધારિત છે
17,એમના એ પોતે દોડવીર હતી અને એને રેલ્વેની અંદર મુસાફરી દરમિયાન અમુક એવા ચોર લુટારા લોકોએ
18,એનો સોનાનો ચેન ખેંચવાનો પ્રયત્ન કર્યો અને એને પ્રતિકાર કરી અને ચાલુ ટ્રેનમાં જપાજપી થાય છે અને એને ચાલુ ટ્રેનની અંદર
19,નીચે ફેંકી દેવામાં આવે છે નીચે ફેંક્યા પછી આખી રાત એની બોડી બેભાન અવસ્થામાં રેલ્વેના ટ્રેક ઉપર પડી રે છે બાવનથી વધારે ટ્રેનો એના પરથી પસાર થાય છે
20,સવારમાં બેભાન અવસ્થામાં જિલ્લાની હોસ્પિટલમાં દાખલ કરવામાં આવે છે અને વગર એનેસ્થેસિયાએ એનું પગનું ઓપ્રેસન થાય છે
21,અને પછી દેશ દુનિયાને ખબર પડે છે કે આવી કોઈ એથલેટ હતી ને એને આવો પ્રોબ્લેમ થ્યો છે અને એને પછી એમ્સમાં દિલ્લીમાં
22,આ ટ્રીટમેન્ટ મળે છે અને એને ડોક્ટર પૂછે છે હવે અરુણીમા તારા જીવનનું લક્ષ્ય સુ તુ સુ કરીશ તારો એક પગ કપી ગ્યો છે કેટલા ઓપ્રેસન થ્યો છે
23,ત્યારે અરુણીમા જે જવાબ આપે છે ન એ બહુ મહત્વનો છે એ કે છે કે મારે છે ને માઉન્ટ એવરેસ્ટ સર કરવું છે આઠ હજાર આઠસો અડતાલીસ મીટરની ઉંચાઈનું જે શીખર ર્યું સર્વોચ શિખર એ સર કરવાનો એ નિર્ણય લે છે
24,અને એ પોતે સર પણ કરે છે અને એ મને એ રીતે અસર કરી ગ્યુ કે એક દિવ્યાંગ વ્યક્તિ પણ જો મનોબળ મક્કમ હોય તો આટલું સરસ કરી સકે તો સામાન્ય માણસ પણ ગણું બધું કરી શકે
25,શું તમે મને તમારા પરિવાર વિષે જણાવી શકશો
26,હા હું અવશ્ય જણાવી સકીસ કે મારું નામ મહેતા મેઘા છે અ હું અમે પરિવાર અમારા પરિવારમાં પાંચ જણા છીએ અમે
27,એક મારા પપ્પા છે મારા મમ્મી છે મારા બા છે ને મારો નાનો ભાઈ છે એમાં મારા મમ્મી અને પપ્પા બન્ને હેન્ડિકેપ છે પણ મારા મમ્મી જે હેન્ડિકેપ હોવા છતાં અત્યારે નવજીવન વિકલાંગ સેવા શાળામાં ટીચર તરીકેની એક
28,જોબ કરી રહ્યા છે જેમાં તે માનસિક જે માનસિક બાળકો હોય મંદબુદ્ધિના બાળકો હોય એને ટ્રેનિંગ અને અલગ અલગ વસ્તુઓ એક્ટિવિટિઝ સીખવાડે છે
29,અને એમને અપંગ હોવા છતાં એટલું કામ કરે છે એ મારા માટે ગર્વની વાત છે તેવી જ રીતે મારા પપ્પા છે જે
30,સન્માઈકાની એક ફે કંપની છે અહીંયા સુસવારમાં પરીક્ષિત કંપની તેમાં તે સુપરવાઈઝર તરીકેની ફરજ બજાવે છે
31,તેમનો અતારે તેર હજાર રૂપિયા પગાર છે અને મારા પપ્પા અપંગ હોવા છતાં પણ એટલું કામ કરે છે તેના પર પણ મને અને મારો નાનો ભાઈ છે
32,જે એ બીજા ધોરણમાં ભણે છે જે હળવદમાં જે ડી વી પરખાણી સ્કૂલ આવેલી છે ત્યાં જ ભણે છે ને તે પણ ભણવામાં બઉ હોંશિયાર છે ડાયો છે
33,અને મારા બા છે જે અત્યારે ઘરે છે અને હું છું હું અત્યારે મેં ટ્વેલ્વ સાયન્સ પૂરું કર્યું અને અત્યારે હું બી એસ સી કરું છું મહર્ષી ગુરુકુલ હળવદમાં
34,અને બી એસ સી બાદ મારે અ ડી એમ એલ ટી અથવા એમ એલ ટીનો કોર્સ કરવાનો વિચાર છે જેના દ્વારા હું આ લેબ ટેક્નીશીયનનો કોર્સ કરી શકું
35,થેન્ક યું
36,પલંગ
