id,wh
1,મે જ્યારે મારા મોબાઇલની અંદર ઓનલાઇન એપ્લિકેશનમાંથી મારી પ્રથમ પ્રોડક્ટ ખરીદી હતી તે પ્રોડક્ટ હતી
2,ક્વોલિટથી ખૂબ સારી હતી તેનો કલર પણ ખૂબ આકર્ષીતો પકડવાનું હેન્ડલ ખૂબ
3,વધારાનું દબાણ આ પડતું હતું સ્મૃતથી રીતે પાડી હતી અને કામ કરતી હતી
4,ઉપર
5,ઘણા બધા હોય છે કે
6,તેના મૂળમાંથી અન્ય છોડ ઉત્પન્ન કરતા હોય છે પેદા છતાં થતા હોય છે
7,જ્યારે જ્યારે સંપૂર્ણ વિકસિત થઈ જાય ત્યારે ફરીથી તેનું સ્થાન ફેરફાર કરી અને અન્ય સ્થાન પર અનેક રોકમાં જેથી કરીને એક કરનવી પ્રોડક્ટ મળી આપણે અને બીજા સોળ પણ કરવામાં આવે અને એક 
8,એના બીજના કારણે અનેક પ્રકારના હોય છે જેથી કરીને તમે સડાતા તેને ત્યાંથી દૂર કરી અને અન્ય જગ્યાએ તેને વિકાસ તમે કરી શકો છો
9,હેલો મહાલક્ષ્મીત ટ્રાવેલ વિસનગરથી વાત કરો છો હાસર હું સુમિત બાર બોલું છું વિસનગરથી મેં આજે આપના ત્યાંથી ઓલા દ્વારા તેક્સી બુક કરાવી હતી
10,હા વિસનગરથી ગોઠવા જવા માટે મેં જ્યારે બુકિંગ કરાવ્યું ત્યારે સફર શરૂ થા પહેલા આપની ટ્રાવેલ્સ એજન્સી સાથે ચર્ચા થયેલી જેમો મને આપની એજન્સી દ્વારા રૂપિયા ગોઠવા સુધી પહોંચ�
11,હવે જ્યારે હું ગોઠવા પહોંચી ગયો છું ત્યારે આપણી ગાડીના ડ્રાઇવર મને રૂપિયા પંદરસો પુરા ચૂકવવાની વાત કરે છે એટલે કે નક્કી કરેલા બાળા કરતાં ત્રણ સો રૂપિયા વધારે તો ખોટું છે
12,અત્યારે આ બાડાની રકમ હું આપના ડ્રાઇવને સીધી નહીં ચૂકવું આપના ટ્રાવેલ્સ એજન્સીમાં આવી આ અંગે ચર્ચા કરવા માટે અથવા હું ઓલણાઇનથી આપને સીધું પેમેન્ટ કરી
13,અને આપના દ્વારામાં વાડામો થયેલ ફેરફારનું યોગ્ય નથી લાગતું આનું ધ્યાને લેશો
14,મારે મારે શોપિંગ કોર્ટમાંથી કોલગેટ બ્રસ્ટ અને હર્સી ડાકો ડ્રીન્ક પાવડર મિક્સ કાઢી નાખવા છે તે ઉપરાંત બ્રિટિયા બોર્બોન અને ફિલ્ડ પાઉડર પણ કાઢીના
15,મને પાંત્રીસને વિસ્તારમાં એવા નિશુલ્ક રસીકરણ કેન્દ્ર બતાવ જ્યાં માત્ર વીજૂથ માટે રસી હોય
16,મારો છેલ્લ્યું ગમતું પુસ્તક વાંચી લંગાઇએ તે ગીરી જે અરુણીમાં સિંહના જીવન પર આધારિત છે
17,એના એ પોતે દોડવી હતી અને એને રેલવેનિંદ્ર મુસાફરી દરમિયાન અમુક એવા લોકો
18,તો સોનાનો ચેન ખેંચવાનો પ્રયત્ન કર્યો અને એને પ્રતિકાર કરી ચાલુ ટ્રેનમાં ઝપાઝપી થાય છે અને ચાલુ ટ્રેનની અંદર
19,દેવામાં આવે છે કે પછી આખી રાહત એની બોડી બે વસતામાં પડી રહે છે બાવનથી વધારે ટ્રેન પરથી પસાર થાય છે
20,સવારમાં બે વસ્તામાં જિલ્લાની હોસ્પિટલમાં દાખલ કરવામાં આવે છે થાય છે
21,અને પછી દુનિયાને ખબર પડે કોઈ પ્રોબ્લેમ છે અને પછી માં દિલ્હીમાં
22,ટ્રીટમેન્ટ મળે છે અને ડોક્ટર પૂછ્યે છે કે અરૂણમાં તારા જીવનનું લક્ષશું તો શું કરિશો તારો છે કેટલા ઓપરેશન થયા છે
23,ત્યારે જવાબ આપે છે બહુ મહત્વનો છે એકસે કે મારે છે માઉન્ટેવર કરવું છે આ શરૂ શું શીખું શરૂ શીખે સર કરવું નિર્ણય છે
24,અને એ પોતે સ્થળ પણ કરે છે અને એરિયા અસર દિવ્યાંગ વ્યક્તિ પણ મનો બોર્ડ મુક્કમ હોય તો આટલું સરસ કરી શકે તો સામાન્ય માણસ ઘણું બધું કરી શકે
