id,conf
1, माझ्या भागामध्ये स्टेमशी निगडित करिअरच्या संधी म्हणजे सगळ्यात प्रामुख्यानं शिक्षण क्षेत्र प्रोफेसरशिप किंवा शाळांमध्ये माध्यमिक प्राथमिक शाळांमध्ये विज्ञान किंवा स्टेमस रिलेटेड प्रत्येक सगळ्या
2, संस्थांमध्ये शिकव शिकवण्यासाठी जाणं हा एक करिअरचा खूप मोठा भाग यामध्ये पगाराची अवस्था अजून तेवढी म्हणावी तितकी चांगली नाही जेणेकरून लोकं यामध्ये उतरतील अगदी करियर म्हणून याचा विचार करतील
3, दुसरा एक करिअरची संधी म्हणजे वेगवेगळे कॉर्पोरेट सेक्टरमधले जॉब्स
4, जसं की आय टी इंजिनिअर्स किंवा मेकॅनिकल इंजिनिअर्स वेगवेगळ्या प्रोजेक्टसाठी वेगवेगळ्या स्पेसिफिक प्रोडक्टसाठी लागणारे इंजिनिअर्स मध्ये केमिकलपासून वेगवेगळ्या स्पेसिफिकली टेक्नॉलॉजी आणि इंजिनिअरिंग सेक्टरमध्ये हे खूप ह्या सगळ्या भागामध्ये लागतात
5, कारण हा आमचा इंडस्ट्रीियल थोडा भाग आहे आणि हमध्ये देशासाठी लागणारे जे स्टील आहे ते स्टील इंडस्ट्री खूप मोठी आहे
6, ह्या पद्धतीच्या आहेत हमध्ये पगाराचे आकडे हे अजूनही फार म्हणावे जितके चांगले नाहीत लोक समाधान राहतील आणि त्यांना त्यांचा ते ज्या पद्धतीच काम करतात ते ज्या पद्धतीच ज्या पद्धतीची किंमत ते करतील त्या प्रोजेक्टला मिळवून देतात
7, तेवढा मोबदला त्यांना अजून त्यामध्ये मिळत नाही त्यामुळे त्यांच्या मागण्या ह्याच आहेत की आम्हाला मोबदला चांगला मिळावा आणि कौशल्य विकासासाठी वेगवेगळ्या संस्था वेगवेगळी केंद्र उघडी करून द्यावीत ही त्यांची घली प्रमुख मागणी
8, हॅलो
9, ठीक आहे ना तर जन्माष्टमीचा कार्यक्रम हा दोन दिवसाचा असते तर आम्ही दोन दिवसापासून ही तयारी करत असते
10, तर
11, हां तर
12, स्पेशल का तो दोन दिवसाचा असते तर तो आत बस बसते त्याच्यानंतर भजन आणि स्वयंपाक केला जाते सगळं पाहुण्यांना बोलवण्यात येते आणि हा कार्यक्रम साजरा करण्यात येते
13, डाळ कांद्याची भाजी आणि वरण भात पोळी कळी अजून लाडू हे सगळं त्याच्यामध्ये केलं जाते
14, त्याला आणल्या जाते वाजत गाजत आणल्या जाते घरी आणली की त्याची पूजा करते आणि त्याच्यानंतर त्याची स्थापना करते त्याला सजवते स्टेज केल्या जाते नंतर मग आरती केली जाते
15, तुम्ही पुढल्या वर्षी येऊ शकता
16, नाही यावर्षीचा कार्यक्रम झालेला आहे तर तुम्ही पुढल्या वर्षी येऊ शकता
17, पुढल्या वर्षी ऑगस्ट महिन्यामध्ये समजा दहा अ दहा तारखेला
18, हो हो
19, मराठी भाषा ही महाराष्ट्राची अस्मिता आहे सर्व प्रकारचे सण टप्प्याटप्प्याने साजरे करून नातेसंबंध जपमून सकारात्मक ऊर्जा व मानवी संबंध भक्ती आध्यात्मक ऊर्जेचा स्रोत मानतात शांती सकारात्मक दृष्टीकोळातून सणाच्या माध्यमातून निश्चितपणी दिसून येतो
20, आपल्याकडील सर्व सण उत्सव पाहिले तर निसर्गाशी नाते संबंध जुळवलेले जाणवता अशा प्रकारचे पूर्णपर्यंत रचना केलेली आहे अगदी मुख्य प्राण्यांपती आदर भाव हा आपल्याच सणातून व्यक्त होतो
21, विविध प्रकारच्या संस्कृतीने नटलेला आपला देश व आपल्या देशातील प्रत्येक सणचे महत्त्व आपल्या जीवनात अनन्य साधारण महत्व आहे वर्षाच्या सुरुवातीपासून ते अगदी शेवट अखेरपर्यंत
22, सणाचे महत्त्व व त्या वेळीस बदलले जाणारे ऋतुमान व निसर्गातील
23, हवामानातील बदल सांघडसुद्धा या सणासोबत घातलेले आपल्याला प्रमुखाने आढळते संस्कृतील प्रत्येक धर्ममागे व कुठल्या ना कुठल्या प्रकारचा आध्यात्मिक व शास्त्र जोडलेलं आहे आपला भारत
24, संस्कृत प्रधान देश आहे व अनेक भाषांनी धार्मिक विविधतेने जगाच्या पाठीवर इतर कोणते्याही देश नाही
25, येथे निसर्ग पाण्यासाठी लाखो विदेशी पर्यटक भारताला भ भेट देतात मकर संक्रांती सारखा सण एकत्र मिळून तिळगूळ वाटतात
