id,ref
1,माझ्या भागामधे स्टेमशी निगडित करिअरच्या संधी म्हणजे सगळ्यात प्रामुख्यानं शिक्षण क्षेत्र प्रोफेसरशिप किंवा शाळांमध्ये माध्यमिक प्राथमिक शाळांमध्ये विज्ञान किंवा स्टेमशी रिलेटेड प्रत्येक सगळ्या
2,संस्थांमध्ये शिकव शिकवण्यासाठी जाणं हा एक करिअरचा खूप मोठा भाग यामध्ये पगाराची अवस्था अजून तेवढी म्हणावी त इतकी चांगली नाही जेणेकरून लोकं यामध्ये उतरतील अगदी करिअर म्हणून याचा विचार करतील
3,दुसरा एक करिअरची संधी म्हणजे वेगवेगळे कॉर्पोरेट सेक्टरमधले जॉब्स
4,जसं की आयटी इंजिनिअर्स किंवा मेकॅनिकल इंजिनिअर्स वेगवेगळ्या प्रोजेक्टसाठी वेगवेगळ्या स्पेसिफिक प्रोडक्टससाठी लागणारे इंजिनिअर्स मदे केमिकलपासून वेगवेगळ्या स्पेसिफिकली टेक्नॉलॉजी आणि इंजिनीअरिंग सेक्टरमधे हे खूप ह्या सगळ्या भागामध्ये लागतात
5,कारण हा आमचा इंडस्ट्रीयल थोडा भाग आहे आणि ह्यामध्ये देशासाठी लागणारे जे स्टील आहे ती स्टील इंडस्ट्री खूप मोठी आहे
6,ह्या पद्धतीचे आहेत ह्यामध्ये पगाराचे आकडे हे अजूनही फार म्हणावे तितके चांगले नाहीत लोकं समाधान राहतील आणि त्यांना त्यांचा ते ज्याल पद्धतीचं काम करतात ते ज्या पद्धतीचं ज्या पद्धतीची किंमत ते करतील त्या प्रोजेक्टला मिळवून देतात
7,तेवढा मोबदला त्यांना अजून त्यामध्ये मिळत नाई त्यामुळे त्यांच्या मागण्या ह्याच आहेत की आम्हाला मोबदला चांगला मिळावा आणि कौशल्य विकासासाठी वेगवेगळ्या संस्था वेगवेगळी केंद्रं उघडी करून द्यावीत ही त्यांची त्यातली प्रमुख मागणी
8,हॅलो
9,ठीक आहे ना तर जन्मास्टमीचा कार्यक्रम हा दोन दिवसाचा असते तर आम्ही दोन दिवसापासून ही तयारी करत असते
10,तर
11,हां तर
12,स्पेशल का तो दोन दिवसाचा असते तर तो बस बसते त्याच्यानंतर भजन आनि स्वयंपाक केला जाते सगळं मं पाहुण्यांना बोलवन्यात येते आनी हा कार्यक्रम साजरा करन्यात येते
13,डाळ कांद्याची भाजी आणि वरन भात पोळी कळी अजून लाडू हे सगळं त्याच्यामदे केल्या जाते
14,त्याला आनल्या जाते वाजत गाजत आनल्या जाते घरी आनली की त्याची पूजा करते आणि त्याच्यानंतर त्याची स्थापना करते त्याला सजवते स्टेज केल्या जाते नंतर मग आरती केली जाते
15,तुम्ही पुढल्या वर्षी ईऊ शकता
16,नाई या वर्षीचा कार्यक्रम झालेला आहे तर तुम्ही पुढल्या वर्षी ईऊ शकता
17,फुडल्या वर्षी ऑगस्ट महिन्यामदे समजा दहा दहा तारकेला
18,हा हा
19,मराठी भाषा ही महाराष्ट्राची अस्मिता आए सर्व प्रकारचे सन टप्पा टप्पांनी साजरे करून नाते संबंध जपमून सकारात्मक ऊर्जा व मानवी संबंध भक्ती आध्यात्मक उज्जेचा स्रोत मानतात शांती सकारात्मक दृषिकोनातून सनाच्या माध्यमातून निचितपने दिसून येतो
20,आपल्याकडे सर्व सन उत्सव पाहिले तर निसर्गाशी नाते संबंध जुळवलेले जानव येतं अशा प्रकारचे पूर्णपर्यंत रचना केलेली आहे अगदी मुख्य प्राण्यांपरती आदर ज भाव हा आपल्याच सनातून वेक्त होतो
21,विविध प्रकारच्या संस्कृतीने नटलेला आपला देश व आपल्या देशातील प्रत्येक सन चे महत्त्व आपल्या जीवनात आनन्य साधारन महत्त्व आहे वर्षाच्या सुरवातीपासून ते अगदी शेवट आखेरपर्यंत
22,सनाचे महत्त्व व त्या वेळेस बदलने जानारी ऋतूमान व निसर्गातील
23,हवामाणातील बदल सांगडसुद्दा या सनासोबत घातलेली आपल्याला प्रमुखांनी आढळते संस्कृतील प्रत्येक धर्ममागे व कुठल्या ना कुठल्या प्रकारचा आध्यात्मिक व शास्त्र जोडलेलाय आपला भारत
24,संस्कृतीप्रधान देश आहे व अनेक भाषांनी धार्मिक विविधतेनी जगाच्या पाठीवर इतर कोनत्याही देशात नाही
25,येथे निसर्ग पाहन्यासाटी लाको विदेशी पर्यटक भारताला भा भेट देतात मकर संक्रांतीसारखा सन एकत्र मिळून तिळगूळ वाटतात
26,ही परंपराए हिवाळ्याच्या दिवसात तिळगूळ खाने हे आरोग्यासाटी हितकारिक आहे व पर्यावरनपूरक सन उस्सवाची गरज याचे कारण म्हन सांगायचं झाले तर जीवनातील सर्व शांती स्वास्त्य व एकत्र येऊन
27,आपले आरोग्य आनंदी राहण्यास मदत मिलते यामुळे वैयक्तिक व सामाजिक व समूहिक
28,तांतनाव यापासून मुक्तता मिळते वैज्ञानिक महत्त्वासोबतही भारतीय स संस्कृतीचे आध्यात्मिक दृष्टिकोन परिपूर्ण आहे
29,एअरटेलद्वारे प्रदान केलेली माझी भ्रमणध्वनी योजना दहा जीबी रिचार्ज करा मध्ये बदलण्यात तुम्ही मला मदत करू शकता का माझी सध्याची योजना पाच जीबी रिचार्ज करा आहे
30,आयवी हॉस्पिटल मोहाली ह्या रुग्णालयात कॅशलेस सुविधा उपलब्ध आहे का
31,हॅलो
32,हां नमस्ते हां कोन किशोर पाटील काय हां मला सुजितनं नंबर दिलता तुमचा
33,हां मी पुण्यात न आता रीच व्हाय लागले पुन्यात येतोय मी सांगलीतून पुन्यात निघालोय
34,या लोले मी आता
35,तर मला सुजितनं तुमचा नंबर दिलता की असं असं तुम्हाला फोन कॉल करावं म्हणून मला काय नाय मी आता स्वारगेटला उतरतोय आनि मी मला शिवाजी नगरला जायचंय तर मला आसपास तिथं कुठं कॅब मिळंल काय
36,बर बर नाई मी ओलाला फोन लावलेलं नईये मला जस तुमची सुजितनं मला तुमचा नंबर दिल्या म्हटलं पा किशोर पाटीलना फोन कर तुम्हाला सगळं म्हायती मिळंल
37,ठीके मग मला तिथं कॅब जर मिळत असेल तर मला शिवाजी नगरपर्यंत जायचंय साधारन मी आता म आता पाटे तीन वाजले तर साधारन मला एक अज एक अजून एक तासभारात मी पोचेन तिकडं
38,हां
39,मला आसपास कॅब मिळंल ना ठीके काय की मी आय तुम्ही अरेंज करून देत आय
40,बर बर मला शिवाजी नगरला जायचंय साधारन किती घेतील शिवा स्वारगेट टू शिवाजी नगरला
41,ओके ओके ओके हां नाई मला शिवाजीनगरपासून शिवाजीनगरमदेच जायचंय शिवाजीनगरमदे जस्ट एक तिथं
42,आसपास एक दहा पंधरा मिनटाचं काम आय
43,ओके मिळंल ना मला मात्र त्याजं चार्जेस वगरे काय
44,बर
45,ठीके ठीके ठीके मी एक एक तासाभरात पोचतोय तुम्ही हाए ना तेत मी आल्यावर तिथं फोन करतो तुम्हाला हो
46,मं मी आल्यावर उतरलो तर तुम्हाला कॉल करतो तुम्ही हां ओके ओके ओके ओके ठीके ठीके ठीके ओके थँक्यू थँक्यू
47,लोटस नट्स कुमीन लाँग ग्रेन राईस
