id,w2v
1, म ा झ ा   भ ा ग ा  म ध े  स् ट े ए म ी  न ि ग ले   क र्य र च्या  ं ध ी म ज े   स ग् ा त   प्र ा मु ख्य शि क्ष ण  क्ष े त्र   प ्रो फ े स र  श े प   श ा ळ ा ध े   मा ध्य म   प रा थ मे   श ह ा ध े   वि ज न् ा न कि ा  स् ट ेए म   स ि ल े टे ड  प्र त ् ि क   
2,   स ं स् थ ा न ध्ये   श ि क हे क व ण्या सा ठी  ज ा ण   हा  ए   क ध ्या च ं   कु ठ   मो ठ ा भा ग   या म ध्ये   प ग ा र ा ळ च ी   आ व स् थ ा अ ज ू न   त े व ळी   म ण ा ली दी ् ती   च ां ग ली  न   ह   ज ण्े  क रू न   ल ो क   या म ध्े  उ त् त र ती ल   अ े   क र ी र   भ ू न य ा च ं  व ि च ा र  क र ती ल   
3, द ु स रा   ए   क र्या चे   स ं ध ी   म ण ज े व े ग ग क ॉ र् प ो रे ट   स े क ट र  म ध े   ज ॉ ब् स  
4,ज स ं ग ी   आय टी   इं जी नि य र्स  म क ॅ न ि क ल इं जी नि य र्स  क व ळ या   प्रो ज क्ट स ा ठ ी   ब े व ्ा स् प ि स फ क   प्रो ड क्ट सा ठी  ल ा ग णा र ी इं ज ी निय र्स  म ध्ये   क े म ि क ल   प ा स ू न  ब व ा   स् प स ि फ   ट े क्न ो लॉ ज ी  णी   इं ज िय रिं ग  शे त र   म ध्े   हे   क ु प   या स ग ्या   भा ग ा म ध्ये   ला ग त ा त  
5, क ा र ा ण ह ा म च ा   इं ड स् ट्र य ल   थ ो डा   भा ग  आ हे   आ ण ि  या  म ध े   द े श ा ळ ा सा ठी   ला ग णा र्य जी   स् ी ल   लाहे त   स् ट ी ल  इं ड स ् ट री   कु प   म ो ठ े   
6, ्या   ्ध ती च   आ हे त  हया म ध े   प ग ा र ा च े   आ क ड े   ह अ जु न ह े   फ ा र म ण ा ळा  ज ि त के   च ां ग ले  ना ही त  ल क स म ा ा   र ा ती ल   आ णि   ज ा   ां स ा   त े   ज ा ल प ्ध ती   ं   क ा म   क र त ा त  त े   ् ा   ध त ी   च ं या   प ्ध त   च ी   किं म त   ते   क र ती ल   या   प्रो ज क्ट  ल ा   म ि ळ व ू न य े त ं   
7, त व ड ा   म ो ब द ल ा  त न ाअ ज ू न   द्या म ध ी  म ि ळ त न े   त त ज य   म ा ग ण्या ह या स ाहे त   क ी   आ म ल ा   म ो ब द ल ा   च ां ग ल ा   म ळ ावा   आ णि   क ौ श ल ल  व ि क ा स  सा ठ ी   व े ग व ग ळ्या   स ं स् थ ा व े े क ें द् र   उ ळी  क रू न  द या हि क ची  ग् ा ी   प्र मु क   म ा ग ी   
8, 
9, त ि क े न ं त र   ळ   ज न् म ा ष् ट मी   च ा   का र्य क्   हा   द ो न   द ि व स ा च ा   अ स त े ल   त र आ म ी   द ो न  द िव सा प ा स ू न  ह ी   त या री   क र त अ स त े   
10,   
11, ह ा थ र   
12, स्प े श ल   द ो न द ुव स ा  च ा स् त े  त र   त ु ब स त े ट ा च्या न ं त र   भ ज आ णि   स प ा क   क े ल ा   च ा त े   स ग ळ प ा व न्या न ा   ब ल व ण्या स  क त ी   आ णि   ह ा   क ा र्य क्र म   स ा ज र ा   क र व ण्या  ज े त े   
13, द ा र क ं द ा ची   भ ा च ी   आ णि   व र न   भ ा ह त प ु ळ ी   प ळी   अ ज ू न   ल ा ड ू   हे   स ग ळ ं  त ा च ा   म ध्ये   क े ले   ज ा त े   
14, ल ा   आ ं ल्या ज त े   व ा ज त ग ज त   आ ं ल्या   ज त े   घ र ी या ं द लि कि त ा च ी   पु ज ा   क र त े   आ ण ि   त च या न ं त र द ा ची  स् थ ा प न ा   क र े   त ल ा   स ज व त े   स् ट े ज   के ल्या त े   न ं त र  म   आ र ती   के ले   ज ा ते   
15,त ु म्ही   पु ल ल्या व र् शी  घ ेू   श क त ा   
16, न ा ई   य ा  व ा ् ष ी  च ा  क ा र्य क्र म झ ा ल े ल ा   आ हे   त र   तु म्ही   क ु ढ ल्या व र् श ी   ू   श क त ा   
17, उ ल ्या व र ् ी   अ ग स् ट  म हि न्या   म ध े   स ज ा द ह ा  द ा र के ल ा   
18, ह   
19, म रा ठी  व ा   ही   म हा रा ष्ट्र च ्या अ स ् म ी त   हे   स र व प्र क ा च े   स ं ट प ट प णि   स ा ज र े   क र ू न न ा त े   स ं म ं द   ज म ू   स क ा रा त ्म कु र  झ व ा म ा न व ी   स ं ध   भ क ् त ी   अ ध ्या त ् म   व ज य च ा   स ् र ो त   म ं ज ा त   श ा ं त ी   स क ा रा त् म क   ज श ि क ळ त ू न   स ण ा च ्या म ा द्य व ा त ु न ह ि   च ि त  ि   दि स ु न े त ं   
20, आ प ल्या   क डे ल   स र् व   स ण  उ त् स व   प ा हि ल े   त र न ि स र ग ा श ी   न ा त े  स म ं ध   ज ु ळ व ल े ल े   ज ा ण व रयी त ा   अ श ा   प ्र क ा र   च े   पू र् ण   प र ्यं त   र च न ा   के ल े ल े   आहे   आ ग द ी   मु ख्य   प ्रा प र त ी   आ द र भ ा व   ह ा प ्ल्या  स्थ ण ा त ू न   व े क ् त   ह त ो   
21, व ि रि त   प्र क ा र च ा   स ं स् कृ त ी   न ि ् ण क ेले ल ा   अ प ल ा   द े श  व ा प ल य   द े श या त ी ल   प् र त ि क   स ण   च ी   म ह त व   प ल्या   ज िव न्या त   आ न ं द य   स ा ध र ण   म ह त व ा य   व र ् ष ा च्या   स ु व ा त ी   प ा सू न  त े   अ ग द ी   शे व ट   आ ख े ल   प र्यं त   
22, स ण ा च े   म ह त व   व त्यां   म े ळी स   ब द ल ल े  जा ण यंा  ज र ू   त ु ् ा   व   न े स र   य ा त ी ल  
23, ह व म ा न ा त ी ल   ब द ल   स ां ग ड ज ू त   या   स ण ा   स  ौ ब न घ ा त ले ल   अ पल्या ला   प्र म ु घ न् ा ड ळ   त े   स ं स् क ु र त ी ल   प्र त े क   ध र् म   म ा ग े   उ कु ठ ल ्या न ं   कु ठ ल्   प्र क र च ा  अ ध्या त   मि ग ो श ा स त्र ा   ज ु ड ल े ल े   आ प ल ा   ब ा र त   
24, स ं स् क ृर त   प्र ा द ां द े श हे   व   आ णि क  भ ा श न े   ध ा न् मि   ी ज   र े नी   ज ं ग ा च ं   प ा ठ ि व री   त र  क ो ण त े   द े व श त   न ा ही   
25, ये ति नी स े ग ंव   प ा ण्या सा ठी   ल ा क ो व ि द ी शी   प र् ठ क   भ ा र त  ल ा   ा भ े ट   द े त ा त   म क र स ं क्र त ी   स र क ार   स ण   ए क त्र   म ि ळ ू न  त ि ळ ु घ ळ   व ा ठ त ा त  
26, ह ी   प र ं प र ा   हि व ा ळ े च या   द ि व स ा त े   ळ   ख ा ण े ा  आ रो ग्या स ा ठी   हि त क ा री   क ा े   व   प र्य ण पु र क   ण   उ त् स वा ची   ग र ज   यां च े   क ा र स ा ं ग ा च ं   झ ा ल ं   त र   ज ि व न ा त ी ल   स र् व   श ा ं त ी   स ्व ा स् त ्य     ए क त्र   येऊ न   
27, आ प ल यं   आ र ो ग्य   आ ण ं द ि   र ा ण्या च   म द द   म े ल े   य ा   म ो ळ े   व ं   ये ती व   स ा म ा ज े क   भ र   स म ू ह त   
28, त ा ं त न व   य ा   प ा स ू न  मु क् त त ा   म ि ळ त े   व ै ध नि क   म ह त व ा   स ो प त ी   भ ा र ती य   स ं स् क ृ ती   च या   अ ध्या त मि क   द ृ ष्ट   क ण   प र ी   पू र् ण   आ हे   
29, एअ र ट े ल  द्व ा र े   प्र द ा ं न   के ल े ल े   म ा ज ी   भ्र म ण ध व णी   यो ज न ा   द हा ज ी व ी री च ा र्ज   क र ा   म ध्ये   ब द ्या त  तु ्ही   म ला   म द त  क रू   श क त ा   क ा   म ा ज ी   स ध्या च ी   य ो ज ा प ा ज व ी   री च ा र्ज  क रा   आ हे   
30, आ य व ी   हॉ स् प ि ट ल्स  म ो हा ली   या  र ु ग् ण ा ल या त   क ॅ स ल े   सु वि ध ा   उ प ल ब्ध   आहे   क ा   
31, 
32, ल म च   त े   क क ि स ो र   पा ठी ल क ा   म ला   स ु झ ि त ्न ा   न ं ब र   द े ल ता  ध ू न च ा   
33, ह ा म ी   पु ण्या त आ त ा   ह र ी श ् व ा र ा लंे   पु ण्या त   त े   स ां ग ली  तू न   प ण्या   नि घ ा ल ंे   
34, ह हया  ल ो ल ी  म  च ा   
35, त र   म ल ा   स ु ज ी त न ू त  त ु म ज ा  न ं ब र   द े ली त ा   क ा स तु म्हाला   फो न   कॉ ल   क र वा   म ला   क ाय   न म ीय त ं   श वॉ र ग े ट  ल ा उ त्त र   त े   आ णि  मी   म ल ा   शि व ा जी न ग र  ला ज ाय च ं   त र   म ला   आ स् प ा स  क ि त ं  कु ड ू   कॅ ब   म ि ळ ाय ल क ा   
36, ब र   ब र  न व ी  ओ ल ा ला   फ ो न  ल ा व ले ल   ने   म ला   ज ज   त ु म च ी   च जी त न म ाल ा   तु च्या न ं ब र   दि ल ्या क श र प ा ठी ल  ना   फ ो न   क र   त ु म्हाला   ळ   माहि ती   म ळ ल   
37, ठ ी क े   म ग म ल त ी  ल   क ॅ ब   द र   म ळ े त अ क्स े ल  त र   म ल ा  शि व ा जी  न ग र   प र्यं त  ज ाये च े   स ा ध ा र् ण म ी   प ा ठ े   त ी न   व ा ज ल े   त स ा र ्ण   म ला ए ए अ जू न ए क त ा स भ ा र त  म ी   प ोह च ें त ी  ग ट   
38, 
39, म ल ा   अ स प ा स   क ॅ प  मि ळ ल   टि क े क ाय   की म्ी   आ हे त ी म ी अॅ रें ज   क रू न द े ता   
40, ब र  मब र म ा ल   शि व ा जी   न ग र ल  ज ाय च ा   श ा द ा र न  कि ती   गे ती ल   श व स  व र ग े ट   त ू ल   ि व ा ज ी न ग र  ल ा   
41, ो के   े   आ ण ि   म ल शि व ा जी न ग र   प ा स ू न  श ि ा जी न ग र  म ध्े     ज ाय च ं   शि व ा जी न ग र   म ध्ये  ज   श क क ी त ं   
42,   आ स प ा   ि क द ा   प ं द् र ा   म िं ड ज  क ा व ं   
43, औ क े   ब ण ा ल  न ा म ा ला  म ं त र े   त ज   च ा र् जे   श ो क ली   क ाय   
44, 
45, ठ ी के ी च ी   ग म ी   ए क   त ा श ा ब ड त   प ु च ् त े   तु मही आहे न ा ध ी  त ु म ी आ ल ेव ड च ी ज   फो न   क रू त ो त न म ला   ह   
46, आ म ी आ ल व र उ त्त र  ल े  द र   त ु महा ला  क ॉ ल   क र त ं   तु म्ही ह ा   ओ क े   ओ क   े ठ ी क े ट ि क ि   ओ क े  थ ॅं क यू  थ ॅ क   
47, ल ो ट स   न ा ट ् स   क ु म ी   ल ा ं ग ग ्र े न   ड्राइ स   
48, तु म्ही   अ र् ज   क् र म ां क   ज ी प ी   द ो न   न्य   ए क न ऊ   त ी न स हा आ ठ   न व   द ो न   श ू न्य   आ ठ   स हा   श ू न्य   न ऊ   च ा र   च ा र   आ ण ि   ज न् म   त ा री क   ए क व ी स   द ो न   द ो न   श ू न्य   द ो न  द ो न   अ स ल े ल्या   व ा प र   क र त्या स ा ठी   ए न ए स पी   व र   भ र ल े ल ा   न व ी न  श ि ष   ू त ् त ी   अ र् ज ा च ी   या ध ी   क रू   श क ता   क ा   
49, न म स् का र   आ प ल ा   प्र श् न   ख र त क ु प  च ां ग ला   आहे   आ त ा  ज रा प न ं बा गी त ल ं   त र   स ध्या च्या 
50, व ै ल ा न द् या   ज ं ग ल   ल ो ग र   टे क ड्या   स म ु र य श े त ी म ा त ी ल   य ा च्या म ध्ये  ब ा र ा च ा  ब द ल   ज ा ल   हे   य ा च्या  म ध्ये   भा र त ा म ध्य अ स ले ल ा  ब ा र च   प्र दु ् श न  आ हे   म े ज म नी   च ा   प्र द ुर श न  अ स े ल   क ी  म हा व े च ा प ्र द ु श न स त   प ण्या च ा   प्र द र ्ष ण अ स े ल  
51, त या च्या म ध े   रा प ून  भ ा गी त ल ं   व े व ळ्या   क ं प न्   म ध्ये   र ॉ म   ट े रे ल   अ स े ल   की   अ क ं प ्या च ा  के म ि क ल यु क् त ख रा ब   प ण ि   अ से ल  त ा च्या  म ध्ये   ब ा र ा   च न् द्या   ख र ा भ ो त य त   आ त न ा द्यां च ा   प आ णि   ब ा र ा च   व ेया ल ा   श े त ी स ा ठी  व ा प र ल ा जा त ं   
52, त या म ळ त्या   श े त ी   म ध् े  ज रा ब न  ब ा गी त लं   र व े ग ळ क म ि क ल  य ो क ् त   श े त ी  झ ा ल े ल े   आहे   त ा च्या  म ळा  ब ा र्या च   वे ळ ा ल ा   प ि क ा ं  भ ग ल ेा   ब र न ु क स ां ग स त्या च्या   ध े   ड ों ग ल ट े क ळ्या  ज रा रन   भ ा गी त ल ं   त र अ स ध्या च ं आ प न  भ ा े त लं   
53, ध र स् ते  ब न व ण्या स ा ठी   ब र ा च व ळे   ला   ड ों ड ों ग  र श े क   भ रु स   भ रे   स े  ड ों ग र   ख ो र ले  ज ा त ा त  त ा च्या   म ळ ा   प र्या व र ण   ज ा ा  हा   स ो े ल ज ं   व च ं   
54,त ा च्या म ल त या च ा म री   ड ो ड ो ग ल ा च ी   म ा ते   क ा ड ल े ज त े   झ ा ड   त ो ड ल ी   ज ा त ा त  त ा च्या न ं त र   ा ड   त ो ड ल्या न ं त र   त े   झ ा व क ं प न्यां स ा ठी   त   ला क ला कू र   क  म ा स म   च् ा न  भ ु म ी   स ा ठी   त े  ला क डी  ये   के ल्या ज ा ता त   
55, आ श े  ब र  श े   स मु द्र ा   म ध्े द र भा गी र ला   त ा प न बा र  ा स श े   क ा ण े   भ गे ल े  ब रु स  स म द्र   क े ण ा र े   ब र य स ा श े  घ ा ण   झ ा ले ल े आहे त  
56, य या च्या  म ध्ये आ प न   ज ा ज्या व ळ् ा ल ा   फ े र्या ला स ा म द्र   कि ण े अ र ा  ज ा तो   त्या च्या व ल ा  ज रा प न  भ ा ग े त ल ं  त  त्या   ि त े ज   ब ॉ ट ल   त े े ि श व या   त े   ब ा र्या च   अ श ा  गो स् ट ी  त ि ते  प ड ल े ले  अ स त ा त   
57,क ा च या त्या न ं त र   या च् ा स   य ा ज   य ज   गो स् त ी   म ळ ब र ा च व ळ ल ा   झ ा ड ा ं च ी व ा ड   क म ी   ा ल े   प र ं   ा ड   क म ी  झ ा ल ्या   म ळ   उ न उ न ज ा स् त  ला ग ा   ला ग लं   य उ न ा ळा  ज ा स त ं   दि व स ट े क ल ाय   प ा व स ळ ा   क धी   य त ो   क धी   क मी  ये त ं   आ ण ि   क र त ं   र त   ड ग पु र ट ी व ग े ल ह त े   अ श ा  ब र्या च ी   गो स् ट ी  त त   आ धी   स ा र क ा   हे   व ळ  स ु ध ार रा ल े  ला   ना   ये   
58, त या म ळ ज ां ग ल्या च ा   आ णि   प र्य वा ण च ा र हा   स ो त े   हे   न की   त्या मु ्या च्याव र ् ती   व े ळ ा त   ब ं ध न न ग र  ज े च   आ ह े   व े ग ळ े   त ल ा   काय  द्या न े   घ र ज े च   आहे त   ध न्य वा द   
59, ह ल व   क द म   स ा ह ी ब   क द म  साहे वांना नं ब र ल ा ग ल ा   ह ो   
60, ह ा   क द म स ब ी स व ने ह ा ना रीे श्व द   बो ल त े   म ी   त े   आ प ल्या अ स ल े ल्या   स क ा प ा ती ल उु द्या ना   म ध् े   स काळा   स ं ्या क ा   दो नी  ब ळी स   फि र ् ण्या सा ठी ये त े   
61, उ त ् त म ा श ी  व ्य व स ् थ ा  स ले ल आ प ल ा   हा   उ ्या न  आ हे   ग े ल ी ए क द ी   ी ड  दिव स ा  प ा स नं  म ध े  क ा ल स   ज व ळ प स ा म ा झ्या स नी द र  च न ा   च ा ल ा  आ हे   क ी   आ प ण ज ी   द्या न ल ा  ज े   प णि   व ा प र त ो   कि व ा   पा णी   च्या प ण व ा र णी   क र त ो   त्या   फ ा र णी   च्या   ए क ा   ाइ ्ल ाइ न   च्या   ए का   बा ज ू  ल ा   
62, आ णि   म ज े   म े न ु मु ख े र   प्र वा   म ण ावा  ला ग े ल   तं  त या  म ु ख्य प्र ा   क ध े   प ाइ प्लॅ न  कु ठ ल े ल ी   आ हे   आ णि  त या च ा   प ा णी   पू र् ण   प ी   वा या  ज ा त ा  हे   आ ि   े   पू र् ण   पा णि झ े  आ हे  त  पू र्   अ क ् ष र   श हा   भ गी च ा   म ध्ये  पू र् ण   प स र ले लं आ हे   
63, हो क ा ल ा ल  मा ज्या न ग   द र् श न ा स  आ णि   मी   प्या   स ं त र् थ ा   तु म च्या श ी   स ं प र् क   क ण्या च ा  प्र य त ् न  क ध  स ो ती   प ण  त ु म्च ा न ं ब र   म ला   मि ळ त न व त ा  आ त ा ए का ठ ि क ा ण ि ए का   ब ो र ्ड्या वा द   म ला   तु म् च ा  न ं ब र  मि ळा ल ा   म णू न स  म ी तु म्हा ल ा   स ं प र् क   क े ल ा   ह आ णि   माहि ती   दे ण्या च ा प्र य त्न  क र ते  त ु  ् ला   
64, ो   आ ण ि   क स ा म ये त े   स ं ध्या क ा ळ च्या व ेळ स   भ र पू र   प्र म ा ण ा  म ध्ये   आ प्या क डी  ज े श् ा न ा ग र ी  ज ी अ स त ा   ते स ु द ई त े  उ ्य न ा थ  फि र ाय ला ये त ा त  ल ा हा न गु ल ा   आ हे   ती   ख े ळ ा ल ा ये त ा त  
65,भ वा नी  र हा न  म ु ल ा न च ा   ख े ळ त ा  ना झी बा द  ल क् ष ण अ स् त   की  व ा   ज े ् ट   ना ग री   च ी  आ हे त ते   ज स् ट  न ा ग री   सु ध्या   ज व ा   फ ी र त  अ स त ा त   
66,ो कु ठ ल्या  ह ी  आ ध ा र ा श ि व य   फ ि र त न स ा त  अ स त ा   ते   त्या च्या  म ळ्े  क ाय  ह त् त य म री  त्या च ा  पा हे  घ स र ण य च ी   वेळा   कु ठ ल्या ह ी  अ प घ ा त  हो ण् या च ी   कि व ा  क ु ठ ल्ये  द ु द् घ ठ न ा  हो या ची   स ं भ व ण ा  ज ा स् त  आ हे   
67, ब ा  त ा ब र   
68, त्या   मू ळ े   क ाय  झ ा ल ्या म ह त ेए ल   की   तु म्ही     ह ी   जी  उ द्या न ा च ी   ग ळ ती  आहे   त ी   थ ां म व ण्या सा ठी   काह त या ग प ा ळ यो ज न ा   क र ा   आ स मा झ्या म च े   मु ख े त्वी  म ला   तु म्हाला   सां ग ाय च ं   आहे   
69, आ ह े   त ा  झ ा ल ं   अ ब घ ा त  व डू न े  या   सा ठी  त म ी   तु म्हा ल ा  इ न् फ र्म  क र त े स  आ हे   गि व ा  तु ्हाला  माहि त ी  त े त े स   ह   प ं च्या ब ब र स   प ा न ी ज े   आ हे  त   प ा ण ी   सु द ा   मो थ ्या  प्र म ा णा म ध्ये ये थे  व ा य   आ ज ा त  हे   
