id,wh
1,"माझ्या भागामध्ये स्टे. एम. शी. निगडित कर्यारच्या संधी म्हणजे सगळ्यात प्रमुख्यान शिक्षणक्षेत्र, प्रोफेसर्शिप किंवा शाळांमध्ये माध्यमिक प्राथमिक शाळांमध्ये विज्ञां किंवा स्टे. एम. शी. रेटेड प्रत्येक सगळ्या"
2,संस्थांमध्ये शिकवण्यासाठी जाणा हा एक करियाचा खूप मोठा भाग यामध्ये पगाराची आवस्था अजून तेवढी म्हणावे तितकी चांगली नाही जेणेकून लोकं यामध्ये उतरतील अगदे करियार म्हणून याचा विचार करतील.
3,दुसरा एक कर्याचे संधी म्हणजे वेगवेगळे कॉर्परेट सेक्टरमध्ये जॉब्स.
4,तसे की आईटी इंजिनियर्स किंवा मेक्यानिकल इंजिनियर्स वेगवेगळ्या प्रोजेक्ससाठी वेगवेगळ्या स्पेसिफिक प्रडकससाठी लागणारे इंजिनियर्स मध्ये केमिकलपासून वेगवेगळ्या स्पेसिफिकले टेक्नॉलोजा आणि इंजिनिक सेक्तरमध्ये हे खूप ह्या जगळ्या भागामध्ये लागतात.
5,कारण हा आमचा इंडॉस्ट्रील थोडा भाग आहे आणि ह्यामध्ये देशासाठी लागणारे जे स्टील आहे ते स्टील इंडॉस्ट्री कूप मोठी आहे.
6,"ह्या पद्धतीचे आहेत, ह्यामध्ये पगाराचे अकडे हे आजूनही फार म्हणाज इतके चांगले नाहीत, लोका समाधान राहतील आणि त्यांना त्यांचा ते ज्या पद्धतीचे काम करतात, ते ज्या पद्धतीचे ज्या पद्धतीची किंमत ते करतील त्या प्रोजेकला मिळवोन देतात."
7,"त्यावढा मोबदला त्याना अजून त्यामध्ये मिळत नाही. त्यामुळे त्यांचे मागण्या याच आहेत की आम्हाला मोबदलाच चांगला मिळव आणि कौशल्य विकासासाठी वेगवेगळे संस्था, वेगवेगळे केंद्र उभडी करून द्यावेद. ही त्यांची त्यातील प्रमुख मागणी."
8, एलो.
9,तीक आहे ना तर जल्माश्ट्यमीचा कार्यकारून हा दोन दिवसाचा असते तर आमे दोन दिवसाकासून ही तयारी करत असते.
10,जाऱा आहे.
11,हा तर.
12,पेशल कात तो दोन दिवसाच असते तर तो बसते त्याच्यानंतर भजन आणि सेंपक केला जाते सगळ्या पावण्यांना बलवण्यात येते आणि हा कार्यक्रम साजळ करण्यात येते.
13,"दाळकंद्याची भाजी आणि वर्ण, भात, पोळी, पळी, जुन, लाडू हे सगळे त्याच्यामध्ये केला जाते."
14,त्याला आनल्या जाते वाजदगजद आनल्या जाते घरी आनली की त्याची पूजा करते आणि त्याच्यानंतर त्याची स्थापना करते त्याला सजवते स्थेज केल्या जाते नंतर मग आर्थी केली जाते.
15,तुम्ही पुळल्या वर्षी होऊ शकता.
16,नाही या वर्षीचा कार्यक्रम झालेला हे तर तुम्ही पूढल्या वर्षीही होऊ शकता.
17,पुढल्या वर्षी ऑगस्ट माहिन्यामध्ये संजा दहाजार केला.
18,हा हा हा.
19,"मराठी भाषे ही महाराष्ट्राचे आस्मिताय सर्व प्रकारचे संतपटपणे साजरे करून नातेसंबंध, जप्मून, सकारात्मक उर्जा व मानवीसंबंध, भक्ती, आध्यात्मक उर्जेचा स्रोत मानतात, शांती, सकारात्मक दुष्वकळतून सनाच्या माध्यावातून निचितपण्यामुळेले नितीसून येतो."
20,आपल्याकडील सर्वसंव उत्सोपाहीले तर निसर्गाची नातेसंबंध जुळवलेले जाणवेता. अशा प्रकारचे पूर्णपर्येत रचना केलेले आहे. अग्दिमुख्या प्राणायांपरती आदर्ध भाव हा आपल्यास सानातून वेक्त होतो.
21,वियुत प्रकारच्या संस्कृतीने नटलेला आपला देश व आपल्या देशातील प्रत्येक सनची महत्त्व आपल्या जीवनात आनन्य सादरन महत्त्व आहे. वर्षाच्या सुरुवातीपासून ते अगदीशेवट आखेरपरेत.
22,सनाचे महत्त्व व त्यावेळेस बदलले जाणा रुत्तुमान व निसर्गातील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वात्तील प्रश्वातील प्रश्वातील प्रश्वातील प्रश्वातील परश्वातील परशवातील परशवातील परशवातील परशवाती
