id,conf
1, ଅଫ୍
2, ଏଇଟା କି ପ୍ରକାରର ଗୀତ
3, ପାଞ୍ଚ ଅଗଷ୍ଟ ଦୁଇ ହଜାର ପାଞ୍ଚ ବାର ମାର୍ଚ୍ଚ ଦୁଇହଜାର ବାର ତେର ମେ ଦୁଇହଜାର ସତର ଚବିଶ ସେପ୍ଟେମ୍ବର ଦୁଇହଜାର ଏଗାର ଦଶ ଜାନୁଆରୀ ଦୁଇହଜାର ଦୁଇ
4, ବରଗଡ଼ ସୋନପୁର ସମ୍ବଲପୁର ଭେଡ଼େନ ପଦମପୁର
5, ସେ ଲଣ୍ଡନର ଏକ ଉପାନ୍ତ ଘରେ ବସବାସ କରିଥିଲେ ଏବଂ ଦୁଇ ହଜାରରେ ପ୍ରଥମେ ବିବିସି ସାମ୍ବାଦିକ ଜନ୍ ସିମସନଙ୍କ ସହ ମୁହାଁମୁହିଁ ହୋଇଥିଲେ
6, ଭାରତରେ ଅନେକ ବ୍ୟବସାୟ ଶିଳ୍ପପତି ଏବଂ ନେତା ଅଛନ୍ତି
7, ଯେଉଁମାନେ ପ୍ରଯୁକ୍ତି ବିଦ୍ୟା ଶିକ୍ଷା ମନୋରଞ୍ଜନ ବାଣିଜ୍ୟ ଏବଂ ପରିବହନ ଭଳି କ୍ଷେତ୍ରରେ ଭାରତକୁ ଅନେକ ଉପାୟରେ ପରିବର୍ତ୍ତନ କରିଛନ୍ତି
8, ପ୍ରଯୁକ୍ତି ବିଦ୍ୟା ଶିକ୍ଷା କାମରେ ମଧ୍ୟ ବହୁତ ବ୍ୟବହାର ହେଉଛି
9, ମନୋରଞ୍ଜନ ପାଇଁ ମଧ୍ୟ ବ୍ୟବହାର ହେଉଛି
10, ବାଣିଜ୍ୟ କାରବାରରେ ମଧ୍ୟ ତାହା
11, କାମରେ ଆସୁଛି
12, ବାଣିଜ୍ୟ କରିବା ଦ୍ୱାରା ଆମ
13, ପୋଷାକ ପତ୍ର ମଧ୍ୟ
14, ବିକ୍ରି ଆଉ ସୁଲଭ ମୂଲ୍ୟରେ ହୋଇପାରୁଛି
15, ଭାରତକୁ ଅନୁମାନ ପରିବର୍ତ୍ତନ କରିପାରେ ତାହା ସକ୍ଷମ ହୋଇଛି
16, ଯଦ୍୍ୱାରାକି ତାହା ବହୁତ ଭଲ
17, ହେଛି
18, ହଁ ମୁଁ କହିପାରିବି ମଣିପୁର ମିଜୋରାମ ମେଘାଳୟ ନାଗାଲାଣ୍ଡ ମହାରାଷ୍ଟ୍ର
19, ମୋତେ କ୍ୟାମ୍ ପ୍ୟୋୁର୍ର ଛୋଟ କର୍ପୁର ଛଡ଼ର ଅନ୍ୟ ଏକ ବ୍ରାଣ୍ଡ୍ର ଏକ ଜିନିଷ ମିଳିଲା
20, ହ୍ୟାଲୋ
21, ଆଜ୍ଞା ମୁଁ ରେଲୱେ କାଉଣ୍ଟର ରାୟଗଡ଼ାରୁ ମୋନାଲିସା କହୁଛି ଆପଣଙ୍କର କ ଣ ସହାୟତା କରିପାରିବି କି
22, ଆଜ୍ଞା ଆପଣ ଆଜି ଯିବେ ନା କାଲି ଯିବେ
23, ଓହୋ ଆମର ତପସ୍ଵିନୀ ଏକ୍ସପ୍ରେସ ଗୋଟିଏ ଅଛି ସେଇଟା ଏଗାରଟା କୋଡ଼ିଏ ସକାଳ ବେଳେ ଅଛି ଏବଂ ରତି ବେଳା
24, ହଁ ସେଇଟା ପହଞ୍ଚିବା ପହଞ୍ଚିଲା ବେଳକୁ ଗୋଟିଏ ଚବିଶ ଘଣ୍ଟା ଲାଗିବ
25, ହଁ ସେ
26, ରିଜର୍ଭେସନ ସିଟ ଅକ୍ଚୁଲି ଟିକେ ଇଏରେ ରହିଯାଇଛି ମାନେ ବହୁତ ବୁକିଂ ହୋଇକି ରହିଯାଇଛି
27, ହେଉ ତ ଆପଣ ଯଦି କରିବେ ଦୁଇ ଦିନ ଭିତରେ ଯଦି କେଉଁ କେଉଁ ଯାତ୍ରୀ ନ ଆସିବେ କ୍ୟାନସଲେସନ ହେଲା ତା ହେଲେ ଆପଣଙ୍କୁ ସିଟ୍ ମିଳିବ ବୁକିଂ ସିଟ୍ ମିଳିବ ଫିଜ ହୋଇକି ରହିପାରେ
28, ହଁ ଆମର ଆକଚୁଲି ଅଲ୍ରଡ଼ି ସିଟ୍ ମାନେ କଭର ହୋଇସାରିଛି ଆଉ ଆପଣ ଯଦି ବୁକିଂ କରାଇବେ ତା ହେଲେ ଆମର ସେଟା ଫ୍ରିଜ୍ ହୋଇକି ରହିବ
29, ତା ପରେ ଯଦି କୌଣସି ଯାତ୍ରୀ କୌଣସି ପ୍ରୋବ୍ଲେମ୍ ପାଇଁକ ସେ ସେ ତାଙ୍କର ଟିକେଟକୁ କ୍ୟାନ୍ସଲ କରନ୍ତି କ ଣ ଟିକେଟ କ୍ୟାନ୍ସଲ କରାଇଲେ ଯାହା ହେଲେ ବି ଟେନ୍ ପରସେଣ୍ଟ ଗଭର୍ଣ୍ଣମେଣ୍ଟ ରଖିକରି ଆଉ ନାଇଣ୍ଟି ପରସେଣ୍ଟ ଆପଣଙ୍କୁ ଛାଡ଼ିଦେବ ନା ତ ଯଦି କ୍ୟାନ୍ସଲସନ୍ ସେ କରିଲା ତା ହେଲେ ଆମେ କ ଣ କରିବୁ ନା ଆପଣଙ୍କ ବୁକିଂଟାକୁ
30, ସଓର କରେଇଦେବୁ ଆଉ ସେଇଟା ଯଦି ସଓର ହୁଏ ତା ହେେଲେ ତା ର ବାର ଘଣ୍ଟା ପୂର୍ବରୁ ଆପଣଙ୍କ ମେସେଜ ଆସିବ ହେଲା ଧରକ ଆପଣଙ୍କର ଏଗାରଟା ତିରିଶରେ ଅଛି ଟ୍ରେନ୍ ହେଲା ତ ତା ର ବାର ଘଣ୍ଟା ପୂର୍ବରୁ
31, ତା ପୂର୍ବ ଦିନ ଆପଣଙ୍କୁ ସେଇଟା ମାନେ ଆପଣଙ୍କ ମେସେଜ ପଳାଇବ ହେଲା ଆଉ ଆପଣଙ୍କ ଟିକେଟଟା ମାନେ କନଫର୍ମ ହେଲା ବୋଲିକା ସେଇଟା ଆପଣଙ୍କ ହଵାଟସଆପ୍କୁ ହେଉ କିମ୍ବା ଆପଣଙ୍କ ଜିମେଲ ହେଉ ଯେଉଁଟା ବି ହେଉ ସେଟାୁ ପଳାଇବ ଆପଣଙ୍କର
32, ତ ଆପଣ ଜାଣିପାରିବେ କି ମୋତେ ଏହି ନମ୍ବର ସିଟ୍ ମିଳିଲା ଏଇଟା ମୋର ରିଜର୍ଭେସନ ମାନେ କମ୍ପ୍ଲିଟ୍ ହେଲା
33, ହଁ ତପସଣୀଟା ତ ସୁପର ଫାଷ୍ଟ ଆଜ୍ଞା ଆଉ କୋର୍ବା ଏକ୍ସପ୍ରେସ୍ ବି ଅଛି ଆଉ ସେଇଟା କଲିକତା
34, ମାନେ ପାସେଞ୍ଜର ବି ନୁହଁ ମାନେ ଜଷ୍ଟ ଏକ୍ସପ୍ରେସ୍ ଗୋଟିଏ ଅଛି କଲିକତା ଏକ୍ସପ୍ରେସ ବି ଗୋଟିଏ ଅଛି
35, ଆଜ୍ଞା ଆପଣଙ୍କର ଜେନେରାଲରେ ଯିବ ଯଦି ତିନିଶହ ଚଉରାଳିଶ ଟଙ୍କା ପଡ଼ିବ ଆଉ ଯଦି ଆପଣ ରିଜର୍ଭେସନ କରିବେ ପାଞ୍ଚଶହ ଷାଠିଏ ଟଙ୍କା ପଡ଼ିବ ଆପଣଙ୍କୁ ଆଉ ଏସି ଏସି ସିଟ୍ ବି ଅଛି ରହିଛି
