id,ref
1,ଅଫ୍
2,ଏଇଟା କି ପ୍ରକାରର ଗୀତ
3,ପାଞ୍ଚେ ଅଗଷ୍ଟ ଦିହଜାର ପାଞ୍ଚେ ବାର ମାର୍ଚ୍ଚ ଦିହଜାରବାର ତେର ମେ ଦିହଜାର ସତର ଚବିଶି ସେପ୍ଟେମ୍ବର ଦିହଜାର ଏଗାର ଦଶ ଜାନୁୟାରୀ ଦିହଜାରଦୁଇ
4,ବରଗଡ଼ ସୋନପୁର୍ ସମଲପୁର୍ ପଦମପୁର୍
5,ସେ ଲଣ୍ଡନର ଏକ ଉପାନ୍ତ ଘରେ ବସବାସ କରିଥିଲେ ଏବଂ ଦୁଇ ହଜାରରେ ପ୍ରଥମେ ବିବିସି ସାମ୍ବାଦିକ ଜନ୍ ସିମ୍ସନଙ୍କ ସହ ମୁହାଁମୁହିଁ ହୋଇଥିଲେ
6,ଭାରତରେ ଅନେକ ବ୍ୟବସାୟ ଶିଳ୍ପପତି ଏବଂ ନେତା ଅଛନ୍ତି
7,ଯୋଉମାନେ ପ୍ରଯୁକ୍ତି ବିଦ୍ୟା ଶିକ୍ଷା ମନୋରଞ୍ଜନ ବାଣିଜ୍ୟ ଏବଂ ପରିବହନ ଭଳି କ୍ଷେତ୍ରରେ ଭାରତକୁ ଅନେକ ଉପାୟରେ ପରିବର୍ତ୍ତନ କରିଛନ୍ତି
8,ପ୍ରଯୁକ୍ତି ବିଦ୍ୟା ଶିକ୍ଷା କାମରେ ମଧ୍ୟ ବହୁତ ବ୍ୟବହାର ହଉଚି
9,ମନୋରଞ୍ଜନ ପାଇଁ ବି ମଧ୍ୟ ବ୍ୟବହାର ହଉଚି
10,ବାଣିଜ୍ୟ କାରବାରରେ ମଧ୍ୟ ତାହା
11,କାମରେ ଆସୁଚି
12,ବାଣିଜ୍ୟ କରିବା ଦ୍ୱାରା ଆମ
13,ପୋଷାକପତ୍ର ମଧ୍ୟ
14,ବିକ୍ରି ଆଉ ସୁଲଭ ମୂଲ୍ୟରେ ହେଇପାରୁଚି
15,ଭାରତକୁ ପରିବର୍ତନ କରେଇବାରେ ତାହା ସକ୍ଷମ ହେଇଛି
16,ଯାଦ୍ୱାରା କି ତାହା ବହୁତ ଭଲ
17,ହୋଇଛି
18,ହଁ ମୁଁ କହିପାରିବି ମଣିପୁରୁ ମିଜୋରମ ମେଘାଳୟ ନାଗାଲାଣ୍ଡ ମହାରାଷ୍ଟ୍ର
19,ମୋତେ କ୍ୟାମ୍ପ୍ୟୋର୍ର ଛୋଟ କର୍ପୂର ଛଡ଼ିର ଅନ୍ୟ ଏକ ବ୍ରାଣ୍ଡ୍ର ଏକ ଜିନିଷ ମିଳିଲା
20,ହାଲୋ
21,ଆଜ୍ଞା ମୁଁ ରେଲେୱ କାଉଣ୍ଟର ରାୟଗଡ଼ାରୁ ମୋନାଲିସା କହୁଚି ଆପଣଙ୍କର କ'ଣ ସହାୟତା କରିପାରିବି କି
22,ଆଜ୍ଞା ଆପଣ ଆଜି ଯିବେ ନା କାଲି ଯିବେ
23,ଓ ହଁ ଆମର ତପସ୍ୱିନୀ ଏକ୍ସପ୍ରେସ୍ ଗୋଟେ ଅଛି ସେଇଟା ଏଗାରଟା କୋଡ଼ିଏ ସଖାଳ ବେଳା ଅଛି ଏବଂ ରାତି ବେଳା
24,ହଁ ସେଇଟା ପହଞ୍ଚିବ ପହଞ୍ଚିଲା ବେଳକୁ ଗୋଟେ ଚବିଶ ଘଣ୍ଟା ଲାଗିବ
25,ହଁ
26,ରିଜର୍ଭେସନ୍ ସିଟ୍ ଆକଚୁଆଲି ଟିକେ ଇଏରେ ରହିଯାଇଚି ମାନେ ବହୁତ ବୁକିଙ୍ଗ ହେଇକି ରହିଯାଇଚି
27,ଆଉ ତ ଆପଣ ଯଦି କରିବେ ଦୁଇ ଦିନ ଭିତରେ ଯଦି କୋଉ ଯାତ୍ରୀ ନ ଆସିବେ କ୍ୟାସେଲେସନ ହେଲା ତା'ହେଲେ ଆପଣଙ୍କୁ ସିଟ ମିଳିବ ବୁକିଙ୍ଗ ସିଟ ମିଳିବ ସିଜ ହେଇକି ରହିପାରେ
28,ହଁ ଆମର ଆକଚୁଆଲି ଅଲରେଡ଼ି ସିଟ ମାନେ କଭର ହେଇସାରିଚି ଆଉ ଆପଣ ଯଦି ବୁକିଙ୍ଗ କରିବେ ତା'ହେଲେ ଆମର ସେଟା ସିଜ ହେଇକି ରହିବ
29,ଅ ତା'ପରେ ଯଦି କୌଣସି ଯାତ୍ରୀ କୌଣସି ପ୍ରୋବ୍ଲେମ୍ ପାଇଁକା ସେ ସେ ତାଙ୍କର ଟିକେଟ୍କୁ କ୍ୟାନସେଲ୍ କରାନ୍ତି କାରଣ ଟିକେଟ୍ କ୍ୟାନସେଲ୍ କରେଇଲେ ଯାହେଲେ ବି ଟେନ ପ୍ରସେଣ୍ଟ ଗମେଣ୍ଟ ରଖିକିରି ଆଉ ନାଇଟି ପ୍ରସେଣ୍ଟ ଆପଣଙ୍କୁ ଛାଡ଼ି ଦବ ନା ତ ଯଦି କ୍ୟାସେଲେସନ ସେ କରିଲା ତା'ହେଲେ ଆମେ କ'ଣ କରିବୁ ନା ଆପଣଙ୍କ ବୁକିଙ୍ଗ ଟାକୁ
30,ସିଅର କରିଦେବୁ ଆଉ ଆପ ସେଇଟା ଯଦି ସିଅର ହୁଏ ତା'ହେଲେ ତା'ର ବାର ଘଣ୍ଟା ପୂର୍ବରୁ ଆପଣଙ୍କୁ ମେସେଜ ଆସିବ ହେଲା ଧରକର ଆପଣଙ୍କ ଏଗାରଟା ତିରିଶରେ ଅଛି ଟ୍ରେନ ହେଲା ତାର ବାର ଘଣ୍ଟା ପୂର୍ବରୁ
31,ତା' ପୂର୍ବଦିନ ଆପଣଙ୍କୁ ସେଟାମାନେ ଆପଣଙ୍କୁ ମେସେଜ ପଳେଇବ ହେଲା ଆଉ ଆପଣଙ୍କ ଟିକେଟଟା ମାନେ କନଫର୍ମ ହେଲା ବୋଲିକା ସେଟା ଆପଣଙ୍କ ୱାଟସପକୁ ହୋଉ କିମ୍ବା ଆପଣଙ୍କ ଜିମେଲ ହୋଉ ଯୋଉଟାବି ହୋଉ ସେଟାକୁ ପଳେଇବ ଆପଣଙ୍କର
32,ତ ଆପଣ ଜାଣିପାରିବେ କି ମତେ ଏଇ ନମ୍ବର ସିଟ ମିଳିଲା ଏଇଟା ମୋର ରିଜର୍ଭେସନ ମାନେ କମ୍ପ୍ଲିଟ ହେଲା
33,ହଁ ତପସ୍ୱିନୀଟା ତ ସୁପରଫାଷ୍ଟଟା ଆଜ୍ଞା ଆଉ କୋରବା ଏକ୍ସପ୍ରେସ ବି ଅଛି ଆଉ ସେଇଟା କଲିକତା
34,ମାନେ ପାସେଞ୍ଜର ବି ନୁହଁ ମାନେ ଜଷ୍ଟ ଏକ୍ସପ୍ରେସ୍ ଗୋଟେ ଅଛି କଲିକତା ଏକ୍ସପ୍ରେସ୍ ବି ଗୋଟେ ଅଛି
35,ଆଜ୍ଞା ଆପଣଙ୍କର ଜେନେରାଲରେ ଯିବେ ଯଦି ତିନିଶହ ଚଉରାଳିଶ ଟଙ୍କା ପଡ଼ିବ ଆଉ ଯଦି ଆପଣ ରିଜର୍ଭେସନ କରିବେ ପାଂଶହ ଷାଠିଏ ଟଙ୍କା ପଡ଼ିବ ଆପଣଙ୍କୁ ଆଉ ଏସି ଏସି ସିଟ ବି ଅଛି ରହିଚି
