id,w2v
1,ଅଫ
2,ଏଇଟା କି ପ୍ରକାରର ଗିତ
3,ପାଞ୍ଚେ ଅଗଷ୍ଟ ଦୁଇହଜାର ପାଞ୍ଚ ବାର ମାର୍ସ ଦିଇହଜାର ବାର ତେର ମେସ ଦୁହଜାର ସତର ଚବିଶି ସେପ୍ଟେମ୍ବର ଦୁହଜାର ଏଗାର ଦଶ ଜାନୁାରି ଦିହଜାର ଦୁଇ
4,ବରଗଡ଼ ସନ୍ପୁର ସମଲ୍ପୁର୍ ବେଡେନ ପଦମ୍ପୁର
5,ସେ ଲଣ ଡନ ର ଏକୁ ପାନ୍ତ ଘରେ ବରସ ବାସ କରିଥିଲେ ଏବଂ ଦୁଇ ହଜାର ର ପ୍ରଥମେ ବି.ବିଶି ାମ୍ବାଦିକ ଜନ୍ ସିନସନଙ୍କ ସହ ମୁହଁ ମୁହିଁ ହୋଇଥିଲେ
6,ଭାରତ ରେ ଅନେକ ବ୍ୟବସାଇୟ ସିଳ୍ପ ପତି ଏବଂ ନେତା ଅଛନ୍ତି
7,ଯେଉଁ ମାନେ ପ୍ରଜୁକ୍ତି ବିଦ୍ା ସିକ୍ଷା ମନରଞ୍ଜନ ବାଣିଯ୍ୟ ଏବଂ ପରିବହନ ଭଲି ଖେତ୍ରରେ ଭାରତ କ ଆଣକ ଉପାଇରେ ପରିବର୍ତନ କରିଛନ୍ତି
8,ପ୍ରୋଜୁକ୍ତି ବିଦ୍ୟା ସିକ୍ଷମ କାମରେ ମଧ୍ୟ ବହୁତ ବ୍ୟବହାର ହଉଚି
9,ମନରଞ୍ଜନ ପାଇଁ ମଧ୍ୟ ବ୍ୟବହାର ହଉଛି
10,ବାଣିଜ କାରୋବାର ରେ ମଧ୍ୟ ତାସ
11,କାମରେ ଆସୁଛି
12,ବାଣିଯ୍ୟ କରିବା ଦ୍ୱାରା ଆମୁ
13,ପଷକ ପତ୍ର ମଧ୍ୟ
14,ବିକ୍ରି ହାଉ ସୁଲବ ମୂଲ୍ଯରେ ହେଇ ପାରୁଛି
15,ଭାରତ କୁ ଆମେ ଆମେ ପରି ବର୍ତନ କରିବାରେ ତା ସକ୍ଷୟମ ହେଇଚି
16,ଜଦରକେ ତାହ ବହୁତ ଭଲ
17,ହଇଚି
18,ହ ମୁ କହି ପାରିବି ମଣିପୁର ମିଜୋରାମ ମିଘାଳୟ ନାଗାଲାଣ୍ଡ ମହାରାଷ୍ଟ୍ର
19,ମୋତେ କ୍ୟାମ୍ ପ୍ଓର ର ଛୋଟ କର୍ପୁର ଛଡ଼ି ର ଅନନ୍ୟ ଏକ ବ୍ରାଣ୍ଡଟ ର ଏକ ଜିନିସ ମିଳିଲା
20,ହେଲ
21,ଆଜ୍ଞା ମ ମୋ ରେଲ୍ବେଏକାଉଣ୍ଟର ରାୟଗଡା ରୁ ମନାଲିସ କହୁଛି ଆପଣଙ୍କର କଣ ସହାୟତା କରିପାରିବି କି
22,ଆଜ୍ଞା ଆପଣ ଆଜି ଯିବେ ନା କାଲି ଯିବେ
23,ଆମର ତପସୁନୀ ସ୍ପ୍ରେସ କୋଟେ ଅଛି ସେଇଟା ଏଗାରଟା କୋଡ଼ିଏ ସକାଳବେଳେ ଅଛି ଏବଂ ରାତି ବେଳେ
24,ଆଉ ସେଟା ପହ୍ଚି ପହଞ୍ଜିଲା ବେଳକୁ ଗଟେ ଚବିଶ ଗଣ୍ଟା ଲାଗିବ
25,ହସେ
26,ରିଜର୍ବେସନସିଟରେ ଆଚଲି ଟିକେ ଲରରହିଯାଇଛି ମାନି ବହୁତ୍ ବୁକିଙ୍ଗ ହେଇକି ରହିଯାଇଛି
27,ଆ ତ ଆପଣ ଯଦି କରିବେ ଦୁଇ ଦିନ ଭିତ୍ରେ ଯଦି କୋଟ କୋଉଝାତିରେ ନ ଆାସିବେ କ୍ୟାନ୍ସଲସନ ହେଲା ତାହାଲା ଆପଣଙ୍କୁ ସିଟ ମିଳିବ ବୁକିନସିଟ ମିଳିବ ଫ୍ରିଜ ହେଇକି ରହିପାରେ
28,ହ ଆମୋର ଏକ୍ଚଲି ଅଲଡରେଡି ସି ମାନେ କଭର ହେଇସାରିଛି ଆଉ ଆପଣ ଯଦି ବୁକିଙ୍ କରିବେ ତାହେଲା ଆମସଟା ସ୍ରିଦ ହେଇକି ରହିବ
29,ତାପରେ ଯଦି କୌଣସି ଝାତ୍ରୀ କୌଣସି କବ୍ଲେମ ପାଇଁ କସ ଛି ତାଙ୍କର କା ଟିକେଟ କୁ କ୍ୟାନ୍ସଳ କରାନ୍ତି କାହାଁଟି କେଟ କ୍ୟନ୍ସଲ କରିଇଲେ ଯାହଲେବି ଟେନ ପର୍ସନ ଗମେଣ୍ଟ ରଖିକିରି ଆଉ ନାଇଁ୍ଟି ପର୍ଷସେନ୍ଟ ଆପଣଙ୍କୁ ଛାଡି ଦେବ ନାଁତ ଯଦି କ୍ୟାନ୍ସଲସନସେ କରିଲା ତାହଲେ ଆମେ କଣ କରିବୁ ନା ଆପଣଙ୍କ ବୁକିଙଗ ଟାକୁ
30,ସିଅର କରିଦବ ଆଉଆସେଇଟା ଯଦି ଶିଅର ହୁଏ ତଲେ ତାର ବାର ଘଣ୍ଟା ପୂର୍ବରୁ ଆପଣକୁ ମେସୁଚଆସିବ ହଲାମ ଧରକରା ଆପଣଙ୍କର ଏଗାର ଟା ତିରିଶ ରେ ଅଛି ଟ୍ରେନ ଲା ତ ତା ର ବାର ଘଣ୍ଟା ପୂର୍ବରୁ
31,ତା ପୂର୍ବ ଦିନ ଆପଣ୍କୁ ସେଟା ମାନେ ଆପଣ୍କୁ ମେସେସ ପଳେିବ ହେଲା ଆପଣଙ୍କ ଟିକକେ ଟା ମାନେ କଣଫର୍ମ୍ ହେଲା ବେଳିକ ସେଟା ଆପଣଙ୍କ ହ୍ସପ କୁ ହଉବ କିମା ଆପଣଙ୍କ ଜିମେଲ ହଉଜେଟା ବି ହଉସତାନିକୁ ପଳଇବ ଆପଣଙ୍କର
32,ତ ଆପଣ ଜାଣି ପାରିବେକି ମୋତେ ଏଇ ନମ୍ବର ସିଟ ମିଳିଲା ଏଇଟା ମୋରର ରିଜର୍ବସନ କମ ମୁ ମାନେ କମ୍ପ୍ଲିଟ ହେଲା
33,ଁ ତପ ସନେ ଟକ ସୁପର୍ ଫାଷ୍ଟା ୍ଞା ଆଉ କୋର୍ବା ଏକସ୍ପ୍େସ ବି ଅଛି ଆ ସେଡା କଲିକତା
34,ମାନେ ପାସଜର ବି ନୁହଁ ମନେ ଜଷ୍ଟ ଏକସ୍ପରେସ ଗୋଟେ ଅଛି କଲିକତା କସୁଗୋଟେ ଅଛି
35,ଆଜ୍ଞା ଆପଣଙ୍କର ଜେନ୍ଡରାଲ ରେ ଯିଯେତେତିନିସ ଚରାଳିସ୍ ଟଙ୍କା ପଡିବ ଆଉ ଯୋଜେ ଆପଣ ରିଜରସନଙ କରିବେ ପାକୁ ଷାଟି ଟଙ୍କା ପଡିବ ଆପଣକୁ ଆଉ ଏସି ଏସିସିଟ ବି ଅଛି ରହିଛି
36,ଏସିସିଟିବି ବୁକିଙ୍ଗ ଅଛି ଏସିଦି ରେ ଟିକେ ମାନେ ଅଧିକ ଚାର୍ଜ ପଡିବ ଆଠଷ ଟଙ୍କା ପଡ଼ିବ ବା କି ଆପଣ ପୂରା ସୁବିଧା ସୁଜେଗରେ ଯାଇପାରିବେ
37,ଆଜ୍ଞା ଆଉ ଠିକ ଅଛି ମୁ ତାପ ସିନିରେ ଦେଖୁଚି ତପ ସୁଣ୍ଡ ସୁପର ଖଷ୍ଟା ଅଛି ନାତ ସାରା ଟିକେ ଜଲି ନାଇକି ପହ୍ଚେିବ
