id,wh
1, Oh pff
2,ଏଇଟା କି ପ୍ରକାର ର ଗୀତ
3,ପାଞ୍ଚି ଅଗଷ୍ଟ ଦିହଜାର ପାଞ୍ଚି ବାର ମାର୍ଷ ଦିହଜାର ବାର ତେର ମେଁ ଦିହଜାର ସତର ଚବୀଶି ସେପ୍ଟାମ୍ବ ଦିହଜାର ଏଗାର ଦଶ ଜାନୁାରୀ ଦିହଜାର ଦୁଇ
4,ବର୍ଗର ସନପୂର ସମଳପୂର ଭେଡେନ ପଦମପୂର
5,ସେ ଲନ୍ଡନ ର ଏକୋଉ ପାନ୍ତ ଘରେ ବସ ବାସ କରିଥିଲେ ଏବଂ ଦୁଇ ହଜାର ରେ ପ୍ରଥମେ ବି.ବି.ସି ସାମ୍ବାତିକ ଜନ ସିମସନ୍ ଙ୍କ ସହ ମୁହା ମୁହି ହେଇଥିଲେ
6,ଭାରତରେ ଅନ୍ତକୁ ବ୍ୟଷା ସିଲ୍ ପବତୀ ଏବଂ ନେତ ଅଛନ୍ତି
7,ଯେଉଁ ମାନ୍ ପ୍ରୀଯ୍ତ୍ରୀ ବିଦିଆ ଶୀଖ୍ଷା ମୋନ ରଞ୍ଜନ ବାଣିଛୁ ଏବଂ ପରିବନ ଭଲି କେତ୍ରରେ ବାର୍ତ କଣିକୁ ଉପାଇ ରେ ପରିବନ୍ତ୍ନ କରିଛନ୍ତି
8,ପ୍ର୍ଯୁତ୍ରୀ ବିଧ୍ଷା ଶେକ୍ଷା ମୁ କାମୁରେ ମଧ୍ୟ ବହୁତ ବ୍ୟବାର ହଉଛି
9,ମୁନ୍ର ରଞ୍ଜନା ରେ ପାଇବୁ ମୁଧ୍ୟ ବେବାର ହଉଛି
10,କୁବାଣିଯ୍ୟ କାର୍ ବାରରେ ମଧ୍ୟ ତାସ
11,କାମରେ ଆସୁଛି
12,ବାଣିଜେ କରିବାଦ୍ଵା ରାମ
13,ପରସାକ ପତ୍ର ମଧ୍ୟ
14,ବିକ୍ରୀ ଆସୁଲାବ ମଲ୍ଯ୍ୟ ରେ ପାରୁଛି
15,ଭାରତ ହାଉନି ଏନୁ ପରି ବର୍ତନ କରିବାରେ ତାହ ସକ୍ଷମ ହେଇଛି
16,ଯୋର୍ଯ୍ ଯୋରା ରେ ତାହା ବହୁତ ଭଲ
17,ହୋଚି
