id,conf
1, ਹੈਲੋ
2, ਸਤਿ ਸ਼੍ਰੀ ਅਕਾਲ
3, ਹਾਂਜੀ ਤੁਸੀਂ ਕਿੱਦਾਂ ਦਾ ਹਾਊਸ ਦਿਖਣਾ ਚਾਹੋਗੇ
4, ਕੇ ਤੁਸੀਂ ਕਿੱਦਾਂ ਜਿਵੇਂ ਆਪਣੇ ਫਰੈਂਡਜ਼ ਵਗੈਰਾ ਨਾਲ ਰਹਿਣਾ ਕਿ ਫੁੱਲ ਫੈਮਿਲੀ
5, ਓਕੇ ਅਤੇ ਤੁਸੀਂ ਕੀ ਕੰਮ ਕਰਦੇ ਹੋ
6, ਵਾਟਰ ਫੈਸਿਲਟੀ ਫੁੱਲ ਸਾਰੀਆਂ ਫੈਸਿਲਟੀਜ਼ ਨੇ ਇੱਥੇ ਜਿਵੇਂ ਕਿ ਫੁੱਲੀ ਫਰਨਿਸ਼ਡ ਕਿਚਨ ਹੈ ਜਿਹਦੇ ਵਿੱਚ ਤੁਹਾਨੂੰ ਥੋੜ੍ਹੇ ਜਿਹੇ ਮਤਲਬ ਬਰਤਨ ਵਗੈਰਾ ਵੀ ਹੋਣਗੇ ਗੀਜ਼ਰ ਲੱਗਾ ਹੋਵੇਗਾ ਕਿਚਨ ਦੇ ਵਿੱਚ ਅਤੇ ਪਾਣੀ ਲਈ ਵਾਟਰ ਫਿਲਟਰ ਵੀ ਲੱਗਾ ਵ ਆਰ ਓ ਜਿਹਦੇ ਵਿੱਚ ਪਾਣੀ ਦੀ ਕੋਈ ਦਿੱਕਤ ਨਹੀਂ ਆਏਗੀ
7, ਨਹੀਂ ਉਹ ਜਿਵੇਂ ਆਪਾਂ ਕੋਈ ਦਿੱਕਤ ਨਹੀਂ ਹੁੰਦੀ ਪਾਣੀ ਦੀ ਕਿ ਆਪਾਂ ਜਦੋਂ ਮੋਟਰ ਚਲਾਉਂਦੇ ਹਾਂ ਮ ਪਾਣੀ ਉਦੋਂ ਆ ਜਾਂਦਾ ਜਦਾਂ ਪਾਣੀ ਦੀ ਕੋਈ ਦਿੱਕਤ ਨਹੀਂ ਇੱਥੇ ਏਰੀਏ ਚ
8, ਬਿਜਲੀ ਵੈਸੇ ਤਾਂ ਇੱਥੇ ਜਾਂਦੀ ਨਹੀਂ ਕਿ ਕੋਈ ਪਾਵਰ ਕੱਟ ਨਹੀਂ ਹੁੰਦਾ ਬਟ ਫਿਰ ਵੀ ਜੇ ਕਿਤੇ ਹੁੰਦਾ ਵੀ ਤਾਂ ਉਹਦੇ ਲਈ ਉੱਪਰ ਇਨਵਰਟਰ ਵੀ ਲੱਗਾ ਹੋਇਆ ਪੂਰੇ ਰੂਮਜ਼ ਦੇ ਵਿੱਚ ਜਿਹਦੇ ਵਿੱਚ ਇਨਵਰਟਰ ਅਤੇ ਲਾਈਟਸ ਫੈਨਜ਼ ਹੋਰ ਫੈਸਿਲਟੀਜ਼ ਜਿਵੇਂ ਇੱਥੇ ਰੂਮਜ਼ ਦੇ ਵਿੱਚ ਟੂ ਬੀ ਐੱਚ ਕੇ ਹੈ ਦੋਹਾਂ ਰੂਮਜ਼ ਦੇ ਵਿੱਚ ਏ ਏ ਸੀ ਵੀ ਲੱਗੇ ਵਏ ਹੈ ਬੈਡਸ ਫੁੱਲੀ ਫਰਨਿਸ਼ਡ ਹੈ
9, ਹਾਂਜੀ
10, ਨਹੀਂ ਨਹੀਂ ਇਸ ਚ ਹੋਰ ਕੋਈ ਪ੍ਰੋਬਲਮ ਨਹੀਂ ਬਾਕੀ ਜਿਵੇਂ ਨਹੀਂ ਪ੍ਰੋਬਲਮ ਤਾਂ ਕੋਈ ਨਹੀਂ ਆਏਗੀ
11, ਹਾਂਜੀ ਇੱਥੋਂ ਬਸ ਦੋ ਚਾਰ ਕਿਲੋਮੀਟਰ ਤੇ ਹੀ ਹੈਗਾ ਰੇਲਵੇ ਸਟੇਸ਼ਨ ਅਤੇ ਜਿਹੜਾ ਬੱਸ ਸਟੇਸ਼ਨ ਹੈ ਉਹ ਤਾਂ ਵਾਕਿੰਗ ਡਿਸਟੈਂਸ ਤੇ ਹੀ ਹੈ ਕਿ ਜੇ ਇੱਥੋਂ ਆਉਣ ਜਾਣ ਚ ਕੋਈ ਦਿੱਕਤ ਨਹੀਂ ਆੁੰਂਦੀ ਤਾਂ ਬਾਕੀ ਹੋਰ ਜੇ ਇੱਕ ਗ੍ਰੋਸਰੀ ਸਟੋਰ ਵੀ ਨੇੜੇ ਹੀ ਹੈ ਅਤੇ ਹੋਰ ਸਾਰੇ ਤਰ੍ਹਾਂ ਦੀ ਫੈਸਿਲਟੀਜ਼ ਇੱਥੇ ਏਰੀਆ ਉੱਦਾਂ ਦਾ ਅਤੇ ਸਾਰੀਆਂ ਫੈਸਿਲਿਟੀਜ਼ ਨੇਹੜੇ ਹੀ ਅਵੇਲੇਬਲ ਨੇ ਆਪਾਂ ਨੂੰ
12, ਹਾਂਜੀ ਹਾਂਜੀ ਪੂਰੀ ਜਿਵੇਂ ਸੋਸਾਇਟੀ ਬਣੀ ਵੀਈ ਹੈ ਉੱਥੇ ਉੱਥੇ ਸਕਿਕਿਉਰਿਟੀ ਗਾਰਡ ਲੱਗਾ ਵ ਆਪਣੇ ਸੋਸਾਇਟੀ ਦੇ ਬਾਹਰ ਜਿਹੜਾ ਕਿ ਆਉਣ ਜਾਣ ਵਾਲੇ ਕੋਈ ਅਨਨੋਨ ਪਰਸਨ ਨਹੀਂ ਆ ਸਕਦਾ ਇੱਥੇ
13, ਜਿੰਨਾ ਆਪਣਾ ਰੈਂਟ ਹੁੰਦਾ ਜਿਵੇਂ ਜਿੰਨਾ ਵੀ ਰੈਂਟ ਆਪਣੇ ਫਲੈਟ ਦਾ ਹੋਏਗਾਓ ਵੀ ਐੱਚ ਕੇ ਓਨੀ ਸਕਿਉਰਿਟੀ ਹੋਏਗੀ
14, ਇੱਥੇ ਆਪਣੇ ਜਿਵੇਂ ਫਲੋਰਸ ਬਣੇ ਵੇ ਨਾ ਇੱਥੇ ਜਿਵੇਂ ਇੱਕ ਗਰਾਊਂਡ ਫਲੋਰ ਤੇ ਇੱਕ ਫਲੈਟ ਹੈ ਅਤੇ ਇੱਕ ਸੈਕਿੰਡ ਫਲੋਰ ਅਤੇ ਫਸਟ ਫਲੋਰ ਤੇ ਸਾਰਿਆਂ ਦੇ ਉੱਤੇ ਬਣੇ ਵਏ ਆ
15, ਤੁਂ ਅੱਜ ਸ਼ਾਮ ਨੂੰ ਆ ਸਕਦੇ ਹੋ ਪੰਜ ਵਜੇ
16, ਓਕੇ ਜੀ
17, ਹੈਲੋ
18, ਗੁੱਡ ਈਵਰਨਿੰਗ
19, ਹਾਂਜੀ ਮੈਮ
20, ਹਾਂਜੀ
21, ਹਾਂਜੀ ਮੈਮ ਕੌਣਸਾ ਪਾਰਸਲ ਹੈ ਆਪਕਾ
22, ਕਿਆ ਨਾਮ
23, ਹਾਂਜੀ
24, ਹਾਂਜੀ ਮੈਮ ਮੈਂ ਆਪੋ ਚੈੱਕ ਕਰਕੇ ਬਿਤਾ ਦੇਤੀ ਹੋਰ ਆਪ ਨੇ ਕਬ ਔਡਰ ਕਰਾ ਥਾ ਯ ਪਾਰਸਲ
25, ਹਾਂਜੀ ਹਾਂਜੀ ਕਿਆ ਥਾ ਉਸ ਉਸ ਪਾਰਸਲ ਮੇ
26, ਹਾਂਜੀ ਹਾਂਜੀ
27, ਹਾਂਜੀ ਮੈਮ ਮੈਂ ਦੇਖ ਰਹੀ ਹੂੰ ਵੋ ਅੱਖਾ ਪਾਰਸਲ ਇਸ ਲਈਏ ਲੇਟ ਹੋ ਰਿਹਾ ਹੈ ਕਿਉਂਕਿ ਕੁਛ ਨਾ ਇਸਮੇ ਦਿੱਕਤ ਆ ਰਹੀ ਹੈ
28, ਡਿਲੀਵਰ ਹੋਣੇ ਮੇ ਤੋ ਵੋ ਮੈਂ ਇੱਕ ਦੋ ਦਿਨ ਲੱਗੇਂਗੇ ਆਪ ਕੋ ਡਿਲੀਵਰੀ ਕਰਨੇ ਮੇ ਸੋਰੀ ਫੋਰ ਲੇਟ ਆਪ ਕ ਪਸਲ ਲੇਟ ਹੋ ਗਿਆ ਸੌਰੀ ਉਸ ਕੇ ਲਏ ਪਰ ਹਮ ਕੋਸ਼ਿਸ਼ ਕਰੇਗੇ ਕਿ ਆਪ ਕੋ ਹੋ ਜਾਏ ਇੱਕ ਇੱਕ ਦਿਨ ਮੇ ਇੱਕ ਦੋ ਦਿਨ ਮੇ
