id,ref
1,ਹੈਲੋ
2,ਸਸਰੀ ਕਾਲ
3,ਹਾਂਜੀ ਤੁਸੀਂ ਕਿੱਦਾਂ ਦਾ ਹਾਊਸ ਦੇਖਣਾ ਚਾਹੁਗੇ
4,ਓਕੇ ਤੁਸੀਂ ਕਿੱਦਾਂ ਜਿਵੇਂ ਆਪਨੇ ਫਰੈਂਡਸ ਵਗੈਰਾ ਨਾਲ ਜਾਨਾ ਕੇ ਫੁੱਲ ਫੈਮਲੀ
5,ਓਕੇ ਤੇ ਤੁਸੀਂ ਕੀ ਕੰਮ ਕਰਦੇ ਓ
6,ਮੋਟਰ ਫਸਿਲੀਟੀ ਫੁੱਲ ਓ ਸਾਰੀਆਂ ਫਸਿਲੀਟੀਜ਼ ਨੇ ਇੱਥੇ ਜਿਵੇਂ ਕੀ ਫੁਲੀ ਫਰਨੀਸ਼ਡ ਕਿਚਨ ਐ ਜਿਹਦੇ ਵਿੱਚ ਤੁਹਾਨੂੰ ਥੋੜੇ ਜਿਹੇ ਮਤਲਬ ਬਰਤਨ ਵਗੈਰਾ ਵੀ ਹੋਣਗੇ ਗੀਜ਼ਰ ਲੱਗਾ ਹੋਏਗਾ ਕਿਚਨ ਦੇ ਵਿੱਚ ਤੇ ਪਾਨੀ ਲਈ ਵੋਟਰ ਫਿਲਟਰ ਵੀ ਲੱਗਿਆ ਗਾ ਆਰਓ ਜਿਹਦੇ ਵਿੱਚ ਪਾਨੀ ਦੀ ਕੋਈ ਦਿੱਕਤ ਨੀ ਆਏਗੀ
7,ਨਹੀਂ ਉਹ ਜਿਵੇਂ ਆਪਾਂ ਕੋਈ ਦਿੱਕਤ ਨੀ ਹੁੰਦੀ ਪਾਨੀ ਦੀ ਕੀ ਆਪਾਂ ਜਦੋਂ ਮੋਟਰੇ ਚਲਾਨੇ ਆ ਮੋ ਪਾਨੀ ਉਦੋਂ ਆ ਜਾਂਦਾ ਇਦਾਂ ਪਾਨੀ ਦੀ ਕੋਈ ਦਿੱਕਤ ਨੀ ਉੱਥੇ ਏਵਨ ਚ
8,ਬਿਜਲੀ ਵੈਸੇ ਤਾਂ ਇੱਥੇ ਜਾਂਦੀ ਨੀ ਕੀ ਕੋਈ ਪਾਵਰ ਕੱਟ ਨਹੀਂ ਹੁੰਦਾ ਬਟ ਫਿਰ ਵੀ ਜੇ ਕਿਤੇ ਹੁੰਦਾ ਵੀ ਐ ਤਾਂ ਉਹਦੇ ਲਈ ਉਪਰ ਇਨਵਰਟਰ ਵੀ ਲੱਗਾ ਹੋਇਆ ਪੂਰੇ ਰੂਮਸ ਦੇ ਵਿੱਚ ਜਿਹਦੇ ਵਿੱਚ ਇਨਵਰਟਰ ਤੇ ਲਾਈਟ ਫੈਨਸ ਹੋਰ ਫਸਿਲਿਟੀਜ਼ ਜਿਵੇਂ ਇੱਥੇ ਰੂਮਸ ਦੇ ਵਿੱਚ ਟੂ ਬੀਐਚ ਕੇ ਐ ਦੋਹਾਂ ਰੂਮ ਦੇ ਵਿੱਚ ਏ ਏਸੀ ਵੀ ਲੱਗੇ ਵੇ ਐ ਬੈੱਡ ਵੀ ਫੁਲੀ ਫਰਨਿਸ਼ਡ ਐ
9,ਹਾਂਜੀ
10,ਨਹੀਂ ਨਹੀਂ ਇਸ ਤੋਂ ਹੋਰ ਕੋਈ ਪ੍ਰੋਬਲਮ ਨਹੀਂ ਬਾਕੀ ਜਿਵੇਂ ਨਹੀਂ ਪ੍ਰੋਬਲਮ ਤਾਂ ਕੋਈ ਨੀ ਆਏਗੀ
