id,w2v
1, 
2, 
3, ਗ ੇ   ਸ ੁ ਸ ਿ ਕ ੇ ਦ ਾ ਲ ਹ ਸ   ਲਿ ਖ ਨ ਿ   ਚ ਾ ਗ ੇ   
4, ਖ ੇ   ਤ ੁ ਸ ੀ ਂ  ਕ ਿੱ ਦ ਾ ਜ   ਆ ਪ ਣ ੇ   ਸ ਰ ਿ ਮ ਲ  ਵ ਗ ਹਿ ਰ ਾ ਂ  ਨ ਾ ਲ   ਰ ਹਿ ਣ ਾ ਂ  ਕ ੇ   ਫ ੁ ਲ   ਸ ਾ ਮ ਲ ੇ   
5, ੋ ਰ ੇ   ਕ ਿ   ਿ   ਕ ਿ   ਕ ਿ   ਰ ੋ ਰ 
6, ਵ ਾ ਟ ਰ ਚ ਟ ੇ   ੋ   ਉ ਫ ਾ ਰ ੀ ਆ ਂ   ਸ ੋ ਲ ਟ ਿ   ਨ ੇ ਥ ੇ   ਜ ਿ ਨ ੇ   ਕ ਿ   ਕੁ ਲ ੀ   ਫ ੜ ਨ ਿ   ਕ ਿ ਤ   ਨ   ਜਿ ਦ ੇ ਵਿ ਚ   ੋ ਂ ਨ   ਕ ੋ ੜ ੇ   ਜ   ਮ ਲ ਬ  ਬ ਰ ਤ ਨ ਹ ਗ ਿਆ ਰਾ  ਵੀ   ਹੋ ਣ ਗ ੇ   ਗ ੀ   ਦ ਰ   ਲ ੱ ਗ ਾ  ਹ ੋ ਗ ਾ   ਠ ਚ ੰ ਦ ੇ   ਿ ੱ ਚ     ਪ ਾ ਣੀ   ਲ ਈ   ਵ ਾ ਟ ਰ   ਫ ਿ ਲ ਟ ਰ   ਵੀ   ਲ ੱ ਗ ਆ ਰੋ ਪ    ਜਿ ਸ ੇ  ਵ ਿੱ ਚ   ਪ ਾ ਣ ੀ   ਦ ੀ   ਕ ੋ ਈ  ਦ ਿ ਕ ਤ  ਨਹੀਂ ਆ ਏ ਗ ੀ   
7, ਨ ਹੀ   ਉ ਹ   ਉ ਹ ਜ ਿ ਵ ੇ ਂ   ਆ ਪ ਾ ਂ   ਕ ੋ ਈ   ਵ ਿ ਕ ਤ  ਨ ੀ  ਹ ੁੰ ਗ ੀ   ਪ ਾ ਣੀ  ਵ ੀ   ਭ ਜ ਦ ੋ   ਮ ੋ ਟ ਰ   ਚ ਲ ਾ ਣ ਿਆ  ਮੋ ਾ ਣੀ   ਉ ਦ ਵਾ   ਂ ਦਾ  ਦਾ   ਪ ਾ ਣ ੀ   ਵੀ   ਕ ੋ ਈ   ਵ ਿ ਕ ਤ   ਨ ੀ ਥ ੇ   ਵ ਿ ਚ   
8, ਬ ਿ ਜ ਲ ੀ     ਜ ੈ ਸ ਤ ਾ  ਇ ਥ ੇ   ਜ ਾ ਂ ਦ ੀ   ਨ ੀ   ਕ ਿ   ਕ ੋ ਈ   ਪ ਾ ਵ ਰ   ਘ ੱ ਟ  ਨ ੀ   ਮ   ਦ ਾ   ਪ ਟ   ਫ ੇ ਰ  ਵ ੀ ਜ ੇ   ਗੇ   ਤ   ਮ ੁੰ ਦ ਾ ਬੇ   ਤ   ਉ ਦ  ਲ ਈ   ਉ ਪ ਰ   ਇ ਨ ਵ ਰ ਟ ਰ  ਵੀ   ਲ ੱ ਗ ਾ  ਹ ੋ ਇ ਆ   ਪ ੂ ਰ ੇ   ਰੂ ਜ ੇ  ਵ ਿ ਚ   ਜ ਿ ਦ ੇ  ਵ ਿੱ ਚ   ਨ ਵੋ ਟ ਰ   ਤੇ   ਲ ਾ ਇ ਟ   ਫ ੈ ਸ   ਹੋ ਰ   ਰ ੂ ਮ ਜ ੇ   ਵ ਿ ਚ   ਟ ੂ ਬ ੀ   ਚ   ਕ ਿ ਾ   ਤੋ ਹ ਾਂ   ਰ ੂ ਮ ਦੇ  ਵ ਿ ਚ    ਏ ਸ ੀ   ਵੀ   ਲ ੱ ਗ ੇ   ਵ ਿਆ   ਬ ੈ ਡ ਜ   ਫ ੁ ਲ ੀ   ਫ ਰ ਨ ਿ ਸ਼ ਡ ਾ   
9, 
10, ਿ ਨ ੀ   ਚ ੋ ਰ   ਕ ੋ ਈ   ਪ੍ਰੋ ਬਲ ਮ  ਨਹੀਂ  ਬ ਾ ਕ ੀ  ਜ ਿ ਨ ੇ ਮ ੀਂ   ਪ੍ਰੋ ਬ ਲ ਮ   ਤ ਾ  ਕ ੋ ਈ  ਨਹੀਂ ਆ ਏ ਗ ੀ   
