id,wh
1,হ্যালো
2,আপনি কি গ্রাম প্রধানের কথা বলছেন
3,আমি আসলে ওই রিপ্রেস নাশতো চলছি
4, এসেছি গ্রুপে একজন হবে
5,ওই এফএনজি গ্রুপের একজন সদস্য
6,আসলে আমি আপনাকে ফোন করছিলাম আমাদের গ্রামের কিছু কিছু সমস্যা আছে আমাদের মহিলাদের গ্রুপেও সমস্যা ছিল এবং গ্রামেরও কিছু কিছু সমস্যা সেই নিয়ে কথা বলার জন্য আসলে যদি কী ভাবতেন আপনারা বা যদি একটু দেখছেন আমাদের দিকে তারা ভালো হতে পারে
7,ধরুন আমাদের বাড়ির ভিতর থেকে যে রাস্তাগুলো হয়েছে অভিজ্ঞতাপুরো চেইন মাটি আর বড় রকমের আপনি দেখেছেন যে এখানে একদম কাদায় প্যাঁচ প্যাঁচ করে একটা মানুষ খেতেও বেরোতে পারে না
8,অবস্থা খুবই খারাপ হয়েছে ক্ষেত্রে এখন তো ঢালাই নিশ্চয়ই করে দেবে না সরকার থেকে এখন এক লিফ যদি মোরামটা করাই তাহলে খুব ভালো হতো তো ওইদিকটা একটু দেখবেন আচ্ছা আপনি কি কথা বলেছেন
9, হচ্ছে জলে নিয়ে জলটার কিছু ক্ষেত্রে দেখা যায় জলটা সব দিকে যাচ্ছে না
10,টাইম ট্যাপে যে জলটা সব দিকে সমান যাচ্ছে না বা কোন ক্ষেত্রে মানে সেটিকে ট্যাপে সিস্টেম করা নেই আর তারপরে টাইমটা এত বেশি কম যে মানুষজন একটা জল ধরতে পারছে না যেমন দশটা বাড়িতে একটা ট্যাপ দিচ্ছে তাও এক ঘন্টা জল সারচে তো খাওয়ার জলগুলো মানুষ ধরতে পারছে না
11,আর হচ্ছে না
12,ঠিক
13,একটু ভালো হত যদি আপনি টাইমটা একটু বাড়িয়ে দেন তাহলে হয়তো ভালো হতো
14,আর একটা জিনিস দেখবেন যে ওটা তো টাইম বাড়াতে যখন টাকাটা বাড়ি দেবে আর গ্রামের তো আপনি জানেন যে সবার পরিস্থিতি বা টাকা পয়সা আর্থিক অবস্থা অথবা ভালো নয় চরিত্রে মজুর ডিফিল্ডেন্স টাকাটা না বাড়ে কিন্তু এদিন পার্টি ফান্ড থেকে বা কিছু হবে কোনোভাবেই এদিন হয়
15,বলা যায় আমাদের এটা
16,আমাদের এখানে একটা জায়গা যেমন এই আমার মামার বাড়িতে ওদিকে এখনো যাওয়াই হয় না কিন্তু তখন আমি দেখেছি বা এখনো শুনেছি যে ওদের ওখানে জল টানায় কিন্তু জলের জন্য আলাদা করে আমাদের যেমন টাকা নেওয়া ওদের কোনো টাকা নেওয়া নেবে না তো সেগুলো সেটো দেখবে না তাহলে ভালো হচ্ছে
