id,wh
1,ਅਹਲੋ
2,ਸ਼ਕਾਲ
3,ਹਾਂ ਜੀ ਤੁੱਛੀ ਗਿਦਾਂ ਦਾ ਹਾਉਸ ਦਿਖਣਾ ਚਾਉਂਗੇ
4,ਕੇ ਤੁਸੀਂ ਕਿਹਦਾਂ ਜਿਵੈਂ ਆਪਨੇ ਫਰੈਂਜ ਵਗਿਆਰਾਂ ਨਾਲ ਜ਼ਰਿਣ ਆਇ ਕੇ ਫੁੁਲ ਫਿਮਲੀ
5,ਕਿਏ ਕਿ ਕੰਭ ਕਰਦਿਓ
6,ਅਫਾਰੀਆਂ ਸੁਸਿੱਟੀਵ ਨੇ ਥੇ ਜਮੇਂ ਕੀ ਫੁਲੀ ਫਰਨੇਸ਼ਟ ਕਿਛਿਨ ਆਏ ਜਿੱਦੇ ਵਿੱਚ ਤੁੰਡੇ ਜੇ ਬਰਤਣ ਵਗਿਆਰਾ ਵੀ ਹੋਣਗੇ ਗੀਜ਼ਰ ਲੱਗਾਓ ਅਵਰ ਕਿਛਿਨ ਦੇ ਵਿਚ ਪਾਣੀ ਲਈ ਵਾਰਟਰ ਫਿਲਟਰ ਵੀ ਲੱਗਾਓ ਆਰੋਪ ਜਿੱਦੇ ਵਿਚ ਪਾਣੀ ਦੀ ਕੁਈ ਦੀਕਟ ਨੀਂਆਏਗੀ
7,ਉਹ ਜਿਵੇਂ ਆਪਾਂ ਕੋਈ ਦਿਕਤ ਨਹੀਂ ਦੀ ਪਾਣੀ ਦੀ ਕਿ ਪਾਣੀ ਜਦੋਂ ਮੋਟਰੀ ਚਲਾਣਿਆ ਮੋਂੰ ਪਾਣੀ ਉੱਦੋ ਆਜਨਦਾ ਇੱਦਾ ਪਾਣੀ ਦੀ ਕੋਈ ਦੀਕਤ ਨੇ ਇੱਤੇ ਏਲੀਚ
8,ਬਿਜਲੀ ਦੈਹਸੇ ਤਾਂ ਇਹਿਂ ਜਾਂਦੀ ਨੀਂ ਕੀ ਕੋਈ ਪਾਵਰ ਘੱਟ ਨਹੀਂ ਹੁੰਦਾ ਪਿਰ ਫੇਰ ਵੀ ਜੇ ਗਿਤੁ ਹੁੰਦਾ ਵੀ ਤੁਹਦੇ ਲੀ ਉਪਰ ਇਨਵਰਟਰ ਵੀ ਲੱਗਦਾ ਹੋਇਆ ਪੂਰੇ ਰੂਮਸ ਦੇ ਵਿਚ ਜੇ ਜੇ ਵਿਚ ਇਨਵਰਟਰ ਤੇ ਲਈਟ ਫੈਂੰਜ਼ ਔਰ ਫਿਲਟੀਂ ਜਿਨੇ ਇੱਤੇ ਰੂਮਸ ਦੇ ਵਿਚ ਟੂਬੀ ਅਚ ਗਿਆ ਤੋਂਹ ਰੂਮਸ ਦੇ ਵਿ
9,ਅਰਿਂਜੀ
10,ਨੇ ਨੇ ਛੋਲ ਕੋਈ ਪਰਬਲਮ ਨੇ ਵਾਕਿਂ ਜੇ ਮੈਂ ਤੁੰੈਂ ਪਰਬਲਮ ਤਾਂ ਕੋਈ ਨੇ ਆਏਗੀ
11,ਅਹਿਂ ਜੇ ਵੱਸ ਦੋ ਚਾਰ ਕਿਲੋਮੇਟਰ ਤੇ ਹੈ ਗਏ ਰੇਲਵੇਡ ਚੇਸ਼ਨ ਤੇ ਰਿਆਡਾ ਬੱਸ ਚੇਸ਼ਨ ਆਈ ਉਹਤਾ ਵੌਕਿਂਗ ਡੇਸਟਰੰਸ ਤੇ ਈ ਅਹਿਂ ਕਿ ਜਿੱਥ ਆਂਜਾਂ ਸ ਕੋਈ ਦੀਕਤ ਮੇਂ ਉਂਦੀ ਤਬਕਿ ਕੋਰ ਜੇ ਅਪ ਇਕ ਗਰੌਸਰੀ ਸਟੋਰ ਵੀ ਨੇਡੇ ਇਆਏ ਏ ਹੋਲ ਸਾਰੇ ਤਰੁਣ ਦੇ ਫੱਸਿਲਟੀ ਤੇ ਏਰਿਆ ਉਹਦਾਂ ਦਾਏ ਤਾਰਿਆ ਫ਼�
12,ਹਂਝੇ ਹਂਝੇ ਪੂਰੀ ਦਿਮਿ ਸ਼ਾਇਟੀ ਬਨੇਵੀਆਂ ਉਥੇ ਸਿਕਿਉਰਟੀ ਗਾਰ ਲੱਗਾਵੇਆਂ ਪਨੇ ਹਾਰ ਸਾਇਟੀ ਭਾਰ ਘਿਡਕ ਕੀ ਆਂਂ ਜਾਨੁ ਵਲੀ ਕੁਈ ਅਨਾਂ ਪੱਸਨ ਨੀਂ ਆਂ ਸ਼ਕਦਾਏ ਥਿਕ
13,ਜਿਨਨ੍ਹਾਂ ਅਪਣਾ ਰੰਟ ਹੁੰਦੇ ਜਿਵੇਂ ਜਿਨਨਾਂ ਵੀ ਰੰਟ ਆਪਣੇ ਫਲਾਟ ਦਾ ਹੋਏਗਾ ਤੂਹਿਬੀ ਅਚਕੇ ਉਹਨੀ ਸਿਕਿਉਰਨਟੀ ਹੋਏਗੀ
14,ਪੇ ਤੇ ਅਪਨੇ ਜਿਂਵੇਂ ਫਲੋਰ ਦੁ ਬਣੇ ਵੇਂ ਨਾ ਫਿਟੇ ਜੀਵੇਂ ਗਰਾਉਂਡ ਫਲੋਰ ਤੇ ਕੁ ਸਲਾਟ ਹੈ ਕੁ ਸੇਂਕਣ ਫਲੋਰ ਤੇ ਫੱਸਟ ਫਲੋਰ ਤੇ ਸਾਰੈਂ ਦੇ ਉੱਤੇ ਬਣੇ ਵੈ
15,ਕਿਆਂ ਜੁ ਸ਼ਾਮਿਓ ਆ ਸ਼ਿਗਦੂਂ ਭਨਜੇ ਵਿਆਂ ਤਿੱਤੀਂ
16,ਉਕਿ
17,ਮੁੱਲੋ
18,ਕੁਦੀਵਨੇਂਗ
19,ਆਇਂ ਜੀਵਾਲ
20,ਖਣਜੀ
21,ਨੱਂਜੀ ਮੈਂਮ ਕੋਨ ਤਾਂ ਪਾਰਸਲ ਇਹਾਪਕਾ
22,ਜਾਨਾਂ
23,ਅਹਿ
24,ਜੀਮੈਂ ਮੈਂ ਆਪਕੋ ਚੇਕ ਕਰ ਕੇ ਬਤਾ ਦੇਤੀਓਂ ਅਪਨੇ ਕੱਬ ਓਡਰ ਕਲਾ ਥਾ ਯੈਂ ਪਾਰਟਲ
25,ਹਂਜੇ ਹਂਜੇ ਕਿਆ ਥਾ ਉਹਤ ਪਾਰਸਲ ਮੈਂ
26,ਬੰਜ੍ਹੇ ਅਂਦੇ
27,ਹਿਂਜੀ ਵੈਂਵ ਨੈਂ ਦੇਖ ਰੀ ਹੂਂ ਉਹ ਆਕਾ ਪਾਰਸਲ ਇਸਲੀਆਂ ਲੇਟ ਹੁਰਾਏ ਕਿਉਕਿ ਕੁਚ ਇਸਮੇਂ ਤਿੱਕਟ ਆ ਰੀ ਹੈ
28,ਦੀਲੀਵਰ ਹੋਣੇ ਮੈਂ ਤੋਂ ਵੋ ਉੱਂ ਇੰਕ ਦੋ ਦਿਨ ਲੱਗੇਂਗੇ ਆਪਕੋ ਦੀਲੀਵਿਰ ਕਰਨੇ ਮੈਂ ਸੋਰੀ ਫੋਰ ਲੇਟ ਆਪਕਾ ਪਹਸਲ ਲੇਟ ਹੋਗਿਆ ਸੋਰੀ ਉੱਤਕੇ ਲਿਏ ਪਰ ਹਮ ਕੋਸ਼ਿਸ਼ ਕਰੀਂਗੇ ਆਪਕੋ ਹੋ ਜਾਏਂ ਏਕ ਦਿਨ ਮੇ ਏਕ ਦੋ ਦਿਨ ਮੇ
29,ਅਨੀਂ ਮੈਂਮ ਬੱਸ ਆਪ ਏਕ ਦੋ ਦਿਨ ਦੁਕ ਜਾਏ ਬੱਸ ਵੋ ਬੱਸ ਦੀਲੀਵਰੀ ਆਪ ਕੁਲ ਯਾ ਫਿਰ ਪ੍ਰਸੋਂ ਕੇ ਅੰਦਰ ਅੰਦਰ ਆਪਕੋ ਆਪਕਾ ਪਾਰਸਰ ਦਿਲੀਵਰ ਹੋ ਜਾਏਗਾ
30,ਹਿਹਿ ਹਿਹਿ ਜੇਮੈਂ ਮੈਂ ਕਰੂਂਗੀ ਜਲਦੀ ਕਰ ਦੇਤੀਓ ਆਪਕੀ ਰਿਕਵੈਸਟ ਡਾਲ ਦੇਤੀਓ ਮੈਂ ਏਪਰ
31,ਔਹਰ ਤੋਂ ਨੇ ਕੋਈ ਆਪਕੋ ਦਿਕਤਾਰੀ ਸਿਹਪ ਮੇਂ ਅਰ ਕੁਛ ਓਡਰ ਕਰਨੇ ਮੇਂ
32,ਹਿਂਚ ਹਿਂਚ ਬਤ ਤੁੱਸ ਤੁੰਿ ਵੇਟ ਕਰੋ ਏਕ ਕਿਆ ਦੋ ਦਿਨ ਬੱਸ ਵੇਂ ਮੈਂ ਜਲਦੀ ਤੁਝਲਦੀ ਪਾਰਸਲ ਤਾਡਾ ਕਰਵਾਣਿਆ ਦੀਲੀਵਰ
33,ਸ਼ਨਟੀ ਉਦਹਿ ਵੱਰੀ ਵਲ ਜਲੀਦੀ ਤਰ ਜਲਦੀ ਕਰਵਾ ਦੇਂਗਿ ਆ
34,ਹੰਦੀ ਹੰਦੀ ਹੋਕੇ ਭਾਇਂ ਹੈਂਕਿ ਉਪੋਲ ਭਾਲ
35,ਆਸੀ ਅਪਣ ਪਰਿਵਾਰ ਦੇ ਸਮੀਤ ਇਕ ਟੂਰ ਤੇ ਗਏ ਜਿਹਤੇ ਗੀ ਜੀਮੀਂ ਗੀ ਜਮੂੰ ਕਿਸ਼ਮੀਰ ਹੋਗੇ ਉਤਰਾਖਾਣਲਗਾ ਹਿਮਾਂ ਚਲੋ ਗਿਆ ਏਥੋਦੀਆਂ ਚੋਕੀ ਸੁਦ੍ਹ ਸੁ੧ਰ ਪਹਾਡੀਆਂ ਦੇਖਨ ਮਿਲੀਆਂ ਨਾਲੇ ਚਾਰੇ ਬਸ ਹਰਿਆਲੀ ਸੀ ਤੇ ਠੰਡਾ ਮਹਸਨ ਸੀ
36,ਇਸ ਠੰਡੇ ਮੌਸਾਂ ਵੀਚ ਸਾਨੂੰ ਮਾਨ ਨੂੰ ਸਕੂਣ ਮਿਲਿਆ ਅਤੇ ਸੀ ਬਹੁਤ ਸੁਣੀਆ ਸੁਣੀਆ ਫੁੱਟਮਾਂ ਕਲੀਕੀਤੀਆ ਇਸ ਨਾਂ ਸਾਨੂੰ ਬਹੁਤ ਅਚਾਰ ਵੀਉ ਦੇਖਨ ਨੂੰ ਮਿਲਿਆ ਸਾਡੇ ਮਾਨ ਨੂੰ ਸਕੂਣ ਮਿਲਿਆ ਤੇ ਫੈਮਲੀ ਦੇ ਨਾਲ
37,ਕੁਮੇਂ ਫੇਡੇ ਇਂਜੁਆਈ ਕੀਤਾ ਸਾਡਾ ਸਫ਼ਰ ਬਹੁਤ ਵਧੀਆ ਦੇਆ ਸਿਰਸ ਪੱਟਾ ਕਰ ਨਾਲ ਦੇ ਸਾਡੇ ਮੰਣ ਨੂੰ ਸਕੂਨ ਵਿਲਿਆ
38,ਆਸੀ ਬਹੁਤ ਈ ਕੁਝ ਦੇਖਿਆ ਉਚੀ ਉਚੀ ਆ ਪਹਾਡੀਆਂ ਬਹੁਤ ਸੁਂਦਰ
39,ਸ਼ਿਆਰ ਸੀ ਮਚਲ ਜਮੂੰ ਕਸ਼ਿਮੀਰ ਜਿਸ ਨੋਂ ਲੋਕ ਠੰਡਾ ਸਵਰਗ
40,ਕਹਿੰਦੇਆਂ ਦੇ ਅਹਿਥੋਂ ਦੇ ਸੁਂਦਰ ਸੁਂਦਰ ਭਾਰ ਜੋ ਗੀਉਚੀਆਂ ਆਵਾਦੀਆਂ ਹਨ ਅਹਿਥੋਂ ਦੇ ਲੋਕਾਂ ਦਾ ਸਭਾਬ ਵੀ ਬਹੁਤ ਚੰਗਾ ਰੇਆ
