id,ref
1,किम ने उन्नीस सौ तिरानवे में फ़िल्म उद्योग से संन्यास ले लिया उनकी आखिरी फ़िल्में प्रतिकार हनीमून बलवान मुस्कुराहट और बुलंद में अतिथि भूमिकाएँ थीं
2,वह राजनीति से संबंधित एक सम्मानित परिवार से थे ख़ासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफ़गानों की रक्षा करते हुए लड़ाई में मारे गए थे
3,मोदी अपने दैनिक जीवन में क्या करते हैं
4,मीडिया प्लेयर खोलें और मेरी जिम प्लेलिस्ट चलाए
5,मैं नौ सौ रुपये की एबीटी खरीदना चाहता हूँ
6,मैं इंग्लिश ओवन बेस पिज़्ज़ा डव ब्यूटी मॉइश्चर फेसवॉश और निसान कप नूडल्स हटाना चाहता हूँ क्या आप उन्हें मेरी ख़रीददारी सूची से हटा सकते हैं
7,कृपया पेयू मनी का इस्तेमाल करके मेरे फोन का मौजूदा प्लान से रिचार्ज करें और वही रकम संपर्क बहन को ट्रांसफ़र करें
8,क्या मैं अपने एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओला मनी के माध्यम से वापस भुगतान कर सकता हूँ
9,क्या आप चेक कर सकते हैं कि बनारस हिन्दू विश्वविद्यालय शैक्षणिक वर्ष दो हज़ार उन्नीस दो हज़ार बीस में एआईसीटीई अनुमोदित संस्थान था या नहीं
10,मुझे अपने फ़ोन नम्बर सेवन नाइन एट सिक्स वन फ़ाइव एट ज़ीरो सिक्स फोर सेवन के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है
11,बिल्ली
12,चार
13,एक जनवरी उन्नीस सौ अट्ठानवे दो फरवरी दो हज़ार बारह
14,तीन मार्च दो हज़ार उन्नीस चार दिसम्बर दो हज़ार पंद्रह सोलह मई उन्नीस सौ पचास
15,ठाणे
16,नागपुर
17,पुणे
18,यवतमाल
19,चंद्रपुर
20,भारत का जो पहनावा है जो फ़ैशन है वो काफ़ी साल में बहुत बदलता हुआ दिखाई देता है जैसे [uhh] मेरी
21,उसको महत्त्व दिया करते थे लोग पर अभी के [uhh] आज के दिनों में
22,फ़ास्ट फ़ैशन आये है और जो ब्रांड्स है जो सारी कंपनियाँ है जो फ़ैशन [bird_squawk] को प्रमोट करती है वो
23,काफ़ी कम क्वालिटी और कम प्राइस में फ़ैशनेबल कपड़े [uhh] अवेलेबल कराते हैं मार्केट्स में उसकी वजह से
24,जो फ़ैशन के ट्रेंड्स है वो चेंज वो बहुत बदलते रहते हैं [uhh] हर दिन
25,एक एक हफ़्ते में [uhh] जो फ़ैशन के ब्रांड्स है उनके जो दुकान है वहाँ पे हर जो एक
26,स्प्रिंग का अलग एक
27,सिलेक्शन या समर का सिलेक्शन ऐसा जो एक वेस्टर्न [uhh] एक पश्चिमात्य
28,कपड़े पहनने का जो तरीका है वो ज़्यादा बढ़ता हुआ दिखाई दे रहा है जो की
29,बदलते हुए फ़ैशन ट्रेंड को ज़्यादा प्रिफ़र करता है ना की अच्छी क्वालिटी और लम्बा चलने वाले कपड़ों से बट
30,पर ही इंडिया में मुझको एक चीज़ ये लगती है की कितना भी [uhh] वेस्टर्न [uhh] कपड़ों का इस्तेमाल रोज़ होता होगा
31,माँ [uhh] जब कॉलेज में थी तब उनका
32,लोग जो है [uhh] हमेशा ट्रेडिशनल कपड़ों
