id,conf
1, హా
2, అవునాండ
3, నమ నమస్తే సార్
4, అవునండి
5, బ్యాక్్స్ అర్ధమవట్లేదుంటుందండి
6, నే నేను నేనే సార్ని కదుద్దాం అనుకుంటున్నానండి
7, లేదండి
8, అవునండి
9, బో బోర్డు మీద సరిగ్గా కనబడట్లేదు అంతే అండి
10, హాస్పిటల్
11,
12, హాస్పిటల్లో అది చూపించంండి ఏమీ లేదన్నారండి ట్యాబ్లెట్లు ఇచ్చరండి వాడుతుందండి
13, ఏం లేదండి అదే కొద్దిగా అర్థమవుతలేదు మాకు కొద్దిగా అప్పుడప్పుడు భయమేతుంది కార్ని అడగాలంటే భయపడుతున్నాను అమ్మా అని చెప్తుందండి
14, అలాగేనండి
15, అలాగేనండి
16, అలాగేనండి
17, అలాగేనండి
18, అలాగేనండి
19, అలాగేనండి నమస్కారంమ అండి
20, అవును
21, హలో హలో సభ బావున్నారాడి
22, బాగున్నామండి ఏం చేస్తున్నారు ఏమి ఇప్పుడు మన ఏపీలో ఏం జరుగుతుంది ఏ
23, చాలా బాగున్నాయి కదంండ మన స్క్రీన్స్ కానీ స్కూల్ల్లో పద్ధతులు కానీ వాళ్ళు ఇచ్చే రాగి జావా ఈ హెల్దీ ఫుడ్స్ కానీ వాళ్ళు స్కూల్లో భాళ్ళే బాగా చేస్తున్నారు
24, మన జగనన్న నుంచే జగనన్న తోడు ఇచ్చారు కదా అది కూడా మనం చాలా బెనిఫిట్గా అందుబాటులో బాగా మంతలీ కట్టుకోవడం కాని ఇస్తున్నారు
25, చాలా
26, అవునండి అదే అదేవిధంగానే మన ఏపీలోనే బాలబడి స్కూల్లో కానీ పిల్లలకి చాలా ఫుడ్ పింపి కానీ గుడ్డు కానీ చాలా వరకు
27, చిక్కీ కానీ అలా పిల్లలకి రాగీ గంజ కానీ అన్నీ చాలా వరకు అందుబాటులో ఇచ్చి వాళ్ళకి తినేదానికి పెట్టే హెల్దీ ఫుడ్గా ఇస్తున్నారునమాట ఎంత బాగుంది కదా మన ఏపీల్లో ఉండేది
28, అవునండి రైతు భరోసా కానీ అమ్మ ఒడి కానీ మనకి ఎంత అందుబాటులో ఇస్తున్నారంటే అంత బాగుంది మన ఏరిలు కదండి
29, అట్లే మన ఏటీలో బస్సు ఎక్కి ద అక్కడ మనకి ఆఫరు ఆఫ్ అమౌంటే వేస్తున్నారు ఆ సిక్స్టీ ఉండే అబో వాళ్ళకి వచ్చి మనకి టెన్ పర్సెట్ మనకి ఫ్రీగా ఇస్తున్నారు కదా
30, మన ఏపీలో ఎంత బాగుంది చూడండి కదా
31, అన్ని ఆఫర్స్లు చాలా బాగున్నాయి మనకి
32, ఓకే
33, నమస్కారం నమస్కారడి బ్యాంక్ ఆఫీసర్ గారడి మాట్లాడ బ్యాంక్ ఆఫీసలు ఏినండి మాట్లాడ
34, కరెంట్ కాదండి సేవింగ్స్ ఏడి
35, ఇది అదండి గవర్నమెంట్ ఉంటాయి కదా అట్లా పెట్టుకోవడానికి అకౌట్ తీసుకోమని చెప్పారండి దానికోసం
36, సేవింగ్స్ ఏనాండి దానికి అప్లై చేయాలండి ఏమేం కావాలి సార్ దానికి
37, అది దానికిేమేం కావాలి సార్
38, పాన్ కార్డ్ ఫోటో అండి
39, జిరాక్స్ కావాలండి స
40, మొబైల్ నెంబర్ కూడానాండి
41, సరే అండి
42, ఏ ఎప్పుడు రమ్మంటారండి
43, ఎంతసేపడుతుందండి ప్రాసెస్ ఉ
44, ఇంకాంట పడుతుందండి దాంతో పాటు నాకు ఈ ఏటీఎం కార్డు కూడా కావాలండి
45, ఆన్ల్గా చేతి అప్పటికప్పుడు రాదండి
46, పోస్ట్లు పోస్ట్లో వస్తే మరి అది తేడా అవుతుంది అందుకు
47, అంటే చేతికి వచ్చేలాగైతే అప్పటికప్పుడు తీసేసుకోవచ్చు కదా మళ్ళీ మీరు పోచ్చు
48, అంత టైం పడుతు కండి
49, సరే అండి
50, ఇంకా అంతేగాద స
51, అంతే కదండి
52, ఎంత జేబ్ పడుతుందిన్నారండి
53, గంట అండి సరేనండి
54, వెళ్ళు
55, హ్యూమన్ వెల్ఫేర్ చారిటబుల్ ట్రస్ట్కి మూడు వేల రూపాయలు విరాళం పంపించు
56, నా వన్ సెల్లో ప్యూరో ప్లాస్టిక్ క్రీడల నీళ్ళ సీసా ఆర్డర్కి రేటింగ్ ఐదు సార్లు ఇవ్వు
57, లైట్ల ప్రకాశాన్ని తగ్గించు
58, ఆరు తొమ్మిది నాలుగు తొమ్మిది ఐదు ఎనిమిది నాలుగు ఏడు తొమ్మిది తొమ్మిది రెండు అట్ ది రేట్ యపిఐ నుండి నాకు ఆరు వేలు రూపాయలు వచ్చాయేమో చూసి చెప్పు
59, అనుసరించు
60, తొమ్మిది
61, ఆడు
62, హలో
63, మీరు వెజిటేబుల్ అమ్మేవారేనా
64, మీ దాంట్లో ఏమేమి ఉన్నాయి
65, మాకు బికర్ గార్డ్ బాటిల్ గడ్ అండ్ టమాటోస్ చిల్లీస్డ్రింగజల్ పొటాటోస్ క్యారెట్స్ బీన్స్ క్యాబేజ్
66, ఇంకా మేము లిస్ట్ రాసి పంపిస్తాం
67,
68, ఉంది ఇట్లా వెజిటేబుల్స్ తోటే అది ఈ రోజు అందర ఫాస్టింగ్ ఉంటుంది కదా కొంతమంది
69, నేను ఆర్డర్ ఇట్లా లిస్ట్ రాసి మీకు ఫో ఇట్లా లిస్ట్ రాసి పంపిస్తాను మా వర్క్తోని పంపిస్తే మీరు మనీ కూడా ఇచ్చి ఇస్తాను  ట్వ టెన్ థౌసండ్ వరకు ఇస్తాను మీరు కావాల్సిన మనీ తీసుకొని అవి పంపియంండి ప్యాక్ చేసి
70, సరే
71, హలో
72, నమస్తే మేడం
73, మ్యాడం మీ దగ్గర కొబ్బరి తోటి ఉన్నదని విన్నా మ్యాడం నేను
74, ఎంతుంది మేడం
75, అంటే మంచిగా అవుతాయా మేడం కొబ్బరికాయలు
76, లోపట కొబ్బరి కూడా మంచిగా ఉంటు కదా మేడం
77, అద ఎప్పుడు
78, ఇప్పుడు ఎండిపోయిన కొబరికాయ ఎండిపోయిన ఉంట మొత్తం ఇప్పుడు ఎండిపోయిన మొత్తం తోలు తీస్తారు చూడి మేడం తోల తీసి పక్కన పెట్టారు టెంకాయలు అవి కూడా ఉన్నాయా
79, మేడం నూనె తీసారా మ్యాడం మీరు కొబ్బరి నూనె
80, సరే మేడం కొబ్బరిం ఉన్న రెండు డబ్బాలులు కావాలి
81, ఇంకా కొబ్బరికాయలు వేయ్యి కావాలి అవి ఎర్ర కొబ్బరికాయలు ఉంటాయి చూడు మేడం అవిన్నాయా
82, అంటే ఎకుడ
83, ఎక్కడు ఉన్నాయి మ్యాడం
84, సరే మేడం నేను
85, మీ లొకేషన్ మీ అడ్రస్ పెట్టండి మేడం నాకు లొకేషన్ షేర్ చేయండి
86, రేపు
87, మీరు లొకేషన్షవ చేయండి మ్యాడం రేపు మా వాళ్ళని పంపిస్తా
88, మళ్ళీ ఏమంటారు ఎర్ర కొబ్బరికాయలు ఒక ఐదుొందలు కావాలి ఇవి పచ్చయ కూడా ఐదు వందలు కావాలి
89, కొబ్బరిమీన రెండు డబ్బలు చెంకాయలు వంద
90, సరే మేడం ఎంతనన్నా వాడని
91, సరే మేడం రేపు వచ్చి రేపు నిన్న కన్సల్ట్ అయ్యి అవి తీసుకొని అవి మీ దగ్గర ఏమన్నా ఉందా మేడం లారీ డిసం లాంటిది
92, అందులా వ ప్యాన్కి కావాలి మేడం
93, ఓకే మ్యాడం థ్యాంక్ యూ
94, నమస్కారమండి
95, ఏంటి ఊరికి కొత్త కొత్తగా కనిపిస్తున్నారు మీరు
96, మాది ఊరే మేము పుట్టి పెరిగింది ఇక్కడే పుట్టి పెరిగాము మేము అసలు మాది ఊరే మీకు ఎలాంటి పండుగల గురించి చెప్పమంటారు
97, అంటే ఇక్కడ ఆంధ్రప్రదేశ్లో ప్రతి ఒక్క పండుగ చాలా ఘనంగా చేస్తారు మీరు అన్నింటల గురించి వింటానంటే నేను మీకు చెప్తాను
98, చెప్తాను రండి కూర్చోండి ఇలా కూర్చోండి చెప్తాను నేను
99, ఇప్పుడు దసరా వచ్చింది దసరాని చాలా బాగా చేసుకుంటారు దసరా పది రోజులు కూడా
100, చాలా ఘనంగా చేస్తారనమాట పది రోజులు అమ్మవారికి పది అలంకరణలు చేసి
101, చాలా బాగా చేస్తారు పదో రోజున విజయదశమి రోజున దసరా అన్నది చాలా బాగా చేస్తారనమాట అదేవిధంగా దీపావళి చేస్తారు
102, దీపావళి కూడా అసలు కుటుంబ సభ్యులందరూ కలిసి ఇప్పుడు అమ్ముతారు కదా బాణసంచాలు గట్రా అమ్ముతారు కదా అవన్నీ తెచ్చుకొని చాలా ఘనంగా చేసుకుంటారు ఆ తర్వాత మీ క్రిస్టమస్ కూడా
103, చాలా బాగా చేస్తారు చెర్చెస్లోనే కాకుండా మామూలుగా బయట కూడా యూత్ పిల్లలందరూ కలిపి ఒక గ్రౌండ్ తీసుకొని ఆ గ్రౌండ్లోని భారీ ఎట్లు కేక్ అట్ర కట్ చేయించుకొని డ్యాన్సులని చిక్లని ఇలాంటివి చాలా బాగా చేస్తారు ఆ తర్వాతన
104, రైతులు జరుపుకుంటారు సంక్రాంతి పండుగని చాలా బాగా చేస్తారు సంక్రాంతి పడుగ తీసుకుంటే కోడి పందాలని లేకపోతే గుండాట అని ఇలాంటివి చాలా బాగా చేస్తారనమాట సంక్రాంతి కూడా
105, భోగి సంక్రాంతి కనుమ ముక్కనుమ ఇలాంటివి అని చెప్పి ఉంటాయనమాట ఆ రోజున అందరూ చాలా బాగా చేసుకుంటారు
106, ఆ తర్వాత న చాలా భావ మరదలు శరదాలు ఇవన్నీ అసలు చాలా చక్కగా జరుగుతాయి
107, తర్వాత వినాయక చవితి కూడా చాలా బాగా చేస్తారు ఇక్కడ వినాయక చవితి కూడా వినాయకుడిని
108, ఒకచోట నిలబెట్టి ఒక ఐదు రోజులు కొంతమంది ఏడు రోజులు కొంతమంది తొమ్మిది రోజులు కొంతమంది అలా నిలబెట్టి ఆ తర్వాతన వినాయకుడిని ఊరేగించి నిమజ్జనం గట్ర చేసి తర్వాతన అన్నసమారాధన గట్ర చేస్తారు
109, ఎవరొస్తే వాళ్ళకి అందరికీ భోజనాలు కడుపునిండా పెడతారు ఇలాంటి పండుగలు ఆంధ్రప్రదేశ్లో లెక్కలేనవి ఉన్నాయి చేసుకోవడానికి ఉగాది పండుగ ఇంకా ఉన్నాయి తెలుగు సంవత్సరది ఉగాది పండుగ చాలా బాగా చేస్తారండి
110, ధన్యవాదాలు
111, తప్పకుండా అడగొచ్చు నేను చెప్తాను మీకు
112, ధన్యవాదాలు
113, మారిగావ్ జిల్లాలో ఒకటి ఎనిమిది ఏళ్లు పైబడిన వారికి కోర్బేవాక్స్ టీకా అందించే టీకా కేంద్రాలు దగ్గరలో ఏవైనా ఉన్నాయా
114, వెళ్ళు
115, కూడి
116, ఈవేళ ఆలస్యంగా విద్యుత్ ఉపకరణాలు అందుబాటులోకి వచ్చే అవకాశం ఉందా
117, హలో
118, హలో చెప్పండి చెప్పండి చెప్పండి సార్ చెప్పండి సార్
119, ఏ మెడిసిన్ కావాలని ఫోన్ చేస్తున్నారా
120, ఓకే డోలో సిక్స్ ఫిఫ్టీ వేసుకోండి దానితో కాంబినేషన్గా జ జలుగుంది కాబట్టి సినారస్ ఒకట వేసుకోండి
121, ఏంటి మీకు గొంతు నొతుందా ఏమైనా
122, ఓకే ఆ జిత్్రాలు టూ ఫిఫ్టీ వేసుకోండి అ జిత్్రాలు ట ఫిఫ్టీ వేసుకొని దానికి కాంబినేషన్గా డోలో వేసుకోండి కొంచెం పా్యాన్ ఫోార్టీ వాడండి
123, వాటిే వెనక మీకు
124, వామిటింగ్స్ ఏమన్నా ఉన్నాయా వామటింగ్స్ వామిటింగ్స్ కూడా వచ్చాయా మళ్ళీ దగ్గు
125, జలుబుడగ్ డగ్గు లైట్గా ఉంది వాామటింగ్ సైట్ ఉన్నాయి నెతి నొప్పిగా ఉందా బరువుగా ఉందా
126, కొంచెం వెదర్ చేంజ్ వల్ల ఇవన్నీ జరుగుతున్నాయిప్పుడు డిజన్ జరుగుస్తున్నాయి దానివల్ల ఇది అవుతున్నాయి మీరు ఒకసారికి మా క్లీనిక్ రాగలిగితే మంచిది
127, ఏంటంటే నార్మల్గా అయితే వివిక రెడ్డి హాస్పిటల్ క రండి వారశవుల
128, లేదు మీజీలు పెట్టొద్దు
129, బోన్ పెయింట్స్కి మీజల్ మీరెంతగా కావాలంటే రోలాని పెట్టుకోండి
130, లేదంటే ఫినారస్ వాడండి తగ్గుతుంది ఆల్మోస్ట్
131, డాట్ ట్యాబ్లెట్ అయినా సరి తగ్గుతుంది ఇంట్లో అయితే ప్రజెంట్ అయితే మీరు హాస్పిటల్ రావడం మంచిది ఎందుకంటే మీకున్నిీ ఉన్నాయి కాబట్టి
132, మీరు ఒకవేళట్ మీరు రాలేకపోతే ఇప్పుడు ఇబ్బందిగా ఉందంటే కొంచెం రెస్ట్ తీసుకని రండి ట్యాబ్లెట్డోలో సిక్స్ ఫిఫ్టీ వేసుకోండి అల్ట్రో అల్ట్రోసిన్ వేసుకోండి అల్ట్రోమైసిన్ వేసుకని
133, ఇప్పుడు కొంచెం రెస్ట్ తీసుకొని రాగలుగుతారంటే ఒక టూ అవర్స్ తర్వాత క్లీనిక్ వచ్చ చేయడం బెటర్
134,ంటే ఇవాళ ఇవళ
135, కొంచెం మజ్జిగనం తీసుకోండి
136, మజ కొన్సం చేసుకోండి లేదంటే ఇడ్లీ ప్రిఫర్ చేయండి మంచిది
137, కే ఈయర్ప వారసి కూడా
138, మార్నింగ్ ఎయిట్ ఓ క్లాక్ అట్లా రండి డాక్టర్స్ అవైలబుల్ ఉంటారు ఇక్కడ
139, ఉంటాను మ ఉంటాను సార్ నేను
140, ఓకేన థ్యాంక్ యూ
141, వాల్యూమ్ను మార్చు
142, ఖచ్చితంగా నా గుర్తుండిపోయే క్లైంబింగ్ ట్రిప్ ఒకటి నా తూర్పు గోదావరి పరివాహక ప్రాంతంలోని కొండలలో చేసిన ఒక ట్రిప్
143, ఆ ట్రిప్లో నా స్నేహితులు మరియు నేను కలిసి ఒక కొండను ఎక్కడానికి ప్రయత్నించాము
144, కొండ చాలా ఎత్తుగా మరియు కష్టతరమైనది మేము చాలా గంటలు ఎక్కడానికి పట్టింది మరియు చాలా కష్టపడ్డాము
145, కానీ చివరికి మేము కొండను చేరుకున్నాము అది చాలా ఆనందకరమైన అనుభవం
146, ట్రిప్లో నేను చాలా నేర్చుకున్నాను నేను నా శారీరక పరిమితులను అధిగమించగలనని నేను నమ్మాను
147, నేను కష్టపడి పనిచేస్తే నేను ఏదైనా చేయగలనని నేను నమ్మాను
148, నేను కొండను ఎక్కడానికి ధైర్యం చేయడం ద్వారా నా భయాన్ని కొంచెం
