id,ref
1,హాక్
2,అవునండీ
3,నమ నమస్తే సార్
4,అవునండి
5,క్లాసు అర్థమవ్వట్లేదు అంటటండి
6,నే నే నేనే సార్ని కలుద్దాం అనుకుంటున్నానండి
7,లేదండి
8,అవునండి
9,బోర్డ్ మీదది సరిగ్గా కనబడతలేదంటండి
10,హాస్పిటల్
11,హాస్
12,హాస్పిటలు అయి చూపిచ్ఛామండి ఏమీ లేదన్నారండీ ట్యాబ్లెట్లు ఇచ్చారండి వాడుతుందండి
13,ఏం లేదండి అది కొద్దిగా అర్థమవడంలేదు నాకు కొద్దిగా అప్పుడప్పుడునూ భయమేత్తంది సార్ని అడగాలంటే భయపడుతున్నానమ్మ అని చెప్తుందండి
14,అలాగేనండి
15,అలాగేనండి
16,అలాగేనండి
17,అలాగేనండి
18,అలాగేనండి
19,అలాగేనండి నమస్కారమండి
20,అవును
21,హలో హలో సదా గారు బావున్నారా అండి
22,బావున్నాం అండి ఏం చేస్తున్నారు ఏమి ఇప్పుడు మన ఏపీలో ఏం జరుగుతాంది ఏం
23,చాలా బావున్నాయి కదండి మన ఫ్రెండ్స్ గానీ స్కూళ్ళల్లో పద్దతి గానీ వాళ్ళు ఇచ్చే రాగి జావా హెల్దీ ఫుడ్స్ గానీ వాళ్ళు స్కూళ్ళు భలే బాగా చేసుకున్నారు
24,మన జగనన్న ఇచ్చే జగనన్న తోడు ఇచ్చారు కదా అది కూడా మనం చాలా బెనిఫిట్గా అందుబాటులోనూ బాగా మంత్లీ కట్టుకోవడం గానీ ఇస్తున్నారు
25,చాలా
26,అవునండి అదే అదే విధంగా మన ఏపిలోనే బార్వాడీ స్కూల్లో గానీ పిల్లలకి చాలా ఫుడ్డు హెల్దీ గానీ గుడ్డు గానీ చాలా వరకు
27,చిక్కీ గానీ అలా పిల్లలకి రాగి గెంజీ గానీ అన్నీ చాలా వరకు అందుబాటులో ఇచ్చి వాళ్ళకైతే తినేదానికి పెడితే హెల్దీ ఫుడ్డుగా ఇస్తున్నారనమాట ఎంత బావుంది కదా మన ఏపీలో ఉండేది
28,అవునండి రైతుభరోసా గానీ అమ్మఒడి గానీ మనకి ఎంత అందుబాటులో ఇస్తున్నారంటే అంత బాగుంది మన ఏపీలో కదండి
29,అట్లానే మన ఏపీలో బస్ ఎక్కి అక్కడ మనకి ఆఫరు ఆఫ్ అమౌంటే వేస్తున్నారు ఆ సిక్స్టీ ఉండే అబౌ వాళ్ళకి వచ్చి మనకి టెన్ పర్సెంటు మనకి ఫ్రీగా ఇస్తున్నారు కదా
30,మన ఏపీలో ఎంత బావుంది చూడండి కదా
31,అన్ని ఆఫర్స్లు చాలా బాగున్నాయ్ మనకి
32,ఓకే
33,నమస్కారం నమస్కారమండీ బ్యాంక్ ఆఫీసరు గారా మాట్లాడేది బ్యాంక్ ఆఫీసరేనా మాట్లాడే
34,కరెంట్ కాదండి సేవింగ్సేనండి
35,ఇదీ అదండి గవర్నమెంట్వి ఉంటాయి కదా వాటిలకి పెట్టుకోవడానికి అకౌంట్ తీసుకోమని చెప్పారండి దానికోసం
36,సేవింగ్సే నండి దానికి అప్లై చేయాలండి ఏమేమ్ కావాలి సార్ దానికి
37,అది దానికి ఏమేమ్ కావాలి సార్
38,పాన్ కార్డ్ ఫోటో అండి
39,జిరాక్స్ కావాలా అండీ
40,మొబైల్ నంబర్ కూడానా అండీ
41,సరే అండి
42,ఏ ఎప్పుడు రమ్మంటారండి
43,ఎంతసేపు పడుతుందండి ప్రోసెస్
44,గంట పడుతదండి దాంతో పాటు నాకు ఈ ఏటీఎం కార్డ్ కూడా కావాలండి
45,మామూలుగా చేతికి అప్పటికప్పుడే రాదండి
46,పోస్ట్లో పోస్ట్లో వస్తే మరి అది తేడా వస్తది అందుకు
47,అంటే చేతికొచ్చేలాగా అయితే అప్పటికప్పుడే తీసేసుకోవచ్చు కదా మళ్ళి మీర్ పో
48,అంటే టైం పడతది కదా
49,సరే అండి
50,ఇంకా అంతే కదా సార్
51,అంతే కదండీ
52,ఎంత సేపు పడతదన్నారండి
53,గంటండి సరేనండి
54,వెళ్ళు
55,హూమన్ వెల్ఫేర్ ఛారిటబుల్ ట్రస్ట్కి మూడువేల రూపాయలు విరాళం పంపించు
56,నా వన్ సెల్లో ప్యూరో ప్లాస్టిక్ క్రీడల నీళ్ళ సీసా ఆర్డరుకి రేటింగ్ ఐదు సార్లు ఇవ్వు
57,లైట్ల ప్రకాశాన్ని తగ్గించు
58,ఆరు తొమ్మిది నాలుగు తొమ్మిది ఐదు ఎనిమిది నాలుగు ఏడు తొమ్మిది తొమ్మిది రెండు ఎట్ ద రేట్ యూపిఐ నుండి నాకు ఆరువేలు రూపాయలు వచ్చాయేమో చూసి చెప్పు
59,అనుసరించు
60,తొమ్మిది
61,ఆడు
62,హలో
63,మీరు వెజిటేబుల్ అమ్మేవారేనా
64,మీదాంట్లో ఏమేమున్నాయ్
65,మాకు బిట్టర్ గౌర్డ్ బాటిల్ గౌర్డ్ అండ్ టమాటోస్ చిల్లీస్ బ్రింజాల్ పొటాటోస్ క్యారెట్ బీన్స్ క్యాబేజ్
66,ఇంకా మేము లిస్ట్ రాసి పంపిస్తాం
67,ఆ ఆ
68,ఆ ఉంది ఇట్లా వెజిటేబుల్స్తోటే అది ఈ రోజు ఫాస్టింగ్ చేయాలి కొంత మంది
69,నేను ఆడ ఏ ఇట్లా లిస్ట్ రాసి మీకు ఫో ఇట్లా లిస్ట్ రాసి పంపిస్తాను మా వర్కర్తోని పంపిస్తే మీరు మనీ కూడా ఇచ్చ ఇస్తాను ఓ టెన్ తౌజెండ్ వరకు ఇస్తాను మీరు కావాల్సిన మనీ ఏసుకుని అవి పంపియ్యండి ప్యాక్ చేసి
70,సరే
71,హలో
72,నమస్తే మేడం
73,మేడం నేను మీ దగ్గర కొబ్బరి తోట ఉన్నదని విన్నా మేడం నేను
74,ఎంతుంది మేడం
75,అంటే మంచిగైతయా మేడం కొబ్బరికాయలు
76,లోపట కొబ్బరి కూడా మంచిగుంటదా మేడం
77,అంటే ఇప్పుడు
78,ఇప్పుడు ఎండిపోయిన కొబ్బరికాయ ఎండిపోయిన అంటే మొత్తం ఎక్కువ ఎండిపోయినట్టు మొత్తం తోలు తీస్తారు చూడు మ్యాడమ్ తోలు తీసి పక్కన పెట్టే టెంకాయలు అవి గూడ ఉన్నయా
79,మేడం నూనె దీస్తరా మ్యాడమ్ మీరు కొబ్బరి నూనె
80,సరే మ్యాడమ్ కొబ్బరి నూనె రెండు డబ్బాలు కావాలె
81,ఇంకా కొబ్బరికాయలు వెయ్యి కావాలె అవి ఎర్ర కొబ్బరికాయలు ఉంటాయి చూడు మ్యాడమ్ అవి ఉన్నయా
82,అంటే
83,ఎక్కడున్నయ్ మ్యాడమ్
84,సరే మేడం నేను
85,మీ లొకేషన్ మీ అడ్రస్ పెట్టండి మ్యాడమ్ నాకు లొకేషన్ షేర్ జేయండి
86,రేపు
87,మీరు లొకేషన్ షేర్ జేయండి మ్యాడమ్ రేపు మా వాళ్ళను పంపిస్తా
88,మళ్ళీ ఏమంటారు ఆ ఎర్ర కొబ్బరికాయలు ఒక ఐదు వందల్ కావాలే ఇవి పచ్చియి కూడా ఐదు వందల్ కావాలే
89,కొబ్బరి నూనె రెండు డబ్బాలు టెంకాయలూ వంద
90,సరే మ్యాడమ్ ఎంతనన్నబడని
91,సరే మ్యాడమ్ రేపు వచ్చి రేపు నిన్ను కన్సల్ట్ అయ్యి అవి తీసుకొని అయి మీ దగ్గర ఏమన్నా ఉందా మ్యాడమ్ లారీ డిసియం లాంటిది
92,అందులో పంపీనికి కావాలి మ్యాడమ్
93,ఓకే మ్యాడమ్ థ్యాంక్ యు
94,నమస్కారం అండి
95,ఏంటి ఊరికి కొత్తా కొత్తగా కనిపిస్తున్నారు మీరు
96,మాది ఈ ఊరే మేము పుట్టి పెరిగింది ఇక్కడే పుట్టి పెరిగాను నేను హలో అదే ఏం మీకు ఎలాంటి పండుగలు గురించి చెప్పమంటారు
97,అంటే ఇక్కడ ఆంధ్రప్రదేశ్లో ప్రతి ఒక్క పండగ చాలా ఘనంగా చేస్తారు మీరు అన్నిట్ల గురించి వింటానంటే నేను మీకు చెప్తాను
98,అహ చెప్తాను రండి కూర్చోండి ఇలా కూర్చోండి చెప్తాను నేను
99,ఇప్పుడు దసరా ఒస్తుంది దసరాని చాలా బాగా చేసుకుంటారు దసరా పది రోజులు కూడా
100,చాలా ఘనంగా చేస్తారనమాట పది రోజులు అమ్మవారికి పది అలంకరణలు చేసి
101,చాలా బాగా చేస్తారు పదవ రోజున విజయదశమి రోజున ఆ ఆ వి దసరా అన్నది చాలా బాగా చేస్తరనమాట అదే విధంగా దీపావళి చేస్తారు
102,దీపావళి కూడా అసలు కుటుంబ సభ్యులు అందరూ కలిపి ఇప్పుడు అమ్ముతారు కదా బాణసంచాలు గట్రా అమ్ముతారు కదా అవన్నీ తెచ్చుకుని చాలా ఘనంగా చేసుకుంటారు ఆ తర్వాత క్రిస్టమస్ కూడా
103,చాలా బాగా చేస్తారు చర్చెస్లోనే కాకుండా మామూలుగా బయట కూడా యూత్ పిల్లలు అందరూ కలిపి ఒక గ్రౌండ్ తీసుకుని ఆ గ్రౌండ్లోని ఆ భారీ ఎత్తులో కేక్ గట్రా కట్ చేయించుకుని డ్యాన్స్లని స్కిట్లని ఇలాంటివి చాలా బాగా చేస్తారు అ తర్వాతన
104,రైతులు జరుపుకుంటారు సంక్రాంతి పండగని చాలా బాగా చేస్తారు సంక్రాంతి పండుగ తీసుకుంటే కోడి పందాలని లేకపోతే గుండాట అని ఇలాంటి చాలా బాగా చేస్తారనమాట సంక్రాంతి కూడా
105,భోగి సంక్రాంతి కనుమ ముక్కనుమ ఇలాంటియి అని చెప్పి ఉంటాయనమాట ఆ రోజున అందరు చాల బాగా చేసుకుంటారు
106,ఆ తర్వాతన చాలా బావ మరదళ్ళ సరదాలు ఇవన్నీ అసలు చాలా చక్కగా జరుగుతాయి
107,తర్వాత వినాయక చవితి కూడా చాలా బాగా చేస్తారు ఇక్కడ వినాయక చవితి కూడా వినాయకుడిని
108,ఒకచోట నిలబెట్టి ఒక అయిదు రోజులు కొంతమంది ఏడు రోజులు కొంతమంది తొమ్మిది రోజులు కొంతమంది అలా నిలబెట్టి ఆ తర్వాతన ఆ వినాయకుడిని ఊరేగించి నిమజ్జనం గట్రా చేసి తర్వాత అన్నసమారాధన గట్రా చేస్తారు
109,ఎవరొస్తే వాళ్ళకి అందరికీ భోజనాలు కడుపునిండా పెడతారు ఇలాంటి పండగలు ఆంధ్రప్రదేశ్లో లెక్కలేనన్ని ఉన్నాయి చేసుకోడానికి ఉగాది పండుగ ఇంకా ఉన్నాయి తెలుగు సంవత్సరాది ఉగాది పండుగ చాలా బాగా చేస్తారు అండి
110,ధన్య
111,తప్పకుండా అడగొచ్చు నేను చెప్తాను మీకు
112,ధన్యవాదాలు అండి
113,మారిగావ్ జిల్లాల్లో ఒకటి ఎనిమిది ఏళ్ళు పైబడిన వారికి కోర్బేవాక్స్ టీకా అందించే టీకా కేంద్రాలు దగ్గరలో ఏవైనా ఉన్నాయా
114,వెళ్ళు
115,కుడి
116,ఈ వేళ ఆలస్యంగా విద్యుత్ ఉపకరణాలు అందుబాట్లోకి వచ్చే అవకాశం ఉందా
117,హలో
118,హలో చెప్పండి చెప్పండి చెప్పండి సార్ చెప్పండి సార్
119,ఈ మెడిసిన్ కావాల అని ఫోన్ చేస్తున్నారా
120,ఓకే డోలో సిక్స్ ఫిఫ్టీ ఏసుకోండి దాంతో కాంబినేషన్గా జా జలుబుంది కాబట్టి సినారేస్ట్ ఒకటి ఏసుకోండి
121,ఏంటి మీకు గొంతు నొప్పి ఉందా ఏమైనా
122,ఒకే అజిత్రోల్ టు ఫిఫ్టీ ఏసుకోండి అజిత్రోల్ టు ఫిఫ్టీ వేసుకొని దాని కాంబినేషన్గా డోలో ఏసుకోండి కొంచెం పాన్ ఫార్టీ వాడండి
123,వాడితే గనక మీకు
124,వామిటింగ్స్ ఏమన్నా ఉన్నాయా వామిటిం వామిటింగ్స్ కూడా అవుతున్నాయా మళ్ళి దగ్గు
125,జలుబు దగ్ దగ్గు లైట్గుంది వామిటింగ్స్ అయితున్నాయి నెత్తి నొప్పిగా ఉందా బరువుగా ఉందా
126,కొంచెం వెధర్ చేంజ్ వల్ల ఇవ్వన్నీ జరుగుతున్నాయి దాని వల్ల ఇది అవుతున్నాయి మీరు ఒకసారి మా క్లినిక్కి రాగలిగితే మంచిది
127,ఏంటంటే నార్మల్గా అయితే బివికె రెడ్డి హాస్పిటల్కి రండి వారసిగూడ
128,లేదు నిడిల్ పెట్టొద్దు
129,అంటే బోన్ పెయిన్స్కి విజిల్ మీరు అంతగా కావాలంటే ప్రోలాంగ్ పెట్టుకోండి
130,లేదంటే సినారెస్ట్ వాడండి తగ్గిపోతుంది ఆల్మోస్ట్
131,డాట్ టాబ్లెట్ అయినా సరే తగ్గుతుంది ఇంట్లో అయితే ప్రెసెంట్ అయితే మీరు హాస్పిటల్ రావడం మంచిది ఎందుకంటే మీకు అన్ని ఉన్నాయి కాబట్టి
132,మీరు ఒకవేళ మీరు రాలేకపోతే ఇప్పుడు ఇబ్బందిగా ఉందంటే కొంచెం రెస్ట్ తీసుకొని రండి టాబ్లెట్స్ ఇగ డోలో సిక్స్ ఫిఫ్టీ ఏసుకోండి నాకు ఆల్త్రోసిన్ వేసుకోండి ఆల్త్రో మైసిన్ వేసుకొని
133,ఇప్పుడు కొంచెం రెస్ట్ తీసుకోండి రాగలుగుతారంటే ఒక టూ హౌర్స్ తరవాత క్లినిక్ వచ్చేయడం బెటర్
134,లేదంటే ఇవ్వాళ ఇవ్వాల్
135,కొంచెం మజ్జిగ అన్నం తీసుకోండి
136,మజ్జిగ అన్నం కొంచెం తీసుకొని లేదంటే ఇడ్లీ ప్రిఫర్ చెయ్యండి మంచిది
137,ఒకే నియర్ బై వారసి గూడా
138,మార్నింగ్ ఎయిట్ ఓ క్లాక్ అట్లా రండి డాక్టర్స్ అవైలబుల్ ఉంటారు ఇక్కడ
139,అవును ఉంటాను సార్ నేను
140,ఓకే నండి థ్యాంక్ యూ
141,వాల్యూంను మార్చు
142,కచ్చితంగా నాకు గుర్తుండిపోయే క్లైంబింగ్ ట్రిప్ ఒకటి నా తూర్పుగోదావరి పరివాహక ప్రాంతంలోని కొండలలో చేసిన ఒక ట్రిప్
143,ఆ ట్రిప్లో నా స్నేహితులు మరియు నేను కలిసి ఒక కొండను ఎక్కడానికి ప్రయత్నించాము
144,కొండ చాలా ఎత్తుగా మరియు కష్టతరమైనది మేము చాలా గంటలు ఎక్కడానికి పట్టింది మరియు చాలా కష్టపడ్డాం
145,కానీ చివరికి మేము కొండను చేరుకున్నాము అది చాలా ఆనందకరమైన అనుభవం
146,ట్రిప్పులో నేను చాలా నేర్చుకున్నాను నేను నా శారీరిక పరిమితులను అధిగమించగలనని నేను నమ్మాను
147,నేను కష్టపడి పని చేస్తే నేను ఏదైనా చేయగలను అని నేను నమ్మాను
148,నేను కొండను ఎక్కడానికి ధైర్యం చేయడం ద్వారా నా భయాన్ని కొంచెం
149,అధిగమించగలిగాను
