id,w2v
1, 
2,అ వు న ం డి   
3, న మ స్   న మ స్ తే   స ర్   
4, అ న ం డి   
5, డి   
6, ం డి   
7, లే ద ం డి   
8, అ వు ం డి   
9, బో ్ మ ద   స రి లే ద   ం డి   
10, మ్ ా క్ ప టి   
11, 
12, ఆ స్ ప త ్ లో చీ పి చ్ చ ం డి   ఏ మీ   లే దా   న్నా ర ం డి   ట ా బ్ లె ట్ ల చ చ ర్ ండి   వా రు తు ం ద ం డి   
13, ఏ   లే ద ం డి   అ ది క ద దా  అ ర్ థ మం వు తు లే దు   మ ా కు   అ క్ క ద దు గా   అ ప్ప ుడ ప్పు డు   ను   భ య మే త   కా ర ణ   డ గా ల ం టే   భ య ప డు తు న్న ా ు  అ మ్ మా ి   చె ప తు ం ద ం డి   
14, ల ల ం 
15, ల ా గ డ ం డ 
16,   అ ల న న ం డి   
17, అ ల గ న ం డి   
18, ల గ ల ం డి   
19, అ ల గే న ం డి   న మ స్ క ా ర 
20, 
21, హ ల ో   
22, బా గు న నా   ఏ ం   చే స్ తు ం్ దా   ఏ మి తు లు    ఏ ం   జ రు గు తు ం ది   
23, చ ా లా   బా గు న్నా యి   క ద ం డి     గా నీ   స్ కూ ల్ లో   ప ద్ ధ తు లు   గా నీ   ప లి చే ర ా గి   జ ా వా   హె ల్ తి   ఫ ూ స్ స్   గా నీ   ప ళ్ ళు   స్ కూ ల్   లో   బ ల ే   బ ా గా   చే సు తు న్న ా రు   
24, మ న   జ గ న ను ం చి   నా   చో డు   ఇ చ్ చా రు   క దా   అ ది   కూ డా   మ న ం   చ ా లా   వె ని పి ట్ గా   అ ం దు బా టు లో న   బా గా   అ ం త ి క ్ చు కో డ  ఉ ం ద ని   ఇ స్ తు న్ నా రు   
25, కా లా   
26, అ ు న ం డి   అ దే   అ ద వి ధ ం గా ఏ పీ లో నే   బ ల వ డి   స్ కూ ల్   లో   క ని   పిల్ ల ల కి   చ ా లా   ఫు ద్ డు   ఇ ం ది గా ని   బు ద్ దు   గా ని   చ ా లా   వ ర కు   
27, చి క్ కి   గా ని   అ లా   పి ల్ ల ల కి   రా గీ గ ం ది   గా ని   అ న్ ని   చ ా లా వ ర కు   అ ందు బా టు లో   ఇ చ్ చి   వా ళ్ ళ కి   ద ని ప రి ే ు స్ తు న్ నా ర మ ట   ఎ ం త బా గు ం ది   క దా ఉ ం డే ది   
28, అ వు న ం డి   ర ై తు   భ రో స్ సా   గా నీ   అ మ్మ  ఊ డి   గా నీ   మ న కి   ఎ ం త  అ ం దు బా టు లో   ఇ స్ తు న్నా ర ం టి   అ ం త   బా బు డి 
29, అ మ న   ఏ టీ లో   బ స్ కి    అ క్క డ   మ న కి   ఆ ఫ ర్   ఆ ఫ మ ం తే   వే స్ తు న్ నా రు   ి క   ఉ డే వ ళ్ ి వ చ్ చి   మ న కి స ె మ న కి   గా ఇ స్ తు న్ నా రు   క దా   
30, మ న   ఏ పీ ల   ఎ ం తో   బా గు ం చ ది క దా   
31, అ న్ ని  ఆ ఫీ ర్ స్ లు   ా గ 
32, కే   
33, న మ స్ కా రం   న మ స్ కా ర ం  అ ం డి   బ్ యా ం క     మా ట్ లా డ   ్ య ా ం క   మా ట్ లా డ   
34, క ర ం టి  కా ద ం డి   సే వి గ్ స్ అ య ం డి  
35, ఇ ది   అ ది ం డి   గ వ ర్ న మె ం ట్  ఉ ం టా యి  క దా    పె ట్ టు కో వ డా ని కి   ఎ కౌ ం ట్   తీ సు కో మ ని  చె ప్ పా ర ం డి   దా ని   కో స ం   
36, సే వి ంగ్ స్  ి   ద ా ని కి   అ ప్ లై   చే యా లి ి   ఏ మ ం  కా   స ర ని కి   
37, అ ది   దా ని కి   ఏ మ ం   కా వా లి   స ర   
38,ప న్ క డి   ఫో టో   అ ం డి 
39, జ రా క్ ్  కా వా ల ం డి   స 
40, మ బై ల్  న ం బ ర్   కో డ ం ది   
41, ఆ   రి ్   
42, ఏ ఎ క్కు రా మ ం ట గ ం డి   
43, ఎ ం ద క   ప్ రా జ క్   
44, ఇం కా ం టి   ప ర థ దా ం తో   పా టు   నా కు   ఈ ట ం   గా డ్ డు  కూ డా  క వ ం డి   
45, చే తి   అ ప్పుడి క ప్పు లో   రా ద ం డి   
46, ప స్ ట ల స్ 
47, అ ం టే   చే తి కి  వ చ్ చే లా గ యి తే   అ ప్పు డి ప్పు డు  తీ ే సి క చ్ చు   క దా   మ ళ్ ళీ   మీ కో   
48, ఇ టై ం్  వ డు తు ే   
49, ల ం డి   
50, ఆ   ఇ ం కా   అ ం తే గ చ్ చు   
51, అ ం తే   క దే   
52, ఆ   అ ం జ   ప డ త న్ న ర ం డి   
53, అ ం ట ని   స రే   
54, ఇె   
55, హో మ న్   వె ల్ ఫే ర్  చ ా రి టే బు ల్   ట్ ర స్ ట్   కి   మూ డు   వే ల   రూ పా య లు   వి రా ల ం   ప ం పి ం చు   
56, న వ న్   సె ల్ లో   యూ రో   ప్ లా స్ టి క్   క్ రీ డ ల   మీ ర్ ల   సీ స   ఆ ర్ డ రి కి   రే టి ంగ్   ఐ దు   స ా ర్ లు   ఇ వ్ వు   
57, లై ట్ ల   ప్ ర కా శ ా న్ ని   త గ్ గి ం చు   
58, ఆ రు   తొ మ్ మి ది   నా లు గు   తొ మ్ మి ది   ఐ డు   ఎ ని మి ది   నా లు గు   ఏ డు   తొ మ్ మి ది   తొ మ్ మి ది   రె ం డు   ఎ ద్ ద రే ట్   యూ పీ   ఐ   ను ం డి   నా కు   ఆ రు   వే లు   రూ పా య లు   వ చ్ చా యే మో   చూ సి   చె ప్ పు   
59,   
60, 
61, 
62, 
63, మే రు   వె స్ ట బుల్  అ మ్ మే   వా రే నా   
64, మే   లా ం ట్ లో   ఏ మే మ  ఉ న్ నా యి   
65, ి న 
66, ఇ ం కా   మే ము   లు స్ ట్ రా ష్   ప ం పి స్ తా ం   
67, 
68,   ఉ ం ది   ఇ ట్ లా   బు ల్ ్ త దే   ది ో ్ 
69, నే ను   మీ కు ప ం పి స్ తా ను   మ ర తో న పి స్ తే   మీ రు డ   ఇ ఇ స్ తా న స్ తా ను   మీ రు   
70, 
71, 
72, ష   
