id,wh
1,ఆఁ
2,అవునండి
3,ఆ నమస్ నమస్తే సార్
4,అవునండి
5,బ్యాంక్స్ అర్ధం అవ్వట్లేదు అంటున్నాడు అండి
6,నేను సార్ ని కాదు దొంగ కొంటున్నాను అండి
7,లేదండి
8,అవునండి
9,బో బోర్డు మీద సరిగ్గా కనబడట్లేదు అంతే అండి
10,ఇంకా హాస్పిటల్
11,ఆ ఆ
12,హాస్పిటల్ లో చూపించండి ఏమి లేదన్నారు అండి టాబ్లెట్లు ఇచ్చారు అండి వాడుతున్నారు అండి
13,ఏం లేదండి అది కొద్దిగా అర్ధం అవుతుంది లేదు మాకు కొద్దిగా అప్పుడప్పుడు భయమేస్తుంది సార్ ని అడగాలి అంటే భయపడుతున్నాను అమ్మ అని చెప్తుంది అండి
14,వాళ్ళదే నండి
15,అలాగేనండి
16,ఆ ఆ అలాగే నండి
17,అలాగేనండి
18,ఆ వెళ్ళగలండి
19,అలాగేనండి నమస్కారం అండి
20,అవును
21,హలో హలో సర్వర్ గారు ఆ బాగున్నారా అండి
22,ఆ బాగున్నాం అండి ఏం చేస్తున్నారు ఏమి ఇప్పుడు మన ఏపీలో ఏం జరుగుతుంది ఏమి
23,ఆఁ చాలా బాగున్నాయి కదండీ మన స్కూల్లో బాగా చేస్తున్నారు
24,ఆఁ మొన్న జగనన్న చే జగనన్నతోడు ఇచ్చారు కదా అది కూడా మనం చాలా బెనిఫిట్గా అందుబాటులోను బాగా కంట్రీ కట్టుకోవడం గాని ఇస్తున్నారు
25,చాలా ఆఁ ఆఁ
26,ఊఁ అవునండి అదే అదే విధంగా మన ఏపీలోనే బాలుబడి స్కూల్లో మన పిల్లలకి చాలా ఫుడ్ పెరిగి కాని ఆఁ గుడ్డు కాని చాలా వరకు
27,ఆఁ చిక్కి కాని అలా పిల్లలకి రాగి గింజు కాని అన్ని చాలా వరకు అందుబాటులో ఇచ్చి వాళ్ళకి తినేదానికి పెట్టితే హెల్తీ ఫుడ్గా ఇస్తున్నారన్నమాట ఎంత బాగుంది కదా మన ఏపీలో ఉండేది
28,అవునండి రైతు భరోసా గాని అమ్మ ఒడి గాని మనకి ఎంత అందుబాటులో ఇస్తున్నారంటే అంత బాగుంది మన ఇల్లు కదండీ
29,ఆఁహా ఆఁ అట్లానే మన ఏపీలో బస్సు ఎక్కి అక్కడ మనకి ఆఫర్ ఆఫ్ అమౌంటే వేస్తున్నారు ఆ సిక్స్టీ ఉండే అబోవ్ వాళ్ళకి వచ్చి మనకి టెన్ పర్సెంట్ మనకి ఫ్రీగా ఇస్తున్నారు కదా
30,మన ఏపీలో ఎంత బాగుంది చూడండి కదా
31,అన్ని ఆఫర్స్లు చాలా బాగున్నాయి మనకి
32,ఊఁ ఆఁ ఓకే
33,నమస్కారం నమస్కారం అండి బ్యాంక్ ఆఫీసర్ గారు మాట్లాడిన బ్యాంక్ ఆఫీసర్ అయిన మాట్లాడారు
34,కరెంట్ కాదండి సేవింగ్స్ అండి
35,అది అది అండి గవర్నమెంట్ అంటే కదా అట్లా పెట్టుకోవడానికి అకౌంట్ తీసుకోమని చెప్పారండి దాని కోసం
36,సేవింగ్స్ అన్ని ఆ దానికి అప్లై చేయాలి ఏమి కావాలి సర్ దానికి
37,ఆ అది దానికి ఏమేం కావాలి సర్
38,పాన్ కట్ ఫోటో అండి
39,జిరాక్స్ కావాలి అండి
40,మొబైల్ నంబర్ కూడా ఉంది
41,ఆ సరే
42,ఎప్పుడు రామంటారు అండి
43,ఆహా ఎంత సేపు పడుతుంది అండి ప్రాసెస్
44,గంట పడుతుంది అండి దాంతో పాటు నాకు ఈ పేటిఎం కార్డు కూడా కావాలి అండి
45,మాములుగా చేతి అప్పుడప్పుడు రాదండి
46,పోస్టులో పోస్టులో వస్తే మరి అది తేడా వస్తది అందుకు
