id,w2v
1,कीम ने <unk><unk><unk><unk> में फिल्म उद्योग से संन्यास ले लिया उनकी आखिरी फिल्म में प्रतिकार हनिमून बलवान मुस्कराहट और बुलन में अतिथि भूमिकाएं थीं
2,वह राजनीति से संबंधित एक सम्मानित परिवार से थे खासकर जबसे उनके पिता हैरात के राज्यपाल होने के नाते अफगानों की रक्षा करते हुए लड़ाई में मारे गए थे
3,मोदी अपने दैनिक जीवन में क्या करते हैं
4,मीडिया प्लेयर खोलें और मेरी जिम प्लेलिस्ट चलाए
5,मैं नौ सौ रुपए की एवीटी खरीदना चाहता हूं
6,मैं इंग्लिश ओवन बेसपीजा डवब्यूटी मॉइस्टर फेसवॉश और निसान कप नूडल्स हटाना चाहता हूं क्या आप उन्हें मेरी खरीदारी सूची से हटा सकते हैं
7,कृपया पेयूमनी का इस्तेमाल करके मेरे फोन का मौजूदा प्लानसी रिचार्ज करें और वही रकम संपर्क बहन को ट्रांसफर करें
8,क्या मैं अपनी एजुकेशन लोन को त्रिपुरा ग्रामीण बैंक पर ओलामनी के माध्यम से वापस भुगतान कर सकता हूं
9,क्या आप चेक कर सकते हैं कि बनारस हिनदू विश्वविद्यालय शैक्षणिक वर्ष <unk><unk><unk><unk> <unk><unk><unk><unk> में एआईसीटीई अनुमोदित संस्थान था या नहीं
10,मुझे अपने फोन नंबर सेवननइन<unk> सस वफाइ <unk> जीरसिससेवन के लिए कोविड वैक्सीन प्रमाणपत्र डाउनलोड करना है
11,बिल्ली
12,चार
13,एक जनवरी <unk><unk><unk> <unk> फरवरी <unk><unk><unk><unk>
14,<unk><unk> मार्च <unk><unk><unk><unk> <unk><unk> डिसमबर <unk><unk><unk><unk> <unk><unk> मई <unk><unk><unk><unk>
15,ठाणे
16,नागपुर
17,पुणे
18,यवत्मार
19,चंद्रपुर
20,भारत का जो पहनावा है जो फैशन है वो काफी साल में बहुत बदलता हुआ दिखाई देता है जैसे अमिरी
21,उसको महत्वदियक  करते थे लोग पर अभी के आज के दिनों में
22,फास्ट फैशन आए हैं और जो ब्रांड्स है जो सारी कंपनियां हैं जो फैशन को प्रमोट करते है वो
23,काफी कम क्वालिटी और कमप्राइज में फैशनेबल कपड़े  अवेलेबल कराते हैं मार्केट्स में उसकी वजह से
24,जो फैशन के ट्रेंड्स है वो चेंज वो बहुत बदलते रहते हैं अ हर दिन
25,एकएक हफ्ते में अ जो फैशन के ब्रैंड्स हैं उनके जो दुकान हैं वहां पे हर एजोएक
26,स्प्रिंग का अलग एक
27,सिलेक्शन या समर का सिलेक्शन ऐसा जो एक वेस्टन और एक पाश्चिमात्य
28,कपड़े पहनने का जो तरीका है वो ज्यादा बढ़ता हुआ दिखाई दे रहै जो कि
29,बदलते हुए फैशन ट्रेन को ज्यादा प्रीफर करता है नाकि अच्छे क्वालिटी और लंबा चलने वाले अकपड़ों से बाट
30,परइंडिया में मुझको एक चीज यें लगती है कि कितना भी वेस्टन कपड़ों का इस्तेमाल रोज होता होगा
31,मां जब कॉलेज में थीं तब व उनका
32,लोग जो है अ हमेशा अट्रेडिशनल कपड़ों
33,को बहुत अच्छा मानते हैं और उनमें अच्छे दिखती भी है तो जैसे कुछ भी अम
34,कल्चरल कार्यक्रम हूं शादी हो अ कोई कॉलेज में कोई
35,फेस्टिवल हो या फिर पूजा हो औ जो सारे सर्ण हैं जो सारे  फेस्टिवल्स है दीवाली है ीद है और
36,ये सब में औ लोक ट्रेडिशनल कपड़े पहनना पसंद करते हैं
37,और मुझे अभी पसंद है औ अच्छे अलगअलग तरीके के
38,कपड़े पहनना और मुझे पर्सनली अकुरतीज और चिकनकारी का काम किया हुआ बहुत पसंद है
39,और मैं चाहती हूं कि जो भारत के कारीगर है उनको भी बढ़ावा मिलना चाहिए इन सारी चीजों में और उससे बिजनेस भी अच्छा होगा और इंडिया का फैशन हर जगह  पॉपुलर होना चाहिए
40,ये एक है और मैं मोसली कपड़े
41,मुझे मैंजब दिल्ली में थी मुझे जनपथ और ये जगह थी जो पसंद आती थी पर यहां पी चेन्नई में
42,जो ड्रेस पहने का तरीका था वो अभी से काफी अलग था बल्कि इतना असमय उस चीज को हुआ नहीं है
43,अएक पौंडी बाजार करके जगह है जहां पे अच्छे कांजीवरम साड़ीज मिलते हैं और नॉर्मल
44,रोज के जो कपड़े है वो मैं आ मॉल में खरीदना चेन्नई में एटलिस्ट पसंद करती हूं
45,और मैं जब स्कूल मीं थी तब व भी जब अफैशन था वो आजसे काफी बदला हुआ
46,दिखाई देता है एक बड़ा बदल जो मुझे लगता है वो है फास्ट फैशन
47,पहले  उन कपड़ों को ज्यादा महत्वदीया दिया करते थे जो बहुत अच्छे क्वालिटी के हैं बहुत अच्छा
48,ऑरिजनल काम उस पर करा हुआ है जो सालों साल तक चले जैसे साड़िया हो
49,अलग अलग प्रांत के अलगअलग कारीगरी हो
50,भलेी वो थोड़ा अ महंगा क्यों न हो पर उसपे उसकी जो ऑथेंटिसिटी है जो उस जितना ज्यादा
51,सच्छा काम और जितना ज्यादा रियल क्वालिटी का कपड़ा उतना उ
52,मुझे लगता है कोई भी जो कला है उसमें उती ताकत होती है कि जो देखने वाला है उसके
53,बहुत बारी इंसान के
54,दिल को यादिमा को कोई एक
55,जो चीज उसने देख देखी हुई हो कहीं पे उसकी याद दिलाता है
56,तो एजपेंटर मुझे ये लगता है कि मेरा मैंने जो भी आज तक चित्र बनाए हैं वो ज्यादातर आसमान और पहाड़ और
57,तालाब और नदी इन सारे नैसर्गिक चीजों के है और जब भी ये किसी मेरे दोस्तों ने या फिर किसी ने भी अभी जी देखे हो उन्हें वो देखकर किसी अदृश्य की यादाई या किसी मूमेंट की यादाई जो उन्होंने पहले जिया हुआ है
58,और मुझे ऐसा लगता है कि ये एक ताकत है कला के अंदर कि वो तुम्हें किसी सुंदर
59,न याद की तरफ लेकर जा सकता है औया तो फिर कुछ अक्षण के लिए
60,जो तुम्हारा दिल है या दिमाग है जो भी तुम्हारे जो विचार है उनको एक शांति दे सकता है कि कुछ पल आप कहीं और चले गए हो और कुछ किसी यादों में
61,आप सोचे किसी यादों के बारे में आप सोचने लगे हो ये मुझे बहुत बड़ी एक ताकत लगती है औ चित्रकला में
62,जो विचार है उनको बहुत कम समय के लिए ही सही
63,पर बोपने काबू में जो आठ है वो रख सकती है तो जैसे गानी होगा म्यूजिक होगया
64,उसमें बहुत ताकत है कि सुनने वाला जो है उसको अपने
65,विचारों को या फिर अपने इमोशंस को बहु एक अच्छे तरीके से समझने का एक माध्यम  हो सकता है
66,वैसे ही चित्रकला के लिए मुझे ये लगता है कि
67,अ वो एक साइलेंट मीडियम है अपनी
68,इमोशंस अपनी फीलिंग्स को समझने का तो अलगअलग  प्रकार के जो चित्र होते कभी किसी को कोई पसंद आ सकता है कभी किसी को कुछ भा सकता है या तो कभी किसी ो किसी चित्र को देखकर कुछ नहीं भी लग सकता है
69,मुझे अपर्सनलीे लगता है कि जो रियलिज्म है जो नैसर्गिक ्चित्र है या कहीं के किसी जगह का एक निसर्गचित्र बनाया हुआ है यासमंदर का हो या पहाड़ हो या कहीं का नदी या सुंदर
70,आसमान और बादल और सुर्यास्त का किसी अचित्र हो वो
71,एलेवेन हंडे नाइटीन के दशक के अंटर में गुड़िदास कमांडर कुटुक औलदीनआइबक ने इसे दिल्ली में शडित लिया इस प्रकार से एक गुलाम का गुलाम बना दिया
72,पेठोलॉजिक स्टेंडिंग क्लिनिकल ्सटेजिसजिंग की तुलना में अठिक सटिक हे लेकिन ्लिनिकल स्टेंजिंग पहला और कभी कभी एकमात्र स्टेंजिंग प्रका होता है
73,बाहड मौसम के साहे बादल साये हुए हैं
74,तुम क्या सुझाव दोगे मेरे इस सप्तांें देखने के लिए
75,क्या मुझे टुरंत बरिगाड़ मस्कोई तो रिपेलेट मिल सकती है
76,स्नाम घौड़ के समानों में सबसे अधिक बिकने वाले सुझाव क्या है
77,मुझे अपना केजबेट क्यों नहीं मिला
78,क्या आप यो देखने के लिए आईआरटीसी लेनदेन के जास कर सकते हैं कि नाइनहंड्रेड रुपे का रिफान पिछले वर्ष प्रोसेस किया गया है या नहीं
79,मुझे ओटीपी वनसि्स <unk>ी वन फाइ फाइव मिला है क्या आप ओमांक में लगिन करने के लिए इसका उपयोग मोबाइल नंबर नाइन<unk> सफरफाइ व<unk><unk> र टू के लिए कॉल सकते हैं
80,मुझे अपने फुननंबर नाइनफाफजीर वनफ<unk> सेवनफाइफ <unk> नाइन फोर के लिए कभी एक वैक्सीन पमानपटट डाउनलोड करना है
81,असहमत
82,सिखो
